model,number of pulses,inter pulse gap (us),threshold (uA),pulse train durations (ms),pulses per second
briaire_05,1,4902,424.505615234375,5.0,200
briaire_05,2,4902,424.505615234375,10.0,200
briaire_05,4,4902,424.505615234375,20.0,200
briaire_05,1,235,424.505615234375,0.5,3000
briaire_05,3,235,424.505615234375,1.0,3000
briaire_05,6,235,424.505615234375,2.0,3000
briaire_05,15,235,424.505615234375,5.0,3000
briaire_05,30,235,424.505615234375,10.0,3000
briaire_05,60,235,424.505615234375,20.0,3000
briaire_05,2,2,419.0521240234375,0.2,10000
briaire_05,5,2,418.66760253906244,0.5,10000
briaire_05,10,2,418.66760253906244,1.0,10000
briaire_05,20,2,418.66760253906244,2.0,10000
briaire_05,50,2,418.66760253906244,5.0,10000
briaire_05,100,2,418.66760253906244,10.0,10000
briaire_05,200,2,418.66760253906244,20.0,10000
frijns_94,1,4902,118.67980957031249,5.0,200
frijns_94,2,4902,118.67980957031249,10.0,200
frijns_94,4,4902,118.67980957031249,20.0,200
frijns_94,1,235,118.67980957031249,0.5,3000
frijns_94,3,235,118.67980957031249,1.0,3000
frijns_94,6,235,118.67980957031249,2.0,3000
frijns_94,15,235,118.67980957031249,5.0,3000
frijns_94,30,235,118.67980957031249,10.0,3000
frijns_94,60,235,118.67980957031249,20.0,3000
frijns_94,2,2,117.19055175781249,0.2,10000
frijns_94,5,2,116.949462890625,0.5,10000
frijns_94,10,2,116.949462890625,1.0,10000
frijns_94,20,2,116.949462890625,2.0,10000
frijns_94,50,2,116.949462890625,5.0,10000
frijns_94,100,2,116.949462890625,10.0,10000
frijns_94,200,2,116.949462890625,20.0,10000
imennov_09,1,4902,33.91113281249999,5.0,200
imennov_09,2,4902,33.91113281249999,10.0,200
imennov_09,4,4902,33.91113281249999,20.0,200
imennov_09,1,235,33.91113281249999,0.5,3000
imennov_09,3,235,31.475830078125004,1.0,3000
imennov_09,6,235,31.195068359374993,2.0,3000
imennov_09,15,235,31.195068359374993,5.0,3000
imennov_09,30,235,31.195068359374993,10.0,3000
imennov_09,60,235,31.195068359374993,20.0,3000
imennov_09,2,2,29.718017578125,0.2,10000
imennov_09,5,2,26.116943359375004,0.5,10000
imennov_09,10,2,24.822998046874996,1.0,10000
imennov_09,20,2,24.523925781250004,2.0,10000
imennov_09,50,2,24.517822265625004,5.0,10000
imennov_09,100,2,24.517822265625004,10.0,10000
imennov_09,200,2,24.517822265625004,20.0,10000
negm_14,1,4902,541.1743164062501,5.0,200
negm_14,2,4902,541.1743164062501,10.0,200
negm_14,4,4902,541.1743164062501,20.0,200
negm_14,1,235,541.1743164062501,0.5,3000
negm_14,3,235,529.4555664062501,1.0,3000
negm_14,6,235,529.4158935546875,2.0,3000
negm_14,15,235,529.4158935546875,5.0,3000
negm_14,30,235,529.4158935546875,10.0,3000
negm_14,60,235,529.4158935546875,20.0,3000
negm_14,2,2,503.8299560546875,0.2,10000
negm_14,5,2,502.8076171875,0.5,10000
negm_14,10,2,518.792724609375,1.0,10000
negm_14,20,2,518.7774658203125,2.0,10000
negm_14,50,2,518.7774658203125,5.0,10000
negm_14,100,2,518.7774658203125,10.0,10000
negm_14,200,2,518.7774658203125,20.0,10000
rattay_01,1,4902,425.5279541015626,5.0,200
rattay_01,2,4902,425.5279541015626,10.0,200
rattay_01,4,4902,425.5279541015626,20.0,200
rattay_01,1,235,425.5279541015626,0.5,3000
rattay_01,3,235,422.967529296875,1.0,3000
rattay_01,6,235,422.967529296875,2.0,3000
rattay_01,15,235,422.967529296875,5.0,3000
rattay_01,30,235,422.967529296875,10.0,3000
rattay_01,60,235,422.967529296875,20.0,3000
rattay_01,2,2,373.21166992187494,0.2,10000
rattay_01,5,2,377.59704589843744,0.5,10000
rattay_01,10,2,394.036865234375,1.0,10000
rattay_01,20,2,394.036865234375,2.0,10000
rattay_01,50,2,394.036865234375,5.0,10000
rattay_01,100,2,394.036865234375,10.0,10000
rattay_01,200,2,394.036865234375,20.0,10000
smit_09,1,4902,208.6639404296875,5.0,200
smit_09,2,4902,208.6639404296875,10.0,200
smit_09,4,4902,208.6639404296875,20.0,200
smit_09,1,235,208.6639404296875,0.5,3000
smit_09,3,235,208.5723876953125,1.0,3000
smit_09,6,235,208.5723876953125,2.0,3000
smit_09,15,235,208.5723876953125,5.0,3000
smit_09,30,235,208.5723876953125,10.0,3000
smit_09,60,235,208.5723876953125,20.0,3000
smit_09,2,2,189.72473144531253,0.2,10000
smit_09,5,2,183.58764648437503,0.5,10000
smit_09,10,2,183.67614746093753,1.0,10000
smit_09,20,2,183.67614746093753,2.0,10000
smit_09,50,2,183.67614746093753,5.0,10000
smit_09,100,2,183.67614746093753,10.0,10000
smit_09,200,2,183.67614746093753,20.0,10000
smit_10,1,4902,283.43200683593756,5.0,200
smit_10,2,4902,283.43200683593756,10.0,200
smit_10,4,4902,283.43200683593756,20.0,200
smit_10,1,235,283.43200683593756,0.5,3000
smit_10,3,235,277.77099609375006,1.0,3000
smit_10,6,235,277.75573730468756,2.0,3000
smit_10,15,235,277.75573730468756,5.0,3000
smit_10,30,235,277.75573730468756,10.0,3000
smit_10,60,235,277.75573730468756,20.0,3000
smit_10,2,2,252.3223876953125,0.2,10000
smit_10,5,2,327.44140625000006,0.5,10000
smit_10,10,2,327.35595703125,1.0,10000
smit_10,20,2,327.35595703125,2.0,10000
smit_10,50,2,327.35595703125,5.0,10000
smit_10,100,2,327.35595703125,10.0,10000
smit_10,200,2,327.35595703125,20.0,10000
