model,number of pulses,inter pulse gap (us),threshold (uA),pulse train durations (ms),pulses per second
briaire_05,1,4902,424.505615234375,5,200
briaire_05,10,4902,424.505615234375,50,200
briaire_05,2,1902,424.505615234375,5,500
briaire_05,25,1902,424.505615234375,50,500
briaire_05,1,902,424.505615234375,1,1000
briaire_05,5,902,424.505615234375,5,1000
briaire_05,50,902,424.505615234375,50,1000
briaire_05,2,402,424.505615234375,1,2000
briaire_05,10,402,424.505615234375,5,2000
briaire_05,100,402,424.505615234375,50,2000
briaire_05,3,235,424.505615234375,1,3000
briaire_05,15,235,424.505615234375,5,3000
briaire_05,150,235,424.505615234375,50,3000
briaire_05,5,102,424.48425292968744,1,5000
briaire_05,25,102,424.48425292968744,5,5000
briaire_05,250,102,424.48425292968744,50,5000
briaire_05,10,2,418.66760253906244,1,10000
briaire_05,50,2,418.66760253906244,5,10000
briaire_05,500,2,418.66760253906244,50,10000
frijns_94,1,4902,118.67980957031249,5,200
frijns_94,10,4902,118.67980957031249,50,200
frijns_94,2,1902,118.67980957031249,5,500
frijns_94,25,1902,118.67980957031249,50,500
frijns_94,1,902,118.67980957031249,1,1000
frijns_94,5,902,118.67980957031249,5,1000
frijns_94,50,902,118.67980957031249,50,1000
frijns_94,2,402,118.67980957031249,1,2000
frijns_94,10,402,118.67980957031249,5,2000
frijns_94,100,402,118.67980957031249,50,2000
frijns_94,3,235,118.67980957031249,1,3000
frijns_94,15,235,118.67980957031249,5,3000
frijns_94,150,235,118.67980957031249,50,3000
frijns_94,5,102,118.6737060546875,1,5000
frijns_94,25,102,118.6737060546875,5,5000
frijns_94,250,102,118.6737060546875,50,5000
frijns_94,10,2,116.949462890625,1,10000
frijns_94,50,2,116.949462890625,5,10000
frijns_94,500,2,116.949462890625,50,10000
imennov_09,1,4902,33.91113281249999,5,200
imennov_09,10,4902,33.91113281249999,50,200
imennov_09,2,1902,33.91113281249999,5,500
imennov_09,25,1902,33.91113281249999,50,500
imennov_09,1,902,33.91113281249999,1,1000
imennov_09,5,902,33.91113281249999,5,1000
imennov_09,50,902,33.91113281249999,50,1000
imennov_09,2,402,33.4503173828125,1,2000
imennov_09,10,402,33.38317871093749,5,2000
imennov_09,100,402,33.38317871093749,50,2000
imennov_09,3,235,31.475830078125004,1,3000
imennov_09,15,235,31.195068359374993,5,3000
imennov_09,150,235,31.195068359374993,50,3000
imennov_09,5,102,27.841186523437504,1,5000
imennov_09,25,102,27.410888671874996,5,5000
imennov_09,250,102,27.410888671874996,50,5000
imennov_09,10,2,24.822998046874996,1,10000
imennov_09,50,2,24.517822265625004,5,10000
imennov_09,500,2,24.517822265625004,50,10000
negm_14,1,4902,541.1743164062501,5,200
negm_14,10,4902,541.1743164062501,50,200
negm_14,2,1902,541.1743164062501,5,500
negm_14,25,1902,541.1743164062501,50,500
negm_14,1,902,541.1743164062501,1,1000
negm_14,5,902,541.1743164062501,5,1000
negm_14,50,902,541.1743164062501,50,1000
negm_14,2,402,541.1285400390625,1,2000
negm_14,10,402,541.1285400390625,5,2000
negm_14,100,402,541.1285400390625,50,2000
negm_14,3,235,529.4555664062501,1,3000
negm_14,15,235,529.4158935546875,5,3000
negm_14,150,235,529.4158935546875,50,3000
negm_14,5,102,508.1359863281249,1,5000
negm_14,25,102,507.9986572265625,5,5000
negm_14,250,102,507.9986572265625,50,5000
negm_14,10,2,518.792724609375,1,10000
negm_14,50,2,518.7774658203125,5,10000
negm_14,500,2,518.7774658203125,50,10000
rattay_01,1,4902,425.5279541015626,5,200
rattay_01,10,4902,425.5279541015626,50,200
rattay_01,2,1902,425.5279541015626,5,500
rattay_01,25,1902,425.5279541015626,50,500
rattay_01,1,902,425.5279541015626,1,1000
rattay_01,5,902,425.5279541015626,5,1000
rattay_01,50,902,425.5279541015626,50,1000
rattay_01,2,402,425.74157714843756,1,2000
rattay_01,10,402,425.74157714843756,5,2000
rattay_01,100,402,425.74157714843756,50,2000
rattay_01,3,235,422.967529296875,1,3000
rattay_01,15,235,422.967529296875,5,3000
rattay_01,150,235,422.967529296875,50,3000
rattay_01,5,102,397.31140136718756,1,5000
rattay_01,25,102,397.31445312500006,5,5000
rattay_01,250,102,397.31445312500006,50,5000
rattay_01,10,2,394.036865234375,1,10000
rattay_01,50,2,394.036865234375,5,10000
rattay_01,500,2,394.036865234375,50,10000
smit_09,1,4902,208.6639404296875,5,200
smit_09,10,4902,208.6639404296875,50,200
smit_09,2,1902,208.6639404296875,5,500
smit_09,25,1902,208.6639404296875,50,500
smit_09,1,902,208.6639404296875,1,1000
smit_09,5,902,208.6639404296875,5,1000
smit_09,50,902,208.6639404296875,50,1000
smit_09,2,402,208.6639404296875,1,2000
smit_09,10,402,208.6639404296875,5,2000
smit_09,100,402,208.6639404296875,50,2000
smit_09,3,235,208.5723876953125,1,3000
smit_09,15,235,208.5723876953125,5,3000
smit_09,150,235,208.5723876953125,50,3000
smit_09,5,102,201.99279785156256,1,5000
smit_09,25,102,201.99584960937506,5,5000
smit_09,250,102,201.99584960937506,50,5000
smit_09,10,2,183.67614746093753,1,10000
smit_09,50,2,183.67614746093753,5,10000
smit_09,500,2,183.67614746093753,50,10000
smit_10,1,4902,283.43200683593756,5,200
smit_10,10,4902,283.43200683593756,50,200
smit_10,2,1902,282.8521728515626,5,500
smit_10,25,1902,282.8521728515626,50,500
smit_10,1,902,283.43200683593756,1,1000
smit_10,5,902,283.43200683593756,5,1000
smit_10,50,902,283.43200683593756,50,1000
smit_10,2,402,283.502197265625,1,2000
smit_10,10,402,283.502197265625,5,2000
smit_10,100,402,283.502197265625,50,2000
smit_10,3,235,277.77099609375006,1,3000
smit_10,15,235,277.75573730468756,5,3000
smit_10,150,235,277.75573730468756,50,3000
smit_10,5,102,261.15722656250006,1,5000
smit_10,25,102,259.25292968750006,5,5000
smit_10,250,102,259.25292968750006,50,5000
smit_10,10,2,327.35595703125,1,10000
smit_10,50,2,327.35595703125,5,10000
smit_10,500,2,327.35595703125,50,10000
