model,knoise ratio,jitter (us)
briaire_05,0.0,0.0
briaire_05,0.4,30.405591591021583
briaire_05,0.5,29.98332870112997
briaire_05,0.6,14.826938161269036
briaire_05,0.7,18.84232823547381
briaire_05,0.8,15.606143794606352
briaire_05,0.9,18.40414283722388
briaire_05,1.0,16.478752858594827
briaire_05,1.25,22.928048590000838
briaire_05,1.5,23.54375165002894
briaire_05,1.75,27.30065096584936
briaire_05,2.0,27.67704379891983
briaire_05,2.25,30.36504171161839
briaire_05,2.5,32.17530045190475
briaire_05,2.75,28.110581624002815
briaire_05,3.0,34.86464432905726
briaire_05,3.25,30.88978861682196
briaire_05,3.5,35.87446802296242
briaire_05,3.75,40.404011431734446
briaire_05,4.0,185.50609524314532
briaire_05,4.25,214.1998075741388
briaire_05,4.5,336.33757032831863
briaire_05,4.75,371.46439952207595
frijns_94,0.0,0.0
frijns_94,0.2,4.795481611912434
frijns_94,0.3,7.949892600911163
frijns_94,0.4,9.704606192740178
frijns_94,0.5,11.455254937049775
frijns_94,0.6,10.407538226269446
frijns_94,0.7,12.3776348362886
frijns_94,0.8,10.74019643471824
frijns_94,0.9,13.988496014647849
frijns_94,1.0,12.679276070411218
frijns_94,1.25,11.995051535875257
frijns_94,1.5,11.784695577070998
frijns_94,1.75,11.536243348192173
frijns_94,2.0,11.867214510178187
frijns_94,2.25,13.124828669222282
frijns_94,2.5,15.294255549721441
frijns_94,2.75,12.521143333331507
frijns_94,3.0,16.80492178073816
frijns_94,3.25,14.149887543859773
frijns_94,3.5,16.04190358425574
frijns_94,3.75,16.224463614175047
frijns_94,4.0,71.27394598683841
frijns_94,4.25,140.60932839964383
frijns_94,4.5,292.77710647412994
frijns_94,4.75,270.50128538280694
imennov_09,0.0,0.0
imennov_09,0.2,10.080902995784694
imennov_09,0.3,15.566338869869925
imennov_09,0.4,25.035165328114214
imennov_09,0.5,39.34610190007351
imennov_09,0.6,36.8804973597444
imennov_09,0.7,49.339888570582055
imennov_09,0.8,40.67624436240043
imennov_09,0.9,56.17783479977574
imennov_09,1.0,51.16237902237812
imennov_09,1.25,61.90971084159242
imennov_09,1.5,65.11138029986704
imennov_09,1.75,120.44895173036464
imennov_09,2.0,175.79916484641993
imennov_09,2.25,318.613631877091
imennov_09,2.5,490.6657048639494
imennov_09,2.75,679.3365923793256
imennov_09,3.0,723.6410495982068
imennov_09,3.25,625.8668361831781
imennov_09,3.5,669.6791569655534
imennov_09,3.75,726.548438490914
imennov_09,4.0,755.8980514243232
imennov_09,4.25,772.4349834356179
imennov_09,4.5,782.7621524976657
imennov_09,4.75,727.2672560869304
negm_14,0.0,0.0
negm_14,0.2,4.928332468679831
negm_14,0.3,8.271271235772133
negm_14,0.4,12.628423790170467
negm_14,0.5,13.043356728498651
negm_14,0.6,13.958315454723943
negm_14,0.7,17.765805968613616
negm_14,0.8,23.25590239551368
negm_14,0.9,18.66733513264675
negm_14,1.0,19.205576864667314
negm_14,1.25,20.5550569596344
negm_14,1.5,23.347122878457284
negm_14,1.75,22.465121154315664
negm_14,2.0,22.5712626279944
negm_14,2.25,19.45519730545946
negm_14,2.5,29.311830878687353
negm_14,2.75,33.93342740673062
negm_14,3.0,33.39842019451807
negm_14,3.25,38.072216073612296
negm_14,3.5,40.772298259088565
negm_14,3.75,45.83718676862488
negm_14,4.0,43.972220051705925
negm_14,4.25,47.09173484233468
negm_14,4.5,52.02150823640133
negm_14,4.75,52.8672755369291
rattay_01,0.0,0.0
rattay_01,0.2,48.679090440905306
rattay_01,0.3,77.1197571832056
rattay_01,0.4,112.51627098315625
rattay_01,0.5,127.57230576717488
rattay_01,0.6,132.67706099815058
rattay_01,0.7,141.44064653229046
rattay_01,0.8,155.28363544842676
rattay_01,0.9,158.21625077411176
rattay_01,1.0,158.94033554754319
rattay_01,1.25,163.6076757528219
rattay_01,1.5,158.65510569709176
rattay_01,1.75,159.1227761571947
rattay_01,2.0,174.30183705002293
rattay_01,2.25,167.3953715105245
rattay_01,2.5,168.73215434139095
rattay_01,2.75,177.7545674098092
rattay_01,3.0,171.1515712323137
rattay_01,3.25,163.17709600656022
rattay_01,3.5,198.14224256087783
rattay_01,3.75,234.00599321396763
rattay_01,4.0,246.82573827246276
rattay_01,4.25,220.85268436071766
rattay_01,4.5,333.0987612558436
rattay_01,4.75,417.9854836898073
smit_09,0.0,0.0
smit_09,0.2,24.202326442109264
smit_09,0.3,32.506621991847695
smit_09,0.4,41.34554277830005
smit_09,0.5,45.99807915824021
smit_09,0.6,42.73906813469612
smit_09,0.7,46.6853046515372
smit_09,0.8,47.31459651204586
smit_09,0.9,53.09759691454044
smit_09,1.0,41.13757713794756
smit_09,1.25,54.87126679540432
smit_09,1.5,54.07251486460994
smit_09,1.75,49.69304093932132
smit_09,2.0,56.615335472686915
smit_09,2.25,52.75709052550472
smit_09,2.5,54.12422119997951
smit_09,2.75,53.49642140110035
smit_09,3.0,61.65833425252943
smit_09,3.25,57.41213045807836
smit_09,3.5,54.53666654475053
smit_09,3.75,56.589484591546274
smit_09,4.0,57.030811098380205
smit_09,4.25,62.27911743392664
smit_09,4.5,52.858088043312904
smit_09,4.75,58.395896622315284
smit_10,0.0,0.0
smit_10,0.2,23.4893602315639
smit_10,0.3,37.915677427934206
smit_10,0.4,49.76452387269963
smit_10,0.5,54.958142413633716
smit_10,0.6,61.62013030181713
smit_10,0.7,63.873828065387315
smit_10,0.8,66.87128112481196
smit_10,0.9,72.50617756855672
smit_10,1.0,67.13683754654393
smit_10,1.25,72.87152477668486
smit_10,1.5,90.31374085119407
smit_10,1.75,91.40836997167888
smit_10,2.0,95.35527101553451
smit_10,2.25,97.19407728880473
smit_10,2.5,101.83663488309988
smit_10,2.75,101.45122195039279
smit_10,3.0,103.07374190982428
smit_10,3.25,107.96396548346148
smit_10,3.5,114.0343331413578
smit_10,3.75,111.18456549612783
smit_10,4.0,109.04211810396589
smit_10,4.25,112.9829796015917
smit_10,4.5,115.94433803786418
smit_10,4.75,115.57727495970343
