model,number of pulses,inter pulse gap (us),threshold (uA),pulse train durations (ms),pulses per second
briaire_05,1,4942,678.6682128906251,5.0,200
briaire_05,2,4942,678.6682128906251,10.0,200
briaire_05,4,4942,678.6682128906251,20.0,200
briaire_05,1,275,678.6682128906251,0.4,3000
briaire_05,2,275,678.6682128906251,0.7,3000
briaire_05,3,275,678.6682128906251,1.0,3000
briaire_05,6,275,678.6682128906251,2.0,3000
briaire_05,15,275,678.6682128906251,5.0,3000
briaire_05,30,275,678.6682128906251,10.0,3000
briaire_05,60,275,678.6682128906251,20.0,3000
briaire_05,1,42,678.6682128906251,0.1,10000
briaire_05,2,42,669.2352294921875,0.2,10000
briaire_05,4,42,668.4570312500001,0.4,10000
briaire_05,7,42,668.4539794921876,0.7,10000
briaire_05,10,42,668.4539794921876,1.0,10000
briaire_05,20,42,668.4539794921876,2.0,10000
briaire_05,50,42,668.4539794921876,5.0,10000
briaire_05,100,42,668.4539794921876,10.0,10000
briaire_05,200,42,668.4539794921876,20.0,10000
rattay_01,1,4942,870.1171875,5.0,200
rattay_01,2,4942,870.0866699218751,10.0,200
rattay_01,4,4942,870.068359375,20.0,200
rattay_01,1,275,870.1171875,0.4,3000
rattay_01,2,275,868.7927246093749,0.7,3000
rattay_01,3,275,868.9758300781249,1.0,3000
rattay_01,6,275,868.9758300781249,2.0,3000
rattay_01,15,275,868.9758300781249,5.0,3000
rattay_01,30,275,868.9758300781249,10.0,3000
rattay_01,60,275,868.9758300781249,20.0,3000
rattay_01,1,42,870.1171875,0.1,10000
rattay_01,2,42,779.595947265625,0.2,10000
rattay_01,4,42,736.4349365234375,0.4,10000
rattay_01,7,42,766.5313720703126,0.7,10000
rattay_01,10,42,766.83349609375,1.0,10000
rattay_01,20,42,766.83349609375,2.0,10000
rattay_01,50,42,766.83349609375,5.0,10000
rattay_01,100,42,766.83349609375,10.0,10000
rattay_01,200,42,766.83349609375,20.0,10000
smit_10,1,4942,709.8968505859375,5.0,200
smit_10,2,4942,709.8968505859375,10.0,200
smit_10,4,4942,709.8968505859375,20.0,200
smit_10,1,275,709.8968505859375,0.4,3000
smit_10,2,275,705.3985595703125,0.7,3000
smit_10,3,275,705.3863525390624,1.0,3000
smit_10,6,275,705.3863525390624,2.0,3000
smit_10,15,275,705.3863525390624,5.0,3000
smit_10,30,275,705.3863525390624,10.0,3000
smit_10,60,275,705.3863525390624,20.0,3000
smit_10,1,42,709.8968505859375,0.1,10000
smit_10,2,42,531.3629150390625,0.2,10000
smit_10,4,42,643.4478759765626,0.4,10000
smit_10,7,42,639.739990234375,0.7,10000
smit_10,10,42,639.7369384765625,1.0,10000
smit_10,20,42,639.7369384765625,2.0,10000
smit_10,50,42,639.7369384765625,5.0,10000
smit_10,100,42,639.7369384765625,10.0,10000
smit_10,200,42,639.7369384765625,20.0,10000
