model,number of pulses,inter pulse gap (us),threshold (uA),pulse train durations (ms),pulses per second
briaire_05,5,3902,424.505615234375,20.0,250
briaire_05,1,1902,424.505615234375,2.0,500
briaire_05,10,1902,424.505615234375,20.0,500
briaire_05,2,902,424.505615234375,2.0,1000
briaire_05,20,902,424.505615234375,20.0,1000
briaire_05,1,402,424.505615234375,0.5,2000
briaire_05,4,402,424.505615234375,2.0,2000
briaire_05,40,402,424.505615234375,20.0,2000
briaire_05,1,235,424.505615234375,0.5,3000
briaire_05,6,235,424.505615234375,2.0,3000
briaire_05,60,235,424.505615234375,20.0,3000
briaire_05,2,102,424.48425292968744,0.5,5000
briaire_05,10,102,424.48425292968744,2.0,5000
briaire_05,100,102,424.48425292968744,20.0,5000
briaire_05,5,2,418.66760253906244,0.5,10000
briaire_05,20,2,418.66760253906244,2.0,10000
briaire_05,200,2,418.66760253906244,20.0,10000
frijns_94,5,3902,118.67980957031249,20.0,250
frijns_94,1,1902,118.67980957031249,2.0,500
frijns_94,10,1902,118.67980957031249,20.0,500
frijns_94,2,902,118.67980957031249,2.0,1000
frijns_94,20,902,118.67980957031249,20.0,1000
frijns_94,1,402,118.67980957031249,0.5,2000
frijns_94,4,402,118.67980957031249,2.0,2000
frijns_94,40,402,118.67980957031249,20.0,2000
frijns_94,1,235,118.67980957031249,0.5,3000
frijns_94,6,235,118.67980957031249,2.0,3000
frijns_94,60,235,118.67980957031249,20.0,3000
frijns_94,2,102,118.6737060546875,0.5,5000
frijns_94,10,102,118.6737060546875,2.0,5000
frijns_94,100,102,118.6737060546875,20.0,5000
frijns_94,5,2,116.949462890625,0.5,10000
frijns_94,20,2,116.949462890625,2.0,10000
frijns_94,200,2,116.949462890625,20.0,10000
imennov_09,5,3902,33.91113281249999,20.0,250
imennov_09,1,1902,33.91113281249999,2.0,500
imennov_09,10,1902,33.91113281249999,20.0,500
imennov_09,2,902,33.91113281249999,2.0,1000
imennov_09,20,902,33.91113281249999,20.0,1000
imennov_09,1,402,33.91113281249999,0.5,2000
imennov_09,4,402,33.38317871093749,2.0,2000
imennov_09,40,402,33.38317871093749,20.0,2000
imennov_09,1,235,33.91113281249999,0.5,3000
imennov_09,6,235,31.195068359374993,2.0,3000
imennov_09,60,235,31.195068359374993,20.0,3000
imennov_09,2,102,30.432128906249996,0.5,5000
imennov_09,10,102,27.4169921875,2.0,5000
imennov_09,100,102,27.410888671874996,20.0,5000
imennov_09,5,2,26.116943359375004,0.5,10000
imennov_09,20,2,24.523925781250004,2.0,10000
imennov_09,200,2,24.517822265625004,20.0,10000
negm_14,5,3902,541.1743164062501,20.0,250
negm_14,1,1902,541.1743164062501,2.0,500
negm_14,10,1902,541.1743164062501,20.0,500
negm_14,2,902,541.1743164062501,2.0,1000
negm_14,20,902,541.1743164062501,20.0,1000
negm_14,1,402,541.1743164062501,0.5,2000
negm_14,4,402,541.1285400390625,2.0,2000
negm_14,40,402,541.1285400390625,20.0,2000
negm_14,1,235,541.1743164062501,0.5,3000
negm_14,6,235,529.4158935546875,2.0,3000
negm_14,60,235,529.4158935546875,20.0,3000
negm_14,2,102,518.4753417968751,0.5,5000
negm_14,10,102,507.9986572265625,2.0,5000
negm_14,100,102,507.9986572265625,20.0,5000
negm_14,5,2,502.8076171875,0.5,10000
negm_14,20,2,518.7774658203125,2.0,10000
negm_14,200,2,518.7774658203125,20.0,10000
rattay_01,5,3902,425.5279541015626,20.0,250
rattay_01,1,1902,425.5279541015626,2.0,500
rattay_01,10,1902,425.5279541015626,20.0,500
rattay_01,2,902,425.5279541015626,2.0,1000
rattay_01,20,902,425.5279541015626,20.0,1000
rattay_01,1,402,425.5279541015626,0.5,2000
rattay_01,4,402,425.74157714843756,2.0,2000
rattay_01,40,402,425.74157714843756,20.0,2000
rattay_01,1,235,425.5279541015626,0.5,3000
rattay_01,6,235,422.967529296875,2.0,3000
rattay_01,60,235,422.967529296875,20.0,3000
rattay_01,2,102,393.1976318359375,0.5,5000
rattay_01,10,102,397.31445312500006,2.0,5000
rattay_01,100,102,397.31445312500006,20.0,5000
rattay_01,5,2,377.59704589843744,0.5,10000
rattay_01,20,2,394.036865234375,2.0,10000
rattay_01,200,2,394.036865234375,20.0,10000
smit_09,5,3902,208.6639404296875,20.0,250
smit_09,1,1902,208.6639404296875,2.0,500
smit_09,10,1902,208.6639404296875,20.0,500
smit_09,2,902,208.6639404296875,2.0,1000
smit_09,20,902,208.6639404296875,20.0,1000
smit_09,1,402,208.6639404296875,0.5,2000
smit_09,4,402,208.6639404296875,2.0,2000
smit_09,40,402,208.6639404296875,20.0,2000
smit_09,1,235,208.6639404296875,0.5,3000
smit_09,6,235,208.5723876953125,2.0,3000
smit_09,60,235,208.5723876953125,20.0,3000
