model,number of pulses,inter pulse gap (us),threshold (uA),pulse train durations (ms),pulses per second
briaire_05,12,3902,424.505615234375,50.0,250
briaire_05,1,1902,424.505615234375,2.0,500
briaire_05,25,1902,424.505615234375,50.0,500
briaire_05,2,902,424.505615234375,2.0,1000
briaire_05,50,902,424.505615234375,50.0,1000
briaire_05,1,402,424.505615234375,0.5,2000
briaire_05,4,402,424.505615234375,2.0,2000
briaire_05,100,402,424.505615234375,50.0,2000
briaire_05,1,235,424.505615234375,0.5,3000
briaire_05,6,235,424.505615234375,2.0,3000
briaire_05,150,235,424.505615234375,50.0,3000
briaire_05,2,102,424.48425292968744,0.5,5000
briaire_05,10,102,424.48425292968744,2.0,5000
briaire_05,250,102,424.48425292968744,50.0,5000
briaire_05,5,2,418.66760253906244,0.5,10000
briaire_05,20,2,418.66760253906244,2.0,10000
briaire_05,500,2,418.66760253906244,50.0,10000
rattay_01,12,3902,425.5279541015626,50.0,250
rattay_01,1,1902,425.5279541015626,2.0,500
rattay_01,25,1902,425.5279541015626,50.0,500
rattay_01,2,902,425.5279541015626,2.0,1000
rattay_01,50,902,425.5279541015626,50.0,1000
rattay_01,1,402,425.5279541015626,0.5,2000
rattay_01,4,402,425.74157714843756,2.0,2000
rattay_01,100,402,425.74157714843756,50.0,2000
rattay_01,1,235,425.5279541015626,0.5,3000
rattay_01,6,235,422.967529296875,2.0,3000
rattay_01,150,235,422.967529296875,50.0,3000
rattay_01,2,102,393.1976318359375,0.5,5000
rattay_01,10,102,397.31445312500006,2.0,5000
rattay_01,250,102,397.31445312500006,50.0,5000
rattay_01,5,2,377.59704589843744,0.5,10000
rattay_01,20,2,394.036865234375,2.0,10000
rattay_01,500,2,394.036865234375,50.0,10000
smit_10,12,3902,283.43200683593756,50.0,250
smit_10,1,1902,283.43200683593756,2.0,500
smit_10,25,1902,282.8521728515626,50.0,500
smit_10,2,902,283.43200683593756,2.0,1000
smit_10,50,902,283.43200683593756,50.0,1000
smit_10,1,402,283.43200683593756,0.5,2000
smit_10,4,402,283.502197265625,2.0,2000
smit_10,100,402,283.502197265625,50.0,2000
smit_10,1,235,283.43200683593756,0.5,3000
smit_10,6,235,277.75573730468756,2.0,3000
smit_10,150,235,277.75573730468756,50.0,3000
smit_10,2,102,305.1757812500001,0.5,5000
smit_10,10,102,259.25292968750006,2.0,5000
smit_10,250,102,259.25292968750006,50.0,5000
smit_10,5,2,327.44140625000006,0.5,10000
smit_10,20,2,327.35595703125,2.0,10000
smit_10,500,2,327.35595703125,50.0,10000
