model,number of pulses,inter pulse gap (us),threshold (uA),pulse train durations (ms),pulses per second
briaire_05,1,625,1066.722106933594,1.0,1500
briaire_05,4,625,1066.722106933594,3.0,1500
briaire_05,15,625,1066.722106933594,10.0,1500
briaire_05,45,625,1066.722106933594,30.0,1500
briaire_05,3,291,1066.722106933594,1.0,3000
briaire_05,9,291,1066.722106933594,3.0,3000
briaire_05,30,291,1066.722106933594,10.0,3000
briaire_05,90,291,1066.722106933594,30.0,3000
briaire_05,1,158,1066.722106933594,0.3,5000
briaire_05,5,158,1066.6946411132815,1.0,5000
briaire_05,15,158,1066.6946411132815,3.0,5000
briaire_05,50,158,1066.6946411132815,10.0,5000
briaire_05,150,158,1066.6946411132815,30.0,5000
briaire_05,1,49,1066.722106933594,0.1,11000
briaire_05,3,49,1054.2297363281252,0.3,11000
briaire_05,11,49,1054.197692871094,1.0,11000
briaire_05,33,49,1054.197692871094,3.0,11000
briaire_05,110,49,1054.197692871094,10.0,11000
briaire_05,330,49,1054.197692871094,30.0,11000
imennov_09,1,625,64.43939208984376,1.0,1500
imennov_09,4,625,64.37988281250001,3.0,1500
imennov_09,15,625,64.37988281250001,10.0,1500
imennov_09,45,625,64.37988281250001,30.0,1500
imennov_09,3,291,60.39276123046876,1.0,3000
imennov_09,9,291,59.94415283203126,3.0,3000
imennov_09,30,291,59.94415283203126,10.0,3000
imennov_09,90,291,59.94415283203126,30.0,3000
imennov_09,1,158,64.43939208984376,0.3,5000
imennov_09,5,158,53.302001953125,1.0,5000
imennov_09,15,158,52.5146484375,3.0,5000
imennov_09,50,158,52.5146484375,10.0,5000
imennov_09,150,158,52.5146484375,30.0,5000
imennov_09,1,49,64.43939208984376,0.1,11000
imennov_09,3,49,49.47509765625,0.3,11000
imennov_09,11,49,41.0888671875,1.0,11000
imennov_09,33,49,40.23742675781251,3.0,11000
imennov_09,110,49,40.23742675781251,10.0,11000
imennov_09,330,49,40.23742675781251,30.0,11000
rattay_01,1,625,1167.8787231445315,1.0,1500
rattay_01,4,625,1167.9016113281252,3.0,1500
rattay_01,15,625,1167.9016113281252,10.0,1500
rattay_01,45,625,1167.9016113281252,30.0,1500
rattay_01,3,291,1167.5308227539067,1.0,3000
rattay_01,9,291,1167.5308227539067,3.0,3000
rattay_01,30,291,1167.5308227539067,10.0,3000
rattay_01,90,291,1167.5308227539067,30.0,3000
rattay_01,1,158,1167.8787231445315,0.3,5000
rattay_01,5,158,1142.2073364257817,1.0,5000
rattay_01,15,158,1142.2073364257817,3.0,5000
rattay_01,50,158,1142.2073364257817,10.0,5000
rattay_01,150,158,1142.2073364257817,30.0,5000
rattay_01,1,49,1167.8787231445315,0.1,11000
rattay_01,3,49,1049.1210937500002,0.3,11000
rattay_01,11,49,1040.4006958007815,1.0,11000
rattay_01,33,49,1040.4006958007815,3.0,11000
rattay_01,110,49,1040.4006958007815,10.0,11000
rattay_01,330,49,1040.4006958007815,30.0,11000
smit_10,1,625,967.3965454101564,1.0,1500
smit_10,4,625,967.4011230468751,3.0,1500
smit_10,15,625,967.4011230468751,10.0,1500
smit_10,45,625,967.4011230468751,30.0,1500
smit_10,3,291,974.4369506835938,1.0,3000
smit_10,9,291,974.4369506835938,3.0,3000
smit_10,30,291,974.4369506835938,10.0,3000
smit_10,90,291,974.4369506835938,30.0,3000
smit_10,1,158,967.3965454101564,0.3,5000
smit_10,5,158,919.830322265625,1.0,5000
smit_10,15,158,919.830322265625,3.0,5000
smit_10,50,158,919.830322265625,10.0,5000
smit_10,150,158,919.830322265625,30.0,5000
smit_10,1,49,967.3965454101564,0.1,11000
smit_10,3,49,1000.3967285156252,0.3,11000
smit_10,11,49,989.0945434570311,1.0,11000
smit_10,33,49,989.0945434570311,3.0,11000
smit_10,110,49,989.0945434570311,10.0,11000
smit_10,330,49,989.0945434570311,30.0,11000
