model,knoise ratio,jitter (us)
briaire_05,0.2,6.699924002260033
briaire_05,0.4,16.141820993254232
briaire_05,0.6,18.393730628606743
briaire_05,0.8,19.784872144737882
briaire_05,1.0,22.445061647022012
briaire_05,2.0,26.05445368676073
briaire_05,3.0,33.80334878657361
briaire_05,4.0,224.13432532779672
frijns_94,0.2,8.67698159090558
frijns_94,0.4,14.498930512490498
frijns_94,0.6,16.097384303892696
frijns_94,0.8,15.778639294250409
frijns_94,1.0,17.946828356679887
frijns_94,2.0,19.06882476834974
frijns_94,3.0,23.038887643706
frijns_94,4.0,273.0924880938694
imennov_09,0.2,19.85497331277892
imennov_09,0.4,25.058233616771712
imennov_09,0.6,21.649105568278713
imennov_09,0.8,20.996015511889322
imennov_09,1.0,18.247755789757008
imennov_09,2.0,1039.1839325836997
imennov_09,3.0,727.1884384375329
imennov_09,4.0,412.927855628331
negm_14,0.2,15.89081729024228
negm_14,0.4,24.59896881416753
negm_14,0.6,25.837104333231473
negm_14,0.8,27.74177223628411
negm_14,1.0,28.185291520954333
negm_14,2.0,29.090265737951086
negm_14,3.0,31.092713294766586
negm_14,4.0,40.19444387704386
rattay_01,0.2,33.78071032230858
rattay_01,0.4,54.470496566274434
rattay_01,0.6,66.98734764497088
rattay_01,0.8,79.35402638072756
rattay_01,1.0,86.32950922757423
rattay_01,2.0,115.13986310696886
rattay_01,3.0,135.7467644425929
rattay_01,4.0,128.83597364711989
smit_09,0.2,17.205203542449482
smit_09,0.4,33.17142841377825
smit_09,0.6,39.29447189393863
smit_09,0.8,45.802845452079545
smit_09,1.0,45.87392143072707
smit_09,2.0,48.90294240570706
smit_09,3.0,57.52134377920399
smit_09,4.0,61.13763035111491
smit_10,0.2,52.49972951859165
smit_10,0.4,58.93415468849466
smit_10,0.6,64.49479938898709
smit_10,0.8,60.112916433409545
smit_10,1.0,72.44125657752255
smit_10,2.0,74.14733508564775
smit_10,3.0,82.70886869923298
smit_10,4.0,511.01487734470885
