pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
50,70.83,1*threshold,0,0.0011699999999999998
50,70.83,1*threshold,0,0.021169999999999998
50,70.83,1*threshold,0,0.04117
50,70.83,1*threshold,0,0.061169999999999995
50,106.25,1.5*threshold,0,0.000245
50,106.25,1.5*threshold,0,0.020245
50,106.25,1.5*threshold,0,0.040244999999999996
50,106.25,1.5*threshold,0,0.06024499999999999
50,141.67,2*threshold,0,0.00021499999999999997
50,141.67,2*threshold,0,0.020214999999999997
50,141.67,2*threshold,0,0.040214999999999994
50,141.67,2*threshold,0,0.060215
50,212.5,3*threshold,0,0.00019999999999999998
50,212.5,3*threshold,0,0.0202
50,212.5,3*threshold,0,0.0402
50,212.5,3*threshold,0,0.0602
100,70.83,1*threshold,0,0.0011699999999999998
100,106.25,1.5*threshold,0,0.000245
100,106.25,1.5*threshold,0,0.010244999999999999
100,106.25,1.5*threshold,0,0.020245
100,106.25,1.5*threshold,0,0.030244999999999998
100,106.25,1.5*threshold,0,0.040244999999999996
100,106.25,1.5*threshold,0,0.050245
100,106.25,1.5*threshold,0,0.06024499999999999
100,106.25,1.5*threshold,0,0.07024499999999999
100,106.25,1.5*threshold,0,0.080245
100,141.67,2*threshold,0,0.00021499999999999997
100,141.67,2*threshold,0,0.010214999999999998
100,141.67,2*threshold,0,0.020214999999999997
100,141.67,2*threshold,0,0.030215
100,141.67,2*threshold,0,0.040214999999999994
100,141.67,2*threshold,0,0.050214999999999996
100,141.67,2*threshold,0,0.060215
100,141.67,2*threshold,0,0.070215
100,141.67,2*threshold,0,0.080215
100,212.5,3*threshold,0,0.00019999999999999998
100,212.5,3*threshold,0,0.010199999999999999
100,212.5,3*threshold,0,0.0202
100,212.5,3*threshold,0,0.030199999999999998
100,212.5,3*threshold,0,0.0402
100,212.5,3*threshold,0,0.050199999999999995
100,212.5,3*threshold,0,0.0602
100,212.5,3*threshold,0,0.0702
100,212.5,3*threshold,0,0.0802
200,70.83,1*threshold,0,0.0011699999999999998
200,106.25,1.5*threshold,0,0.000245
200,106.25,1.5*threshold,0,0.005245
200,106.25,1.5*threshold,0,0.010244999999999999
200,106.25,1.5*threshold,0,0.015244999999999998
200,106.25,1.5*threshold,0,0.020245
200,106.25,1.5*threshold,0,0.025244999999999997
200,106.25,1.5*threshold,0,0.030244999999999998
200,106.25,1.5*threshold,0,0.035245
200,106.25,1.5*threshold,0,0.040244999999999996
200,106.25,1.5*threshold,0,0.045244999999999994
200,106.25,1.5*threshold,0,0.050245
200,106.25,1.5*threshold,0,0.055244999999999995
200,106.25,1.5*threshold,0,0.06024499999999999
200,106.25,1.5*threshold,0,0.065245
200,106.25,1.5*threshold,0,0.07024499999999999
200,106.25,1.5*threshold,0,0.07524499999999999
200,106.25,1.5*threshold,0,0.080245
200,106.25,1.5*threshold,0,0.08524499999999999
200,106.25,1.5*threshold,0,0.09024499999999999
200,141.67,2*threshold,0,0.00021499999999999997
200,141.67,2*threshold,0,0.005214999999999999
200,141.67,2*threshold,0,0.010214999999999998
200,141.67,2*threshold,0,0.015215
200,141.67,2*threshold,0,0.020214999999999997
200,141.67,2*threshold,0,0.025214999999999998
200,141.67,2*threshold,0,0.030215
200,141.67,2*threshold,0,0.035214999999999996
200,141.67,2*threshold,0,0.040214999999999994
200,141.67,2*threshold,0,0.045215
200,141.67,2*threshold,0,0.050214999999999996
200,141.67,2*threshold,0,0.05521499999999999
200,141.67,2*threshold,0,0.060215
200,141.67,2*threshold,0,0.065215
200,141.67,2*threshold,0,0.070215
200,141.67,2*threshold,0,0.07521499999999999
200,141.67,2*threshold,0,0.080215
200,141.67,2*threshold,0,0.085215
200,141.67,2*threshold,0,0.09021499999999999
200,212.5,3*threshold,0,0.00019999999999999998
200,212.5,3*threshold,0,0.0052
200,212.5,3*threshold,0,0.010199999999999999
200,212.5,3*threshold,0,0.015199999999999998
200,212.5,3*threshold,0,0.0202
200,212.5,3*threshold,0,0.025199999999999997
200,212.5,3*threshold,0,0.030199999999999998
200,212.5,3*threshold,0,0.035199999999999995
200,212.5,3*threshold,0,0.0402
200,212.5,3*threshold,0,0.0452
200,212.5,3*threshold,0,0.050199999999999995
200,212.5,3*threshold,0,0.05519999999999999
200,212.5,3*threshold,0,0.0602
