pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
400,1076.89,1*threshold,0,0.00033
400,1076.89,1*threshold,0,0.0028599999999999997
400,1076.89,1*threshold,0,0.0053549999999999995
400,1076.89,1*threshold,0,0.00785
400,1076.89,1*threshold,0,0.010369999999999999
400,1076.89,1*threshold,0,0.012844999999999999
400,1076.89,1*threshold,0,0.01534
400,1076.89,1*threshold,0,0.017855
400,1076.89,1*threshold,0,0.02036
400,1076.89,1*threshold,0,0.02285
400,1076.89,1*threshold,0,0.025359999999999997
400,1076.89,1*threshold,0,0.027854999999999998
400,1076.89,1*threshold,0,0.030374999999999996
400,1076.89,1*threshold,0,0.03285
400,1076.89,1*threshold,0,0.035359999999999996
400,1076.89,1*threshold,0,0.037849999999999995
400,1076.89,1*threshold,0,0.04035999999999999
400,1076.89,1*threshold,0,0.042855
400,1076.89,1*threshold,0,0.045349999999999994
400,1076.89,1*threshold,0,0.047834999999999996
400,1076.89,1*threshold,0,0.05036499999999999
400,1076.89,1*threshold,0,0.052844999999999996
400,1076.89,1*threshold,0,0.05533999999999999
400,1076.89,1*threshold,0,0.057844999999999994
400,1076.89,1*threshold,0,0.06033499999999999
400,1076.89,1*threshold,0,0.062855
400,1076.89,1*threshold,0,0.065345
400,1076.89,1*threshold,0,0.06785
400,1076.89,1*threshold,0,0.07034499999999999
400,1076.89,1*threshold,0,0.07286
400,1076.89,1*threshold,0,0.07535
400,1076.89,1*threshold,0,0.07783999999999999
400,1076.89,1*threshold,0,0.080355
400,1076.89,1*threshold,0,0.082855
400,1076.89,1*threshold,0,0.08535999999999999
400,1076.89,1*threshold,0,0.08785
400,1076.89,1*threshold,0,0.09035499999999999
400,1076.89,1*threshold,0,0.092845
400,1076.89,1*threshold,0,0.09535999999999999
400,1076.89,1*threshold,0,0.09785999999999999
400,1076.89,1*threshold,0,0.10034499999999999
400,1076.89,1*threshold,0,0.10282999999999999
400,1076.89,1*threshold,0,0.105345
400,1076.89,1*threshold,0,0.107845
400,1076.89,1*threshold,0,0.110355
400,1076.89,1*threshold,0,0.11284499999999999
400,1076.89,1*threshold,0,0.11535
400,1076.89,1*threshold,0,0.11784499999999999
400,1076.89,1*threshold,0,0.12035499999999999
400,1076.89,1*threshold,0,0.122845
400,1076.89,1*threshold,0,0.125375
400,1076.89,1*threshold,0,0.12786499999999998
400,1076.89,1*threshold,0,0.13035
400,1076.89,1*threshold,0,0.13287
400,1076.89,1*threshold,0,0.13535499999999998
400,1076.89,1*threshold,0,0.13784
400,1076.89,1*threshold,0,0.140365
400,1076.89,1*threshold,0,0.14284
400,1076.89,1*threshold,0,0.14535499999999998
400,1076.89,1*threshold,0,0.147865
400,1076.89,1*threshold,0,0.15036999999999998
400,1076.89,1*threshold,0,0.15284999999999999
400,1076.89,1*threshold,0,0.15536
400,1076.89,1*threshold,0,0.15784499999999999
400,1076.89,1*threshold,0,0.16035999999999997
400,1076.89,1*threshold,0,0.16285
400,1076.89,1*threshold,0,0.16535
400,1076.89,1*threshold,0,0.16784999999999997
400,1076.89,1*threshold,0,0.17035999999999998
400,1076.89,1*threshold,0,0.17285999999999999
400,1076.89,1*threshold,0,0.17534499999999997
400,1076.89,1*threshold,0,0.17784999999999998
400,1076.89,1*threshold,0,0.18037499999999998
400,1076.89,1*threshold,0,0.18286999999999998
400,1076.89,1*threshold,0,0.18534499999999998
400,1076.89,1*threshold,0,0.18785999999999997
400,1076.89,1*threshold,0,0.19035
400,1076.89,1*threshold,0,0.19285
400,1076.89,1*threshold,0,0.19535999999999998
400,1076.89,1*threshold,0,0.19784
400,1076.89,1*threshold,0,0.20035499999999998
400,1076.89,1*threshold,0,0.20284
400,1076.89,1*threshold,0,0.20534999999999998
400,1076.89,1*threshold,0,0.20783999999999997
400,1076.89,1*threshold,0,0.210355
400,1076.89,1*threshold,0,0.21284999999999998
400,1076.89,1*threshold,0,0.21536499999999997
400,1076.89,1*threshold,0,0.21785
400,1076.89,1*threshold,0,0.22035999999999997
400,1076.89,1*threshold,0,0.22283499999999998
400,1076.89,1*threshold,0,0.225345
400,1076.89,1*threshold,0,0.22784999999999997
400,1076.89,1*threshold,0,0.23034499999999997
400,1076.89,1*threshold,0,0.23284499999999997
400,1076.89,1*threshold,0,0.23535499999999998
400,1076.89,1*threshold,0,0.23784999999999998
400,1076.89,1*threshold,0,0.24036
400,1076.89,1*threshold,0,0.24286
400,1076.89,1*threshold,0,0.24535999999999997
400,1076.89,1*threshold,0,0.24786999999999998
400,1076.89,1*threshold,0,0.250355
400,1076.89,1*threshold,0,0.252855
400,1076.89,1*threshold,0,0.255345
400,1076.89,1*threshold,0,0.257845
400,1076.89,1*threshold,0,0.260355
400,1076.89,1*threshold,0,0.26287
400,1076.89,1*threshold,0,0.26536499999999996
400,1076.89,1*threshold,0,0.26787
400,1076.89,1*threshold,0,0.27035499999999996
400,1076.89,1*threshold,0,0.27285
400,1076.89,1*threshold,0,0.275375
400,1076.89,1*threshold,0,0.277875
400,1076.89,1*threshold,0,0.28034
400,1076.89,1*threshold,0,0.28284499999999996
400,1076.89,1*threshold,0,0.28534
400,1076.89,1*threshold,0,0.28785
400,1076.89,1*threshold,0,0.29035999999999995
400,1076.89,1*threshold,0,0.29281999999999997
400,1076.89,1*threshold,0,0.29534499999999997
400,1076.89,1*threshold,1,0.000325
400,1076.89,1*threshold,1,0.002855
400,1076.89,1*threshold,1,0.005359999999999999
400,1076.89,1*threshold,1,0.007855
400,1076.89,1*threshold,1,0.01035
400,1076.89,1*threshold,1,0.012859999999999998
400,1076.89,1*threshold,1,0.01539
400,1076.89,1*threshold,1,0.017849999999999998
400,1076.89,1*threshold,1,0.020339999999999997
400,1076.89,1*threshold,1,0.022854999999999997
400,1076.89,1*threshold,1,0.025365
400,1076.89,1*threshold,1,0.027859999999999996
400,1076.89,1*threshold,1,0.030364999999999996
400,1076.89,1*threshold,1,0.032845
400,1076.89,1*threshold,1,0.035359999999999996
400,1076.89,1*threshold,1,0.037849999999999995
400,1076.89,1*threshold,1,0.040339999999999994
400,1076.89,1*threshold,1,0.042844999999999994
400,1076.89,1*threshold,1,0.045344999999999996
400,1076.89,1*threshold,1,0.047839999999999994
400,1076.89,1*threshold,1,0.050359999999999995
400,1076.89,1*threshold,1,0.05285499999999999
400,1076.89,1*threshold,1,0.055349999999999996
400,1076.89,1*threshold,1,0.057835
400,1076.89,1*threshold,1,0.06036999999999999
400,1076.89,1*threshold,1,0.062855
400,1076.89,1*threshold,1,0.065345
400,1076.89,1*threshold,1,0.06785999999999999
400,1076.89,1*threshold,1,0.070335
400,1076.89,1*threshold,1,0.072835
400,1076.89,1*threshold,1,0.07536
400,1076.89,1*threshold,1,0.077845
400,1076.89,1*threshold,1,0.08033499999999999
400,1076.89,1*threshold,1,0.082855
400,1076.89,1*threshold,1,0.08534499999999999
400,1076.89,1*threshold,1,0.087865
400,1076.89,1*threshold,1,0.09036
400,1076.89,1*threshold,1,0.092855
400,1076.89,1*threshold,1,0.09534999999999999
400,1076.89,1*threshold,1,0.097865
400,1076.89,1*threshold,1,0.10036999999999999
400,1076.89,1*threshold,1,0.10286999999999999
400,1076.89,1*threshold,1,0.10535499999999999
400,1076.89,1*threshold,1,0.10786499999999999
400,1076.89,1*threshold,1,0.11034999999999999
400,1076.89,1*threshold,1,0.11284499999999999
400,1076.89,1*threshold,1,0.11535499999999999
400,1076.89,1*threshold,1,0.11786499999999998
400,1076.89,1*threshold,1,0.12035499999999999
400,1076.89,1*threshold,1,0.122845
400,1076.89,1*threshold,1,0.12536
400,1076.89,1*threshold,1,0.127845
400,1076.89,1*threshold,1,0.13033499999999998
400,1076.89,1*threshold,1,0.13285
400,1076.89,1*threshold,1,0.135345
400,1076.89,1*threshold,1,0.13785499999999998
400,1076.89,1*threshold,1,0.14035999999999998
400,1076.89,1*threshold,1,0.14287999999999998
400,1076.89,1*threshold,1,0.14535499999999998
400,1076.89,1*threshold,1,0.14784999999999998
400,1076.89,1*threshold,1,0.150355
400,1076.89,1*threshold,1,0.152855
400,1076.89,1*threshold,1,0.15536
400,1076.89,1*threshold,1,0.157855
400,1076.89,1*threshold,1,0.16033999999999998
400,1076.89,1*threshold,1,0.16286499999999998
400,1076.89,1*threshold,1,0.16535
400,1076.89,1*threshold,1,0.16783499999999998
400,1076.89,1*threshold,1,0.17035999999999998
400,1076.89,1*threshold,1,0.17284999999999998
400,1076.89,1*threshold,1,0.17534
400,1076.89,1*threshold,1,0.17786
400,1076.89,1*threshold,1,0.18033999999999997
400,1076.89,1*threshold,1,0.182855
400,1076.89,1*threshold,1,0.18536999999999998
400,1076.89,1*threshold,1,0.18785999999999997
400,1076.89,1*threshold,1,0.19035
400,1076.89,1*threshold,1,0.19283999999999998
400,1076.89,1*threshold,1,0.19535499999999997
400,1076.89,1*threshold,1,0.19784999999999997
400,1076.89,1*threshold,1,0.200365
400,1076.89,1*threshold,1,0.20284
