phase duration (us),pulse form,threshold
40,monophasic,443.566
40,monophasic,440.353
40,monophasic,457.854
40,monophasic,402.223
40,monophasic,454.239
40,monophasic,452.146
40,monophasic,442.055
40,monophasic,426.402
40,monophasic,454.175
40,monophasic,392.052
40,monophasic,378.163
40,monophasic,394.777
40,monophasic,346.101
40,monophasic,442.38
40,monophasic,426.465
40,monophasic,407.29
40,monophasic,440.904
40,monophasic,410.776
40,monophasic,425.154
40,monophasic,419.804
40,monophasic,439.513
40,monophasic,424.889
40,monophasic,437.348
40,monophasic,474.394
40,monophasic,494.835
40,monophasic,395.933
40,monophasic,423.915
40,monophasic,428.75
40,monophasic,434.051
40,monophasic,434.584
40,monophasic,425.597
40,monophasic,451.09
40,monophasic,402.784
40,monophasic,473.5
40,monophasic,458.554
40,monophasic,400.575
40,monophasic,435.569
40,monophasic,497.271
40,monophasic,402.531
40,monophasic,413.861
40,monophasic,410.807
40,monophasic,408.337
40,monophasic,433.35
40,monophasic,448.216
40,monophasic,411.715
40,monophasic,424.43
40,monophasic,411.173
40,monophasic,450.687
40,monophasic,395.293
40,monophasic,422.939
40,monophasic,457.624
40,monophasic,445.392
40,monophasic,456.428
40,monophasic,442.084
40,monophasic,439.937
40,monophasic,421.062
40,monophasic,426.949
40,monophasic,418.861
40,monophasic,416.678
40,monophasic,449.4
100,monophasic,284.455
100,monophasic,293.536
100,monophasic,271.142
100,monophasic,271.167
100,monophasic,268.482
100,monophasic,285.195
100,monophasic,266.725
100,monophasic,274.928
100,monophasic,249.326
100,monophasic,260.882
100,monophasic,262.317
100,monophasic,281.829
100,monophasic,271.771
100,monophasic,250.991
100,monophasic,282.107
100,monophasic,270.883
100,monophasic,292.93
100,monophasic,302.98
100,monophasic,247.495
100,monophasic,296.202
100,monophasic,280.654
100,monophasic,283.982
100,monophasic,257.539
100,monophasic,305.518
100,monophasic,265.754
100,monophasic,259.021
100,monophasic,276.516
100,monophasic,274.735
100,monophasic,280.925
100,monophasic,312.592
100,monophasic,241.581
100,monophasic,295.056
100,monophasic,270.001
100,monophasic,278.649
100,monophasic,284.937
100,monophasic,266.571
100,monophasic,303.949
100,monophasic,268.102
100,monophasic,269.407
100,monophasic,260.277
100,monophasic,292.267
100,monophasic,287.351
100,monophasic,287.441
100,monophasic,230.98
100,monophasic,299.131
100,monophasic,310.569
100,monophasic,298.554
100,monophasic,262.321
100,monophasic,275.576
100,monophasic,244.157
100,monophasic,259.247
100,monophasic,268.151
100,monophasic,276.717
100,monophasic,281.812
100,monophasic,261.891
100,monophasic,270.549
100,monophasic,278.181
100,monophasic,318.937
100,monophasic,300.703
100,monophasic,298.59
200,biphasic,223.663
200,biphasic,254.195
200,biphasic,230.925
200,biphasic,244.573
200,biphasic,242.281
200,biphasic,229.304
200,biphasic,229.626
200,biphasic,239.262
200,biphasic,246.785
200,biphasic,273.186
200,biphasic,233.596
200,biphasic,223.057
200,biphasic,235.555
200,biphasic,238.602
200,biphasic,244.714
200,biphasic,217.587
200,biphasic,226.473
200,biphasic,221.837
200,biphasic,222.711
200,biphasic,236.095
200,biphasic,224.301
200,biphasic,230.766
200,biphasic,255.239
200,biphasic,243.756
200,biphasic,248.788
200,biphasic,245.662
200,biphasic,224.339
200,biphasic,208.357
200,biphasic,216.871
200,biphasic,240.572
200,biphasic,259.728
200,biphasic,241.06
200,biphasic,242.554
200,biphasic,251.959
200,biphasic,246.932
200,biphasic,239.947
200,biphasic,223.105
200,biphasic,235.793
200,biphasic,205.606
200,biphasic,233.718
200,biphasic,238.62
200,biphasic,256.405
200,biphasic,209.417
200,biphasic,260.974
200,biphasic,253.757
200,biphasic,251.194
200,biphasic,234.717
200,biphasic,231.936
200,biphasic,230.127
200,biphasic,224.144
200,biphasic,234.53
200,biphasic,258.855
200,biphasic,236.907
200,biphasic,261.431
200,biphasic,253.89
200,biphasic,247.698
200,biphasic,251.263
200,biphasic,205.924
200,biphasic,241.689
200,biphasic,221.074
400,biphasic,209.866
400,biphasic,210.276
400,biphasic,217.211
400,biphasic,230.824
400,biphasic,223.79
400,biphasic,206.881
400,biphasic,240.089
400,biphasic,220.557
400,biphasic,225.371
400,biphasic,226.844
400,biphasic,223.042
400,biphasic,249.403
400,biphasic,228.077
400,biphasic,230.801
400,biphasic,217.079
400,biphasic,223.936
400,biphasic,219.284
400,biphasic,254.706
400,biphasic,220.8
400,biphasic,209.337
400,biphasic,208.062
400,biphasic,218.118
400,biphasic,236.25
400,biphasic,229.104
400,biphasic,225.201
400,biphasic,232.343
400,biphasic,209.852
400,biphasic,217.48
400,biphasic,210.374
400,biphasic,199.398
400,biphasic,210.475
400,biphasic,202.264
400,biphasic,218.86
400,biphasic,229.47
400,biphasic,222.649
400,biphasic,222.878
400,biphasic,222.183
400,biphasic,233.814
400,biphasic,217.841
400,biphasic,204.22
400,biphasic,216.891
400,biphasic,219.035
400,biphasic,211.711
400,biphasic,215.804
400,biphasic,234.507
400,biphasic,219.146
400,biphasic,205.863
400,biphasic,221.818
400,biphasic,212.856
400,biphasic,208.298
400,biphasic,225.042
400,biphasic,204.894
400,biphasic,229.359
400,biphasic,235.95
400,biphasic,216.103
400,biphasic,210.202
400,biphasic,231.104
400,biphasic,219.048
400,biphasic,212.947
400,biphasic,226.618
