phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,run,membrane potential (mV),time (ms)
40,428.81,1*threshold,monophasic,0,-84.56548225541522,0.0
40,428.81,1*threshold,monophasic,0,-85.38809939032768,0.0009999999999998899
40,428.81,1*threshold,monophasic,0,-86.1865617711212,0.0019999999999997797
40,428.81,1*threshold,monophasic,0,-86.95750338309614,0.0029999999999998916
40,428.81,1*threshold,monophasic,0,-87.69779604283872,0.0040000000000000036
40,428.81,1*threshold,monophasic,0,-88.4051080704386,0.0050000000000001155
40,428.81,1*threshold,monophasic,0,-89.07804498724919,0.006000000000000005
40,428.81,1*threshold,monophasic,0,-89.71608151252514,0.006999999999999895
40,428.81,1*threshold,monophasic,0,-90.31941014539984,0.008000000000000007
40,428.81,1*threshold,monophasic,0,-90.88877197352859,0.008999999999999897
40,428.81,1*threshold,monophasic,0,-91.42530048040969,0.010000000000000009
40,428.81,1*threshold,monophasic,0,-91.93039021833373,0.010999999999999899
40,428.81,1*threshold,monophasic,0,-92.4055926103148,0.011999999999999789
40,428.81,1*threshold,monophasic,0,-92.8525367104475,0.0129999999999999
40,428.81,1*threshold,monophasic,0,-93.27287107250811,0.014000000000000012
40,428.81,1*threshold,monophasic,0,-93.66822258387988,0.015000000000000124
40,428.81,1*threshold,monophasic,0,-94.04016846451867,0.016000000000000014
40,428.81,1*threshold,monophasic,0,-94.39021821073734,0.016999999999999904
40,428.81,1*threshold,monophasic,0,-94.71980288167872,0.018000000000000016
40,428.81,1*threshold,monophasic,0,-95.03026969168228,0.018999999999999906
40,428.81,1*threshold,monophasic,0,-95.32288035083737,0.019999999999999796
40,428.81,1*threshold,monophasic,0,-95.59881198394969,0.020999999999999908
40,428.81,1*threshold,monophasic,0,-95.85915976297102,0.021999999999999797
40,428.81,1*threshold,monophasic,0,-96.10494062239674,0.02300000000000013
40,428.81,1*threshold,monophasic,0,-96.33709760459504,0.02400000000000002
40,428.81,1*threshold,monophasic,0,-96.55650451464012,0.02499999999999991
40,428.81,1*threshold,monophasic,0,-96.76397066224399,0.026000000000000023
40,428.81,1*threshold,monophasic,0,-96.96024554013549,0.026999999999999913
40,428.81,1*threshold,monophasic,0,-97.1460233402529,0.028000000000000025
40,428.81,1*threshold,monophasic,0,-97.32194724645122,0.028999999999999915
40,428.81,1*threshold,monophasic,0,-97.48861346891263,0.029999999999999805
40,428.81,1*threshold,monophasic,0,-97.64657500398187,0.030999999999999917
40,428.81,1*threshold,monophasic,0,-97.7963451158825,0.03200000000000003
40,428.81,1*threshold,monophasic,0,-97.9384005453066,0.03299999999999992
40,428.81,1*threshold,monophasic,0,-98.07318445539124,0.03400000000000003
40,428.81,1*threshold,monophasic,0,-98.20110912896402,0.03499999999999992
40,428.81,1*threshold,monophasic,0,-98.32255843279331,0.03600000000000003
40,428.81,1*threshold,monophasic,0,-98.43789006537752,0.03699999999999992
40,428.81,1*threshold,monophasic,0,-98.54743760488303,0.03799999999999981
40,428.81,1*threshold,monophasic,0,-98.65151237344026,0.038999999999999924
40,428.81,1*threshold,monophasic,0,-98.75040513329637,0.039999999999999813
40,428.81,1*threshold,monophasic,0,-98.02176900966697,0.04100000000000015
40,428.81,1*threshold,monophasic,0,-97.31263112782324,0.04200000000000004
40,428.81,1*threshold,monophasic,0,-96.62659612290099,0.04299999999999993
40,428.81,1*threshold,monophasic,0,-95.96701535701003,0.04400000000000004
40,428.81,1*threshold,monophasic,0,-95.33642931625054,0.04499999999999993
40,428.81,1*threshold,monophasic,0,-94.73642790662763,0.04600000000000004
40,428.81,1*threshold,monophasic,0,-94.16771937337386,0.04699999999999993
40,428.81,1*threshold,monophasic,0,-93.63028255798363,0.04799999999999982
40,428.81,1*threshold,monophasic,0,-93.12353685594366,0.04899999999999993
40,428.81,1*threshold,monophasic,0,-92.64649911024442,0.050000000000000044
40,428.81,1*threshold,monophasic,0,-92.19791558235623,0.050999999999999934
40,428.81,1*threshold,monophasic,0,-91.77636674626636,0.052000000000000046
40,428.81,1*threshold,monophasic,0,-91.38034708445043,0.052999999999999936
40,428.81,1*threshold,monophasic,0,-91.00832374303735,0.05400000000000005
40,428.81,1*threshold,monophasic,0,-90.65877819463134,0.05499999999999994
40,428.81,1*threshold,monophasic,0,-90.33023471303866,0.05599999999999983
40,428.81,1*threshold,monophasic,0,-90.02127888263303,0.05699999999999994
40,428.81,1*threshold,monophasic,0,-89.73056874577948,0.05799999999999983
40,428.81,1*threshold,monophasic,0,-89.45684062545268,0.05899999999999994
40,428.81,1*threshold,monophasic,0,-89.1989111804323,0.06000000000000005
40,428.81,1*threshold,monophasic,0,-88.9556768621128,0.06099999999999994
40,428.81,1*threshold,monophasic,0,-88.7261116369552,0.062000000000000055
40,428.81,1*threshold,monophasic,0,-88.50926360413801,0.06299999999999994
40,428.81,1*threshold,monophasic,0,-88.30425096062419,0.06400000000000006
40,428.81,1*threshold,monophasic,0,-88.1102576334591,0.06499999999999995
40,428.81,1*threshold,monophasic,0,-87.92652880134953,0.06599999999999984
40,428.81,1*threshold,monophasic,0,-87.75236645610538,0.06699999999999995
40,428.81,1*threshold,monophasic,0,-87.58712510278785,0.06799999999999984
40,428.81,1*threshold,monophasic,0,-87.43020766034289,0.06899999999999995
40,428.81,1*threshold,monophasic,0,-87.28106159824597,0.07000000000000006
40,428.81,1*threshold,monophasic,0,-87.1391753263579,0.07099999999999995
40,428.81,1*threshold,monophasic,0,-87.00407484261913,0.07200000000000006
40,428.81,1*threshold,monophasic,0,-86.8753206348003,0.07299999999999995
40,428.81,1*threshold,monophasic,0,-86.75250482709343,0.07399999999999984
40,428.81,1*threshold,monophasic,0,-86.63524855901272,0.07499999999999996
40,428.81,1*threshold,monophasic,0,-86.52319958224393,0.07599999999999985
40,428.81,1*threshold,monophasic,0,-86.41603006028329,0.07699999999999996
40,428.81,1*threshold,monophasic,0,-86.31343455561019,0.07800000000000007
40,428.81,1*threshold,monophasic,0,-86.21512818950855,0.07899999999999996
40,428.81,1*threshold,monophasic,0,-86.12084496032416,0.08000000000000007
40,428.81,1*threshold,monophasic,0,-86.03033620679898,0.08099999999999996
40,428.81,1*threshold,monophasic,0,-85.94336920407923,0.08199999999999985
40,428.81,1*threshold,monophasic,0,-85.85972588099551,0.08299999999999996
40,428.81,1*threshold,monophasic,0,-85.77920164821624,0.08399999999999985
40,428.81,1*threshold,monophasic,0,-85.70160432786179,0.08499999999999996
40,428.81,1*threshold,monophasic,0,-85.6267531761058,0.08599999999999985
40,428.81,1*threshold,monophasic,0,-85.55447799117668,0.08699999999999997
40,428.81,1*threshold,monophasic,0,-85.48461829998843,0.08800000000000008
40,428.81,1*threshold,monophasic,0,-85.41702261736692,0.08899999999999997
40,428.81,1*threshold,monophasic,0,-85.35154777249156,0.09000000000000008
40,428.81,1*threshold,monophasic,0,-85.2880582977264,0.09099999999999997
40,428.81,1*threshold,monophasic,0,-85.22642587547794,0.09199999999999986
40,428.81,1*threshold,monophasic,0,-85.16652883907412,0.09299999999999997
40,428.81,1*threshold,monophasic,0,-85.10825172392273,0.09399999999999986
40,428.81,1*threshold,monophasic,0,-85.05148486537917,0.09499999999999997
40,428.81,1*threshold,monophasic,0,-84.99612403984337,0.09599999999999986
40,428.81,1*threshold,monophasic,0,-84.94207014563149,0.09699999999999998
40,428.81,1*threshold,monophasic,0,-84.88922892014318,0.09800000000000009
40,428.81,1*threshold,monophasic,0,-84.83751068979402,0.09899999999999998
40,428.81,1*threshold,monophasic,0,-84.78683014912107,0.09999999999999987
40,428.81,1*threshold,monophasic,0,-84.73710616541995,0.10099999999999998
40,428.81,1*threshold,monophasic,0,-84.68826160525145,0.10199999999999987
40,428.81,1*threshold,monophasic,0,-84.64022317917653,0.10299999999999998
40,428.81,1*threshold,monophasic,0,-84.5929213011533,0.10399999999999987
40,428.81,1*threshold,monophasic,0,-84.546289959162,0.10499999999999976
40,428.81,1*threshold,monophasic,0,-84.50026659381481,0.1060000000000001
40,428.81,1*threshold,monophasic,0,-84.45479198195497,0.10699999999999998
40,428.81,1*threshold,monophasic,0,-84.40981012254547,0.1080000000000001
40,428.81,1*threshold,monophasic,0,-84.36526812248185,0.10899999999999999
40,428.81,1*threshold,monophasic,0,-84.32111608032847,0.10999999999999988
40,428.81,1*threshold,monophasic,0,-84.27730696635493,0.11099999999999999
40,428.81,1*threshold,monophasic,0,-84.23379649763295,0.11199999999999988
40,428.81,1*threshold,monophasic,0,-84.19054300732749,0.11299999999999999
40,428.81,1*threshold,monophasic,0,-84.14750730767284,0.11399999999999988
40,428.81,1*threshold,monophasic,0,-84.10465254645393,0.11499999999999999
40,428.81,1*threshold,monophasic,0,-84.06194405710944,0.1160000000000001
40,428.81,1*threshold,monophasic,0,-84.01934920283249,0.11699999999999999
40,428.81,1*threshold,monophasic,0,-83.97683721526418,0.11799999999999988
40,428.81,1*threshold,monophasic,0,-83.93437902855266,0.119
40,428.81,1*threshold,monophasic,0,-83.89194710968972,0.11999999999999988
40,428.81,1*threshold,monophasic,0,-83.84951528613836,0.121
40,428.81,1*threshold,monophasic,0,-83.80705857183113,0.12199999999999989
40,428.81,1*threshold,monophasic,0,-83.76455299265665,0.12299999999999978
40,428.81,1*threshold,monophasic,0,-83.72197541256301,0.12400000000000011
40,428.81,1*threshold,monophasic,0,-83.6793033613954,0.125
40,428.81,1*threshold,monophasic,0,-83.63651486555905,0.1260000000000001
40,428.81,1*threshold,monophasic,0,-83.59358828255885,0.127
40,428.81,1*threshold,monophasic,0,-83.55050214041566,0.1279999999999999
40,428.81,1*threshold,monophasic,0,-83.50723498290631,0.129
40,428.81,1*threshold,monophasic,0,-83.46376522151348,0.1299999999999999
40,428.81,1*threshold,monophasic,0,-83.42007099491315,0.13099999999999978
40,428.81,1*threshold,monophasic,0,-83.3761300367678,0.1319999999999999
40,428.81,1*threshold,monophasic,0,-83.33191955253815,0.13299999999999979
40,428.81,1*threshold,monophasic,0,-83.2874161059745,0.13400000000000012
40,428.81,1*threshold,monophasic,0,-83.24259551590418,0.135
40,428.81,1*threshold,monophasic,0,-83.19743276389512,0.1359999999999999
40,428.81,1*threshold,monophasic,0,-83.15190191334852,0.137
40,428.81,1*threshold,monophasic,0,-83.10597604056018,0.1379999999999999
40,428.81,1*threshold,monophasic,0,-83.05962717828686,0.139
