phase duration (us),threshold (uA)
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,988.1408691406247
14.0,869.549560546875
15.0,822.186279296875
17.0,744.3054199218751
19.0,682.9833984375001
22.0,612.1337890625
24.0,574.8779296875001
27.0,529.510498046875
30.0,493.37158203125006
34.0,455.31005859375006
38.0,425.44555664062506
42.0,401.422119140625
48.0,373.1201171875
53.0,354.60815429687494
60.0,334.08813476562506
67.0,318.06640625
75.0,303.62548828125006
84.0,290.89355468749994
94.0,279.83398437500006
105.0,270.32470703125
118.0,261.61499023437506
132.0,254.38842773437509
147.0,248.39477539062491
165.0,242.87109375
185.0,238.238525390625
207.0,234.40551757812497
232.0,231.17065429687503
260.0,228.52172851562497
291.0,226.40991210937503
326.0,224.74975585937497
365.0,223.504638671875
408.0,222.6318359375
457.00000000000006,222.0458984375
512.0,221.70410156250003
