phase duration (us),pulse form,threshold
40,monophasic,108.431
40,monophasic,139.954
40,monophasic,115.37
40,monophasic,143.304
40,monophasic,126.216
40,monophasic,139.503
40,monophasic,121.978
40,monophasic,114.987
40,monophasic,123.603
40,monophasic,139.684
40,monophasic,136.052
40,monophasic,105.616
40,monophasic,109.347
40,monophasic,120.758
40,monophasic,139.625
40,monophasic,117.104
40,monophasic,117.558
40,monophasic,137.601
40,monophasic,110.804
40,monophasic,125.593
40,monophasic,105.629
40,monophasic,106.867
40,monophasic,126.986
40,monophasic,116.907
40,monophasic,139.453
40,monophasic,106.323
40,monophasic,126.956
40,monophasic,149.426
40,monophasic,105.108
40,monophasic,130.984
40,monophasic,119.7
40,monophasic,127.957
40,monophasic,138.851
40,monophasic,131.564
40,monophasic,130.273
40,monophasic,129.715
40,monophasic,108.781
40,monophasic,141.91
40,monophasic,128.767
40,monophasic,126.756
40,monophasic,103.89
40,monophasic,120.534
40,monophasic,107.044
40,monophasic,121.245
40,monophasic,136.293
40,monophasic,115.883
40,monophasic,108.689
40,monophasic,135.077
40,monophasic,121.249
40,monophasic,124.821
40,monophasic,123.354
40,monophasic,134.822
40,monophasic,133.411
40,monophasic,130.123
40,monophasic,141.595
40,monophasic,123.319
40,monophasic,127.819
40,monophasic,123.522
40,monophasic,137.566
40,monophasic,145.359
100,monophasic,64.502
100,monophasic,73.12
100,monophasic,74.048
100,monophasic,74.647
100,monophasic,75.332
100,monophasic,76.687
100,monophasic,73.371
100,monophasic,79.222
100,monophasic,79.756
100,monophasic,61.2
100,monophasic,79.55
200,biphasic,76.682
200,biphasic,234.118
200,biphasic,64.574
200,biphasic,73.234
200,biphasic,70.326
200,biphasic,69.925
200,biphasic,71.521
200,biphasic,77.959
200,biphasic,68.055
200,biphasic,66.638
200,biphasic,67.379
200,biphasic,68.633
200,biphasic,79.729
200,biphasic,75.777
200,biphasic,86.171
200,biphasic,71.282
200,biphasic,59.172
200,biphasic,72.899
200,biphasic,79.477
200,biphasic,271.208
200,biphasic,71.197
200,biphasic,80.822
200,biphasic,82.71
200,biphasic,68.922
200,biphasic,84.834
200,biphasic,75.459
200,biphasic,186.828
200,biphasic,88.702
200,biphasic,79.751
200,biphasic,58.82
200,biphasic,66.781
200,biphasic,74.156
200,biphasic,80.625
200,biphasic,67.995
200,biphasic,75.753
200,biphasic,79.589
200,biphasic,78.748
200,biphasic,84.093
200,biphasic,61.886
200,biphasic,78.121
200,biphasic,65.115
200,biphasic,71.432
200,biphasic,78.1
200,biphasic,79.175
200,biphasic,72.093
200,biphasic,68.564
200,biphasic,86.769
200,biphasic,68.413
200,biphasic,76.02
200,biphasic,78.547
200,biphasic,76.164
200,biphasic,84.447
200,biphasic,69.744
200,biphasic,80.393
200,biphasic,74.126
200,biphasic,81.219
200,biphasic,64.439
200,biphasic,73.499
200,biphasic,69.586
200,biphasic,84.35
400,biphasic,65.038
400,biphasic,73.088
400,biphasic,74.055
400,biphasic,63.58
400,biphasic,68.924
400,biphasic,80.091
400,biphasic,65.973
400,biphasic,70.441
400,biphasic,64.424
400,biphasic,61.573
400,biphasic,66.057
400,biphasic,72.011
400,biphasic,68.159
400,biphasic,69.467
400,biphasic,75.506
400,biphasic,75.135
400,biphasic,67.84
400,biphasic,66.263
400,biphasic,77.075
400,biphasic,68.898
400,biphasic,67.206
400,biphasic,72.119
400,biphasic,71.667
400,biphasic,72.944
400,biphasic,70.587
400,biphasic,65.068
400,biphasic,68.779
400,biphasic,67.678
400,biphasic,72.056
400,biphasic,59.37
400,biphasic,73.488
400,biphasic,70.814
400,biphasic,75.255
400,biphasic,75.674
400,biphasic,67.792
400,biphasic,60.656
400,biphasic,76.411
400,biphasic,55.923
400,biphasic,73.919
400,biphasic,67.984
400,biphasic,66.731
400,biphasic,75.74
400,biphasic,73.951
400,biphasic,77.6
400,biphasic,77.604
400,biphasic,209.894
400,biphasic,64.165
400,biphasic,71.094
400,biphasic,64.849
400,biphasic,69.861
400,biphasic,79.646
400,biphasic,71.844
400,biphasic,69.666
400,biphasic,55.565
400,biphasic,67.959
400,biphasic,68.092
400,biphasic,67.573
400,biphasic,74.028
400,biphasic,60.715
400,biphasic,69.446
