phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,run,membrane potential (mV),time (ms)
40,124.9,1*threshold,monophasic,0,-84.56548225541384,0.0
40,124.9,1*threshold,monophasic,0,-84.57517692347109,0.0009999999999998899
40,124.9,1*threshold,monophasic,0,-84.58478675154697,0.0019999999999997797
40,124.9,1*threshold,monophasic,0,-84.59433055648397,0.0029999999999998916
40,124.9,1*threshold,monophasic,0,-84.60383031864197,0.0040000000000000036
40,124.9,1*threshold,monophasic,0,-84.61331087810986,0.0050000000000001155
40,124.9,1*threshold,monophasic,0,-84.62279920075954,0.006000000000000005
40,124.9,1*threshold,monophasic,0,-84.63232331850578,0.006999999999999895
40,124.9,1*threshold,monophasic,0,-84.64191108341606,0.008000000000000007
40,124.9,1*threshold,monophasic,0,-84.65158887887145,0.008999999999999897
40,124.9,1*threshold,monophasic,0,-84.66138041265621,0.010000000000000009
40,124.9,1*threshold,monophasic,0,-84.6713056865829,0.010999999999999899
40,124.9,1*threshold,monophasic,0,-84.68138020314211,0.011999999999999789
40,124.9,1*threshold,monophasic,0,-84.69161443735905,0.0129999999999999
40,124.9,1*threshold,monophasic,0,-84.70201357486954,0.014000000000000012
40,124.9,1*threshold,monophasic,0,-84.71257749667124,0.015000000000000124
40,124.9,1*threshold,monophasic,0,-84.72330097721309,0.016000000000000014
40,124.9,1*threshold,monophasic,0,-84.73417405479215,0.016999999999999904
40,124.9,1*threshold,monophasic,0,-84.74518253054738,0.018000000000000016
40,124.9,1*threshold,monophasic,0,-84.75630855344728,0.018999999999999906
40,124.9,1*threshold,monophasic,0,-84.76753125238795,0.019999999999999796
40,124.9,1*threshold,monophasic,0,-84.77882738182278,0.020999999999999908
40,124.9,1*threshold,monophasic,0,-84.79017195339935,0.021999999999999797
40,124.9,1*threshold,monophasic,0,-84.80153883226245,0.02300000000000013
40,124.9,1*threshold,monophasic,0,-84.81290128254568,0.02400000000000002
40,124.9,1*threshold,monophasic,0,-84.82423245184377,0.02499999999999991
40,124.9,1*threshold,monophasic,0,-84.83550578897598,0.026000000000000023
40,124.9,1*threshold,monophasic,0,-84.8466953930624,0.026999999999999913
40,124.9,1*threshold,monophasic,0,-84.85777629485297,0.028000000000000025
40,124.9,1*threshold,monophasic,0,-84.86872467342745,0.028999999999999915
40,124.9,1*threshold,monophasic,0,-84.87951801291118,0.029999999999999805
40,124.9,1*threshold,monophasic,0,-84.89013520481947,0.030999999999999917
40,124.9,1*threshold,monophasic,0,-84.90055660215516,0.03200000000000003
40,124.9,1*threshold,monophasic,0,-84.91076403153335,0.03299999999999992
40,124.9,1*threshold,monophasic,0,-84.92074076948262,0.03400000000000003
40,124.9,1*threshold,monophasic,0,-84.93047148875193,0.03499999999999992
40,124.9,1*threshold,monophasic,0,-84.93994218000155,0.03600000000000003
40,124.9,1*threshold,monophasic,0,-84.94914005373559,0.03699999999999992
40,124.9,1*threshold,monophasic,0,-84.95805342678538,0.03799999999999981
40,124.9,1*threshold,monophasic,0,-84.96667159711997,0.038999999999999924
40,124.9,1*threshold,monophasic,0,-84.97498471027289,0.039999999999999813
40,124.9,1*threshold,monophasic,0,-84.97328894708936,0.04100000000000015
40,124.9,1*threshold,monophasic,0,-84.97135521781581,0.04200000000000004
