phase duration (us),threshold (uA)
2. Hz,0.0
3. Hz,0.0
4. Hz,0.0
5. Hz,0.0
6. Hz,0.0
7. Hz,0.0
8. Hz,0.0
9. Hz,939.17236328125
10. Hz,863.3850097656251
11. Hz,801.348876953125
12. Hz,749.627685546875
14. Hz,668.3715820312501
15. Hz,635.9069824218751
17. Hz,582.5805664062501
19. Hz,540.66162109375
22. Hz,492.40112304687494
24. Hz,467.1081542968749
27. Hz,436.4135742187501
30. Hz,412.04833984374994
34. Hz,386.48071289062506
38. Hz,366.4978027343751
42. Hz,350.46997070312517
48. Hz,331.66503906250006
53. Hz,319.40917968750006
60. Hz,305.88989257812506
67. Hz,295.3857421875
75. Hz,285.968017578125
84. Hz,277.70996093750006
94. Hz,270.5810546875
105. Hz,264.49584960937506
118. Hz,258.96606445312506
132. Hz,254.41894531250006
147. Hz,250.68359375000003
165. Hz,247.27783203125006
185. Hz,244.45800781249997
207. Hz,242.169189453125
232. Hz,240.283203125
260. Hz,238.77563476562497
291. Hz,237.628173828125
0.326 kHz,236.767578125
0.365 kHz,236.16943359375
0.408 kHz,235.784912109375
0.457 kHz,235.55908203124997
0.512 kHz,235.44921874999997
