phase duration (us),threshold (uA)
2.0,1240.7518386840818
3.0,849.7707366943358
4.0,653.8862228393552
5.0,535.8364105224609
6.0,456.8996429443359
7.0,400.3955841064453
8.0,357.92999267578125
9.0,324.8525619506836
10.0,298.3566284179688
11.0,276.6654968261719
12.0,258.5947036743164
14.0,230.24482727050778
15.0,218.9306259155274
17.0,200.3499984741211
19.0,185.7295989990235
22.0,168.85356903076175
24.0,159.9700927734375
27.0,149.1302490234375
30.0,140.47851562500003
34.0,131.3140869140625
38.0,124.09057617187506
42.0,118.24035644531254
48.0,111.30981445312501
53.0,106.74133300781247
60.0,101.65100097656249
67.0,97.64099121093749
75.0,94.00634765625
84.0,90.79284667968751
94.0,87.98217773437499
105.0,85.55603027343751
118.0,83.331298828125
132.0,81.48193359375
147.0,79.95300292968751
165.0,78.54309082031249
185.0,77.37121582031251
207.0,76.4190673828125
232.0,75.62255859375001
260.0,74.9908447265625
291.0,74.49645996093751
326.0,74.1302490234375
365.0,73.8739013671875
408.0,73.699951171875
457.0,73.59924316406249
512.0,73.54431152343751
