phase duration (us),pulse form,threshold
40,monophasic,23.624
40,monophasic,42.449
40,monophasic,25.296
40,monophasic,38.172
40,monophasic,38.858
40,monophasic,16.384
40,monophasic,33.721
40,monophasic,32.834
40,monophasic,36.27
40,monophasic,34.868
40,monophasic,29.002
40,monophasic,34.678
40,monophasic,33.794
40,monophasic,31.591
40,monophasic,39.916
40,monophasic,18.736
40,monophasic,33.413
40,monophasic,39.832
40,monophasic,36.599
40,monophasic,38.926
40,monophasic,31.927
40,monophasic,33.364
40,monophasic,30.479
40,monophasic,39.563
40,monophasic,31.285
40,monophasic,24.84
40,monophasic,29.072
40,monophasic,40.99
40,monophasic,40.485
40,monophasic,22.282
40,monophasic,43.999
40,monophasic,16.605
40,monophasic,23.496
40,monophasic,35.444
40,monophasic,34.505
40,monophasic,35.001
40,monophasic,32.052
40,monophasic,38.577
40,monophasic,39.176
40,monophasic,33.531
40,monophasic,12.341
40,monophasic,41.381
40,monophasic,42.867
40,monophasic,41.573
40,monophasic,34.74
40,monophasic,32.22
40,monophasic,37.847
40,monophasic,28.916
40,monophasic,42.082
40,monophasic,23.141
40,monophasic,34.666
40,monophasic,32.406
40,monophasic,25.075
40,monophasic,35.51
100,monophasic,18.032
100,monophasic,18.42
100,monophasic,13.848
100,monophasic,13.925
100,monophasic,14.07
100,monophasic,14.701
100,monophasic,15.058
100,monophasic,22.903
100,monophasic,19.844
100,monophasic,19.519
100,monophasic,7.433
100,monophasic,20.964
100,monophasic,13.118
100,monophasic,15.559
100,monophasic,17.896
100,monophasic,21.267
100,monophasic,12.817
100,monophasic,16.383
100,monophasic,19.653
100,monophasic,19.197
100,monophasic,17.856
100,monophasic,19.532
100,monophasic,19.691
100,monophasic,12.866
100,monophasic,17.899
100,monophasic,18.918
100,monophasic,16.11
100,monophasic,18.272
100,monophasic,15.846
100,monophasic,17.042
100,monophasic,21.902
100,monophasic,26.326
100,monophasic,15.116
100,monophasic,15.317
100,monophasic,13.919
100,monophasic,16.217
100,monophasic,11.205
100,monophasic,16.467
100,monophasic,15.728
100,monophasic,20.763
100,monophasic,10.829
100,monophasic,17.95
100,monophasic,13.553
100,monophasic,23.103
100,monophasic,11.801
100,monophasic,21.547
100,monophasic,19.732
100,monophasic,13.265
100,monophasic,19.841
100,monophasic,18.326
100,monophasic,11.331
100,monophasic,17.12
100,monophasic,20.651
100,monophasic,22.516
100,monophasic,13.175
100,monophasic,15.594
200,biphasic,13.56
200,biphasic,12.653
200,biphasic,11.291
200,biphasic,11.658
200,biphasic,16.321
200,biphasic,9.216
200,biphasic,8.846
200,biphasic,7.521
200,biphasic,9.797
200,biphasic,7.736
200,biphasic,11.799
200,biphasic,10.223
200,biphasic,16.517
200,biphasic,9.124
200,biphasic,9.948
200,biphasic,12.592
200,biphasic,13.568
200,biphasic,13.82
200,biphasic,14.144
200,biphasic,15.186
200,biphasic,9.888
200,biphasic,12.392
200,biphasic,11.684
200,biphasic,12.639
200,biphasic,3.697
200,biphasic,14.389
200,biphasic,7.697
200,biphasic,9.939
200,biphasic,8.065
200,biphasic,11.731
200,biphasic,9.439
200,biphasic,13.215
200,biphasic,11.98
200,biphasic,16.158
200,biphasic,12.015
200,biphasic,15.272
200,biphasic,16.307
200,biphasic,13.822
200,biphasic,11.346
200,biphasic,17.703
200,biphasic,11.058
200,biphasic,11.544
200,biphasic,13.025
200,biphasic,10.286
200,biphasic,8.184
200,biphasic,12.378
200,biphasic,13.747
200,biphasic,10.198
200,biphasic,9.364
200,biphasic,8.68
200,biphasic,12.717
200,biphasic,12.244
200,biphasic,14.847
200,biphasic,13.649
200,biphasic,15.847
200,biphasic,11.539
200,biphasic,10.168
400,biphasic,8.623
400,biphasic,10.315
400,biphasic,5.168
400,biphasic,9.574
400,biphasic,6.469
400,biphasic,6.452
400,biphasic,4.943
400,biphasic,4.306
400,biphasic,6.35
400,biphasic,10.782
400,biphasic,7.353
400,biphasic,6.303
400,biphasic,7.96
400,biphasic,6.574
400,biphasic,5.865
400,biphasic,6.381
400,biphasic,8.584
400,biphasic,3.466
400,biphasic,5.334
400,biphasic,9.203
400,biphasic,10.402
400,biphasic,9.266
400,biphasic,5.737
400,biphasic,6.558
400,biphasic,7.039
400,biphasic,6.681
400,biphasic,8.042
400,biphasic,7.256
400,biphasic,10.434
400,biphasic,10.343
400,biphasic,4.064
400,biphasic,8.257
400,biphasic,7.403
400,biphasic,8.545
400,biphasic,6.48
400,biphasic,8.42
400,biphasic,4.256
400,biphasic,3.26
400,biphasic,5.373
400,biphasic,8.224
400,biphasic,6.42
400,biphasic,9.246
400,biphasic,8.735
400,biphasic,11.841
400,biphasic,6.821
400,biphasic,9.275
400,biphasic,9.502
400,biphasic,8.838
400,biphasic,6.628
400,biphasic,4.845
400,biphasic,8.81
400,biphasic,4.986
400,biphasic,8.241
400,biphasic,7.672
400,biphasic,7.105
400,biphasic,8.974
400,biphasic,9.052
400,biphasic,7.225
400,biphasic,10.124
400,biphasic,5.894
