phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,run,membrane potential (mV),time (ms)
40,36.61,1*threshold,monophasic,0,-83.99999999999915,0.0
40,36.61,1*threshold,monophasic,0,-84.11121048132969,0.0009999999999998899
40,36.61,1*threshold,monophasic,0,-84.23639888289037,0.0019999999999997797
40,36.61,1*threshold,monophasic,0,-84.36432652081714,0.0029999999999998916
40,36.61,1*threshold,monophasic,0,-84.4931043069545,0.0040000000000000036
40,36.61,1*threshold,monophasic,0,-84.62240625018887,0.0050000000000001155
40,36.61,1*threshold,monophasic,0,-84.75217036660936,0.006000000000000005
40,36.61,1*threshold,monophasic,0,-84.88236838547498,0.006999999999999895
40,36.61,1*threshold,monophasic,0,-85.01296398678087,0.008000000000000007
40,36.61,1*threshold,monophasic,0,-85.1439051771346,0.008999999999999897
40,36.61,1*threshold,monophasic,0,-85.27512335655142,0.010000000000000009
40,36.61,1*threshold,monophasic,0,-85.40653412205138,0.010999999999999899
40,36.61,1*threshold,monophasic,0,-85.53803882443293,0.011999999999999789
40,36.61,1*threshold,monophasic,0,-85.66952658538143,0.0129999999999999
40,36.61,1*threshold,monophasic,0,-85.80087660293124,0.014000000000000012
40,36.61,1*threshold,monophasic,0,-85.93196060290799,0.015000000000000124
40,36.61,1*threshold,monophasic,0,-86.06264531385995,0.016000000000000014
40,36.61,1*threshold,monophasic,0,-86.19279486450544,0.016999999999999904
40,36.61,1*threshold,monophasic,0,-86.3222730254599,0.018000000000000016
40,36.61,1*threshold,monophasic,0,-86.45094523917454,0.018999999999999906
40,36.61,1*threshold,monophasic,0,-86.57868040220924,0.019999999999999796
40,36.61,1*threshold,monophasic,0,-86.70535238135231,0.020999999999999908
40,36.61,1*threshold,monophasic,0,-86.83084125933705,0.021999999999999797
40,36.61,1*threshold,monophasic,0,-86.95503431699296,0.02300000000000013
40,36.61,1*threshold,monophasic,0,-87.07782676682399,0.02400000000000002
40,36.61,1*threshold,monophasic,0,-87.19912225857851,0.02499999999999991
40,36.61,1*threshold,monophasic,0,-87.31883318077516,0.026000000000000023
40,36.61,1*threshold,monophasic,0,-87.43688078378655,0.026999999999999913
40,36.61,1*threshold,monophasic,0,-87.55319515035612,0.028000000000000025
40,36.61,1*threshold,monophasic,0,-87.66771503867656,0.028999999999999915
40,36.61,1*threshold,monophasic,0,-87.78038762169793,0.029999999999999805
40,36.61,1*threshold,monophasic,0,-87.8911681444083,0.030999999999999917
40,36.61,1*threshold,monophasic,0,-88.00001951862755,0.03200000000000003
40,36.61,1*threshold,monophasic,0,-88.10691187255233,0.03299999999999992
40,36.61,1*threshold,monophasic,0,-88.21182206997933,0.03400000000000003
40,36.61,1*threshold,monophasic,0,-88.31473321190872,0.03499999999999992
40,36.61,1*threshold,monophasic,0,-88.41563413114996,0.03600000000000003
40,36.61,1*threshold,monophasic,0,-88.51451888863906,0.03699999999999992
40,36.61,1*threshold,monophasic,0,-88.61138627846164,0.03799999999999981
40,36.61,1*threshold,monophasic,0,-88.70623934705614,0.038999999999999924
40,36.61,1*threshold,monophasic,0,-88.79908493074925,0.039999999999999813
40,36.61,1*threshold,monophasic,0,-88.77871525408064,0.04100000000000015
40,36.61,1*threshold,monophasic,0,-88.74237938156392,0.04200000000000004
40,36.61,1*threshold,monophasic,0,-88.70133580364218,0.04299999999999993
40,36.61,1*threshold,monophasic,0,-88.65749575459337,0.04400000000000004
40,36.61,1*threshold,monophasic,0,-88.61120931080286,0.04499999999999993
40,36.61,1*threshold,monophasic,0,-88.56256413697105,0.04600000000000004
40,36.61,1*threshold,monophasic,0,-88.5116154566831,0.04699999999999993
40,36.61,1*threshold,monophasic,0,-88.45842751389964,0.04799999999999982
40,36.61,1*threshold,monophasic,0,-88.40308092197057,0.04899999999999993
