phase duration (us),threshold (uA)
2.0,450.28686523437483
3.0,318.243408203125
4.0,251.51367187499997
5.0,211.27929687500003
6.0,184.39331054687503
7.0,165.15502929687503
8.0,150.701904296875
9.0,139.44702148437506
10.0,130.419921875
11.0,123.016357421875
12.0,116.83349609375
14.0,107.0556640625
15.0,103.118896484375
17.0,96.588134765625
19.0,91.36962890625
22.0,85.22338867187499
24.0,81.92138671875
27.0,77.80761718750003
30.0,74.44458007812501
34.0,70.78247070312501
38.0,67.81005859374999
42.0,65.33203125000001
48.0,62.286376953125
53.0,60.21728515625001
60.0,57.818603515625
67.0,55.859375
75.0,54.022216796875
84.0,52.3193359375
94.0,50.76904296875001
105.0,49.31640625
118.0,46.79565429687499
132.0,43.780517578125
147.0,40.98510742187501
165.0,38.20800781250001
185.0,35.693359375
207.0,33.45947265625
232.0,31.40869140625
260.0,29.571533203125004
291.0,27.94189453125
326.0,26.477050781250004
365.0,25.183105468750004
408.0,24.05395507812501
457.00000000000006,23.040771484375004
512.0,22.15576171875
