phase duration (us),threshold (uA)
2. Hz,432.91015625
3. Hz,296.73461914062506
4. Hz,228.4423828125
5. Hz,187.34741210937503
6. Hz,159.85107421875
7. Hz,140.118408203125
8. Hz,125.24414062500003
9. Hz,113.59863281250001
10. Hz,104.22363281250001
11. Hz,96.49047851562501
12. Hz,89.99633789062501
14. Hz,79.66918945312501
15. Hz,75.48217773437501
17. Hz,68.49975585937501
19. Hz,62.884521484375
22. Hz,56.23779296875
24. Hz,52.655029296875
27. Hz,48.18115234375001
30. Hz,44.51904296875
34. Hz,40.54565429687501
38. Hz,37.32299804687501
42. Hz,34.65576171875001
48. Hz,31.402587890624996
53. Hz,29.19921875
60. Hz,26.672363281250004
67. Hz,24.627685546874996
75. Hz,22.71728515625
84. Hz,20.959472656250004
94. Hz,19.378662109375007
105. Hz,17.962646484375
118. Hz,16.6015625
132. Hz,15.423583984375002
147. Hz,14.39208984375
165. Hz,13.39111328125
185. Hz,12.5
207. Hz,11.71875
232. Hz,10.998535156250002
260. Hz,10.357666015625002
291. Hz,9.790039062500002
0.326 kHz,9.283447265625
0.365 kHz,8.837890625
0.408 kHz,8.447265625
0.457 kHz,8.099365234375002
0.512 kHz,7.794189453124999
