phase duration (us),pulse form,threshold
40,monophasic,2.26
40,monophasic,2.354
40,monophasic,2.351
40,monophasic,2.422
40,monophasic,2.389
40,monophasic,2.145
40,monophasic,2.356
40,monophasic,2.381
40,monophasic,2.369
40,monophasic,2.188
40,monophasic,2.578
40,monophasic,2.66
40,monophasic,2.536
40,monophasic,2.61
40,monophasic,2.35
40,monophasic,2.284
40,monophasic,2.216
40,monophasic,2.743
40,monophasic,2.346
40,monophasic,2.162
40,monophasic,2.533
40,monophasic,2.234
40,monophasic,2.295
40,monophasic,2.142
40,monophasic,2.521
40,monophasic,2.293
40,monophasic,2.239
40,monophasic,2.257
40,monophasic,2.093
40,monophasic,2.589
40,monophasic,2.503
40,monophasic,2.293
40,monophasic,2.257
40,monophasic,2.382
40,monophasic,2.199
40,monophasic,2.234
40,monophasic,2.36
40,monophasic,2.109
40,monophasic,2.327
40,monophasic,2.29
40,monophasic,2.159
40,monophasic,2.286
40,monophasic,2.541
40,monophasic,2.398
40,monophasic,2.172
40,monophasic,2.349
40,monophasic,2.266
40,monophasic,2.038
40,monophasic,2.359
40,monophasic,2.751
40,monophasic,2.561
40,monophasic,2.567
40,monophasic,2.834
40,monophasic,2.441
40,monophasic,2.587
40,monophasic,2.116
40,monophasic,2.343
40,monophasic,2.348
40,monophasic,2.234
40,monophasic,2.289
100,monophasic,1.456
100,monophasic,1.2
100,monophasic,1.524
100,monophasic,1.516
100,monophasic,1.301
100,monophasic,1.44
100,monophasic,1.529
100,monophasic,1.434
100,monophasic,1.227
100,monophasic,1.464
100,monophasic,1.269
100,monophasic,1.371
100,monophasic,1.146
100,monophasic,1.218
100,monophasic,1.341
100,monophasic,1.357
100,monophasic,1.316
100,monophasic,1.321
100,monophasic,1.239
100,monophasic,1.301
100,monophasic,1.225
100,monophasic,1.252
100,monophasic,1.148
100,monophasic,1.155
100,monophasic,1.447
100,monophasic,1.248
100,monophasic,1.419
100,monophasic,1.361
100,monophasic,1.199
100,monophasic,1.421
100,monophasic,1.154
100,monophasic,1.193
100,monophasic,1.203
100,monophasic,1.357
100,monophasic,1.483
100,monophasic,1.207
100,monophasic,1.432
100,monophasic,1.198
100,monophasic,1.198
100,monophasic,1.268
100,monophasic,1.563
100,monophasic,1.441
100,monophasic,1.255
100,monophasic,1.239
100,monophasic,1.404
100,monophasic,1.41
100,monophasic,1.245
100,monophasic,1.194
100,monophasic,1.393
100,monophasic,1.437
100,monophasic,1.239
100,monophasic,1.186
100,monophasic,1.224
100,monophasic,1.467
100,monophasic,1.26
100,monophasic,1.222
100,monophasic,1.451
100,monophasic,1.295
100,monophasic,1.415
100,monophasic,1.361
200,biphasic,0.966
200,biphasic,1.031
200,biphasic,0.939
200,biphasic,0.907
200,biphasic,0.945
200,biphasic,1.037
200,biphasic,0.945
200,biphasic,0.969
200,biphasic,0.959
200,biphasic,1.086
200,biphasic,1.066
200,biphasic,0.968
200,biphasic,0.973
200,biphasic,0.916
200,biphasic,0.938
200,biphasic,0.986
200,biphasic,1.089
200,biphasic,1.029
200,biphasic,0.923
200,biphasic,0.888
200,biphasic,0.892
200,biphasic,0.852
200,biphasic,0.825
200,biphasic,1.145
200,biphasic,0.915
200,biphasic,1.167
200,biphasic,0.894
200,biphasic,0.922
200,biphasic,0.999
200,biphasic,0.836
200,biphasic,0.865
200,biphasic,1.04
200,biphasic,0.833
200,biphasic,1.072
200,biphasic,1.044
200,biphasic,0.946
200,biphasic,0.871
200,biphasic,0.943
200,biphasic,0.952
200,biphasic,0.923
200,biphasic,1.01
200,biphasic,0.919
200,biphasic,0.949
200,biphasic,1.051
200,biphasic,1.003
200,biphasic,0.918
200,biphasic,0.932
200,biphasic,0.973
200,biphasic,0.854
200,biphasic,0.985
200,biphasic,0.879
200,biphasic,0.764
200,biphasic,0.903
200,biphasic,0.999
200,biphasic,0.946
200,biphasic,1.006
200,biphasic,0.997
200,biphasic,0.886
200,biphasic,1.152
200,biphasic,1.01
400,biphasic,0.759
400,biphasic,0.656
400,biphasic,0.667
400,biphasic,0.628
400,biphasic,0.772
400,biphasic,0.73
400,biphasic,0.704
400,biphasic,0.733
400,biphasic,0.616
400,biphasic,0.811
400,biphasic,0.677
400,biphasic,0.756
400,biphasic,0.601
400,biphasic,0.757
400,biphasic,0.665
400,biphasic,0.684
400,biphasic,0.677
400,biphasic,0.7
400,biphasic,0.822
400,biphasic,0.708
400,biphasic,0.717
400,biphasic,0.639
400,biphasic,0.771
400,biphasic,0.609
400,biphasic,0.62
400,biphasic,0.827
400,biphasic,0.757
400,biphasic,0.657
400,biphasic,0.769
400,biphasic,0.724
400,biphasic,0.714
400,biphasic,0.696
400,biphasic,0.703
400,biphasic,0.739
400,biphasic,0.801
400,biphasic,0.669
400,biphasic,0.661
400,biphasic,0.655
400,biphasic,0.693
400,biphasic,0.791
400,biphasic,0.775
400,biphasic,0.775
400,biphasic,0.674
400,biphasic,0.736
400,biphasic,0.724
400,biphasic,0.696
400,biphasic,0.777
400,biphasic,0.752
400,biphasic,0.75
400,biphasic,0.772
400,biphasic,0.749
400,biphasic,0.831
400,biphasic,0.69
400,biphasic,0.742
400,biphasic,0.616
400,biphasic,0.711
400,biphasic,0.718
400,biphasic,0.619
400,biphasic,0.702
400,biphasic,0.71
