phase duration (us),threshold (uA)
2.0,9.531249999999998
2.0,9.531249999999998
3.0,8.125
3.0,8.125
3.0,8.125
4.0,7.236328124999998
4.0,7.236328124999998
4.0,7.236328124999998
5.0,6.601562499999999
6.0,6.103515624999998
6.0,6.103515624999998
7.0,5.703125
8.0,5.371093749999999
9.0,5.087890624999999
10.0,4.843749999999999
11.0,4.62890625
12.0,4.43359375
14.0,4.111328124999998
15.0,3.9648437500000004
17.0,3.7207031249999996
19.0,3.505859375
22.0,3.232421875
24.0,3.0859374999999996
27.0,2.880859375
30.0,2.7148437499999996
34.0,2.51953125
38.0,2.3632812499999996
42.0,2.2265625
48.0,2.0507812499999996
53.0,1.93359375
60.0,1.7968749999999998
67.0,1.6796874999999998
75.0,1.5722656249999998
84.0,1.46484375
94.0,1.3769531249999998
105.0,1.2890625
118.0,1.2109374999999998
132.0,1.1328125
147.0,1.0742187499999998
165.0,1.015625
185.0,0.95703125
207.0,0.9082031249999999
232.0,0.869140625
260.0,0.8300781249999999
291.0,0.80078125
326.0,0.7714843749999999
365.0,0.7421874999999999
408.0,0.72265625
457.0,0.712890625
512.0,0.6933593749999999
