phase duration (us),pulse form,threshold
40,monophasic,617.871
40,monophasic,648.143
40,monophasic,585.148
40,monophasic,610.217
40,monophasic,623.565
40,monophasic,652.396
40,monophasic,556.4
40,monophasic,641.073
40,monophasic,635.6
40,monophasic,596.52
40,monophasic,584.678
40,monophasic,592.695
40,monophasic,652.752
40,monophasic,620.88
40,monophasic,575.745
40,monophasic,638.141
40,monophasic,626.299
40,monophasic,636.645
40,monophasic,591.816
40,monophasic,623.3
40,monophasic,639.891
40,monophasic,619.631
40,monophasic,648.79
40,monophasic,619.208
40,monophasic,656.744
40,monophasic,640.782
40,monophasic,598.848
40,monophasic,613.517
40,monophasic,615.897
40,monophasic,620.795
40,monophasic,636.855
40,monophasic,600.517
40,monophasic,620.815
40,monophasic,609.17
40,monophasic,630.704
40,monophasic,614.795
40,monophasic,565.414
40,monophasic,587.144
40,monophasic,635.363
40,monophasic,610.263
40,monophasic,639.323
40,monophasic,648.51
40,monophasic,562.935
40,monophasic,611.007
40,monophasic,607.255
40,monophasic,601.905
40,monophasic,587.248
40,monophasic,626.221
40,monophasic,648.598
40,monophasic,622.084
40,monophasic,551.989
40,monophasic,583.325
40,monophasic,590.328
40,monophasic,634.506
40,monophasic,600.653
40,monophasic,636.732
40,monophasic,572.141
40,monophasic,641.495
40,monophasic,560.033
40,monophasic,637.581
100,monophasic,333.807
100,monophasic,315.066
100,monophasic,317.449
100,monophasic,328.713
100,monophasic,305.502
100,monophasic,356.96
100,monophasic,335.487
100,monophasic,323.386
100,monophasic,331.512
100,monophasic,333.205
100,monophasic,328.669
100,monophasic,338.632
100,monophasic,339.022
100,monophasic,343.338
100,monophasic,313.364
100,monophasic,333.812
100,monophasic,318.773
100,monophasic,324.065
100,monophasic,331.437
100,monophasic,299.422
100,monophasic,343.667
100,monophasic,335.827
100,monophasic,290.571
100,monophasic,328.565
100,monophasic,344.28
100,monophasic,324.666
100,monophasic,302.112
100,monophasic,369.987
100,monophasic,321.646
100,monophasic,313.569
100,monophasic,350.161
100,monophasic,344.955
100,monophasic,317.931
100,monophasic,320.322
100,monophasic,334.245
100,monophasic,311.664
100,monophasic,306.493
100,monophasic,312.319
100,monophasic,323.85
100,monophasic,342.567
100,monophasic,330.326
100,monophasic,316.629
100,monophasic,315.674
100,monophasic,332.314
100,monophasic,317.068
100,monophasic,343.075
100,monophasic,343.553
100,monophasic,352.037
100,monophasic,297.255
100,monophasic,319.343
100,monophasic,320.504
100,monophasic,290.062
100,monophasic,328.7
100,monophasic,275.398
100,monophasic,323.804
100,monophasic,326.723
100,monophasic,327.154
100,monophasic,332.68
100,monophasic,319.302
100,monophasic,333.639
200,biphasic,211.532
200,biphasic,214.767
200,biphasic,198.978
200,biphasic,215.177
200,biphasic,192.662
200,biphasic,207.824
200,biphasic,207.57
200,biphasic,197.659
200,biphasic,179.206
200,biphasic,233.893
200,biphasic,192.808
200,biphasic,186.111
200,biphasic,198.485
200,biphasic,216.064
200,biphasic,221.927
200,biphasic,210.107
200,biphasic,196.351
200,biphasic,220.287
200,biphasic,188.0
200,biphasic,198.396
200,biphasic,204.486
200,biphasic,210.101
200,biphasic,222.359
200,biphasic,215.037
200,biphasic,212.37
200,biphasic,209.792
200,biphasic,212.073
200,biphasic,220.468
200,biphasic,201.719
200,biphasic,210.619
200,biphasic,217.74
200,biphasic,198.416
200,biphasic,218.531
200,biphasic,195.164
200,biphasic,198.087
200,biphasic,231.571
200,biphasic,212.101
200,biphasic,190.312
200,biphasic,221.965
200,biphasic,212.366
200,biphasic,202.697
200,biphasic,205.405
200,biphasic,218.98
200,biphasic,227.902
200,biphasic,216.226
200,biphasic,210.301
200,biphasic,187.857
200,biphasic,227.496
200,biphasic,209.717
200,biphasic,223.545
200,biphasic,204.55
200,biphasic,231.127
200,biphasic,213.814
200,biphasic,209.26
200,biphasic,218.372
200,biphasic,212.733
200,biphasic,221.042
200,biphasic,224.772
200,biphasic,214.3
200,biphasic,212.389
400,biphasic,638.306
400,biphasic,632.36
400,biphasic,626.807
400,biphasic,734.027
400,biphasic,690.159
400,biphasic,740.959
400,biphasic,780.305
400,biphasic,630.894
400,biphasic,705.931
400,biphasic,674.345
400,biphasic,727.48
400,biphasic,679.202
400,biphasic,740.204
400,biphasic,683.196
400,biphasic,695.57
400,biphasic,757.469
400,biphasic,762.77
400,biphasic,701.757
400,biphasic,710.826
400,biphasic,734.443
400,biphasic,154.191
400,biphasic,708.408
400,biphasic,704.818
400,biphasic,624.141
400,biphasic,689.812
400,biphasic,709.023
400,biphasic,708.641
400,biphasic,776.925
400,biphasic,699.302
400,biphasic,672.11
400,biphasic,715.561
400,biphasic,663.416
400,biphasic,683.517
400,biphasic,707.863
400,biphasic,699.398
400,biphasic,725.665
400,biphasic,640.59
400,biphasic,742.327
400,biphasic,706.281
400,biphasic,713.309
400,biphasic,692.564
400,biphasic,669.384
400,biphasic,655.946
400,biphasic,770.555
400,biphasic,733.183
400,biphasic,785.876
400,biphasic,710.788
400,biphasic,731.059
400,biphasic,770.669
400,biphasic,736.591
400,biphasic,683.377
400,biphasic,664.228
400,biphasic,704.685
400,biphasic,696.334
400,biphasic,646.768
400,biphasic,708.692
400,biphasic,660.224
400,biphasic,648.604
400,biphasic,658.67
400,biphasic,654.436
