phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,run,membrane potential (mV),time (ms)
40,124.9,1*threshold,monophasic,0,-84.56548225541384,0.0
40,124.9,1*threshold,monophasic,0,-84.57517692643192,0.0009999999999998899
40,124.9,1*threshold,monophasic,0,-84.58478675744271,0.0019999999999997797
40,124.9,1*threshold,monophasic,0,-84.59433056529448,0.0030000000000001137
40,124.9,1*threshold,monophasic,0,-84.60383033035373,0.0039999999999995595
40,124.9,1*threshold,monophasic,0,-84.6133108927171,0.004999999999999893
40,124.9,1*threshold,monophasic,0,-84.62279921826457,0.005999999999999783
40,124.9,1*threshold,monophasic,0,-84.63232333891958,0.006999999999999673
40,124.9,1*threshold,monophasic,0,-84.64191110675806,0.008000000000000007
40,124.9,1*threshold,monophasic,0,-84.6515889051691,0.008999999999999897
40,124.9,1*threshold,monophasic,0,-84.66138044194429,0.009999999999999787
40,124.9,1*threshold,monophasic,0,-84.67130571890223,0.010999999999999677
40,124.9,1*threshold,monophasic,0,-84.68138023853822,0.01200000000000001
40,124.9,1*threshold,monophasic,0,-84.69161447588073,0.0129999999999999
40,124.9,1*threshold,monophasic,0,-84.70201361656706,0.01399999999999979
40,124.9,1*threshold,monophasic,0,-84.71257754159484,0.01499999999999968
40,124.9,1*threshold,monophasic,0,-84.72330102541126,0.016000000000000014
40,124.9,1*threshold,monophasic,0,-84.73417410631025,0.016999999999999904
40,124.9,1*threshold,monophasic,0,-84.74518258542625,0.017999999999999794
40,124.9,1*threshold,monophasic,0,-84.75630861172208,0.019000000000000128
40,124.9,1*threshold,monophasic,0,-84.76753131408712,0.019999999999999574
40,124.9,1*threshold,monophasic,0,-84.77882744696718,0.020999999999999908
40,124.9,1*threshold,monophasic,0,-84.79017202200163,0.021999999999999797
40,124.9,1*threshold,monophasic,0,-84.80153890432645,0.02300000000000013
40,124.9,1*threshold,monophasic,0,-84.81290135806601,0.023999999999999577
40,124.9,1*threshold,monophasic,0,-84.82423253080573,0.02499999999999991
40,124.9,1*threshold,monophasic,0,-84.83550587135507,0.026000000000000245
40,124.9,1*threshold,monophasic,0,-84.84669547882439,0.02699999999999969
40,124.9,1*threshold,monophasic,0,-84.85777638395375,0.028000000000000025
40,124.9,1*threshold,monophasic,0,-84.86872476581297,0.028999999999999915
40,124.9,1*threshold,monophasic,0,-84.87951810851732,0.029999999999999805
40,124.9,1*threshold,monophasic,0,-84.89013530357201,0.030999999999999694
40,124.9,1*threshold,monophasic,0,-84.90055670396957,0.03200000000000003
40,124.9,1*threshold,monophasic,0,-84.91076413631475,0.032999999999999474
40,124.9,1*threshold,monophasic,0,-84.92074087712548,0.03399999999999981
40,124.9,1*threshold,monophasic,0,-84.93047159913971,0.03500000000000014
40,124.9,1*threshold,monophasic,0,-84.93994229300627,0.03600000000000003
40,124.9,1*threshold,monophasic,0,-84.94914016921743,0.03699999999999992
40,124.9,1*threshold,monophasic,0,-84.95805354459199,0.03799999999999981
40,124.9,1*threshold,monophasic,0,-84.96667171708582,0.039000000000000146
40,124.9,1*threshold,monophasic,0,-84.9749848322185,0.03999999999999959
40,124.9,1*threshold,monophasic,0,-84.97328906785945,0.040999999999999925
40,124.9,1*threshold,monophasic,0,-84.97135533722594,0.041999999999999815
40,124.9,1*threshold,monophasic,0,-84.969156605959,0.042999999999999705
40,124.9,1*threshold,monophasic,0,-84.96666287649859,0.04400000000000004
40,124.9,1*threshold,monophasic,0,-84.96384131058963,0.04499999999999993
40,124.9,1*threshold,monophasic,0,-84.9606567943439,0.04599999999999982
40,124.9,1*threshold,monophasic,0,-84.95707285675493,0.04699999999999971
40,124.9,1*threshold,monophasic,0,-84.95305281584317,0.04800000000000004
