phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,run,membrane potential (mV),time (ms)
40,124.9,1*threshold,monophasic,0,-84.23189725569284,0.0
40,124.9,1*threshold,monophasic,0,-83.59223968903841,0.0009999999999998899
40,124.9,1*threshold,monophasic,0,-84.00143224269391,0.0019999999999997797
40,124.9,1*threshold,monophasic,0,-84.22359784142296,0.0030000000000001137
40,124.9,1*threshold,monophasic,0,-83.75060054977781,0.0039999999999995595
40,124.9,1*threshold,monophasic,0,-83.23456596142593,0.004999999999999893
40,124.9,1*threshold,monophasic,0,-83.41243202759746,0.005999999999999783
40,124.9,1*threshold,monophasic,0,-83.9532652416379,0.006999999999999673
40,124.9,1*threshold,monophasic,0,-84.01760451375533,0.008000000000000007
40,124.9,1*threshold,monophasic,0,-84.31175906088814,0.008999999999999897
40,124.9,1*threshold,monophasic,0,-85.30744735269155,0.009999999999999787
40,124.9,1*threshold,monophasic,0,-86.0920913576646,0.010999999999999677
40,124.9,1*threshold,monophasic,0,-86.3539040591611,0.01200000000000001
40,124.9,1*threshold,monophasic,0,-86.09077375273911,0.0129999999999999
40,124.9,1*threshold,monophasic,0,-86.6338401671631,0.01399999999999979
40,124.9,1*threshold,monophasic,0,-85.3588450374554,0.01499999999999968
40,124.9,1*threshold,monophasic,0,-86.40832455010882,0.016000000000000014
40,124.9,1*threshold,monophasic,0,-87.19587493701765,0.016999999999999904
40,124.9,1*threshold,monophasic,0,-87.03321651327418,0.017999999999999794
40,124.9,1*threshold,monophasic,0,-86.72480360744025,0.019000000000000128
40,124.9,1*threshold,monophasic,0,-86.93613674740213,0.019999999999999574
40,124.9,1*threshold,monophasic,0,-87.2440162821954,0.020999999999999908
40,124.9,1*threshold,monophasic,0,-86.61619027113767,0.021999999999999797
40,124.9,1*threshold,monophasic,0,-86.20995157133157,0.02300000000000013
40,124.9,1*threshold,monophasic,0,-86.79790147884366,0.023999999999999577
40,124.9,1*threshold,monophasic,0,-86.81604729901859,0.02499999999999991
40,124.9,1*threshold,monophasic,0,-85.60469477122143,0.026000000000000245
40,124.9,1*threshold,monophasic,0,-84.97120527150878,0.02699999999999969
40,124.9,1*threshold,monophasic,0,-84.88414976074773,0.028000000000000025
40,124.9,1*threshold,monophasic,0,-83.05834490281232,0.028999999999999915
40,124.9,1*threshold,monophasic,0,-84.21656602103734,0.029999999999999805
40,124.9,1*threshold,monophasic,0,-83.11552689439,0.030999999999999694
40,124.9,1*threshold,monophasic,0,-82.64614446303264,0.03200000000000003
40,124.9,1*threshold,monophasic,0,-81.34243588117994,0.032999999999999474
40,124.9,1*threshold,monophasic,0,-80.5001643139652,0.03399999999999981
40,124.9,1*threshold,monophasic,0,-81.79586351337119,0.03500000000000014
40,124.9,1*threshold,monophasic,0,-82.00890512584046,0.03600000000000003
40,124.9,1*threshold,monophasic,0,-82.69024281920149,0.03699999999999992
40,124.9,1*threshold,monophasic,0,-83.30645827409458,0.03799999999999981
40,124.9,1*threshold,monophasic,0,-82.51188078309501,0.039000000000000146
40,124.9,1*threshold,monophasic,0,-82.64392590423289,0.03999999999999959
40,124.9,1*threshold,monophasic,0,-82.29583133593377,0.040999999999999925
40,124.9,1*threshold,monophasic,0,-81.51264408648665,0.041999999999999815
40,124.9,1*threshold,monophasic,0,-82.00672450020195,0.042999999999999705
40,124.9,1*threshold,monophasic,0,-82.07307715529201,0.04400000000000004
40,124.9,1*threshold,monophasic,0,-82.53095016534625,0.04499999999999993
40,124.9,1*threshold,monophasic,0,-82.04502807857297,0.04599999999999982
40,124.9,1*threshold,monophasic,0,-82.04478939754,0.04699999999999971
40,124.9,1*threshold,monophasic,0,-84.14927539313905,0.04800000000000004
40,124.9,1*threshold,monophasic,0,-83.75100879810338,0.04899999999999993
40,124.9,1*threshold,monophasic,0,-83.89893025340447,0.04999999999999982
40,124.9,1*threshold,monophasic,0,-84.44178524423411,0.05099999999999971
40,124.9,1*threshold,monophasic,0,-83.3731843639856,0.052000000000000046
40,124.9,1*threshold,monophasic,0,-84.08824954508081,0.052999999999999936
40,124.9,1*threshold,monophasic,0,-84.17657328381097,0.053999999999999826
40,124.9,1*threshold,monophasic,0,-84.77012806584895,0.05500000000000016
40,124.9,1*threshold,monophasic,0,-84.353999368357,0.055999999999999606
40,124.9,1*threshold,monophasic,0,-84.8997481930856,0.05699999999999994
40,124.9,1*threshold,monophasic,0,-85.56398309381125,0.05799999999999983
