phase duration (us),threshold (uA)
2.0,0.0
3.0,4725.0709533691415
4.0,3586.297988891603
5.0,2902.164459228516
6.0,2445.7511901855473
7.0,2119.5888519287114
8.0,1874.8970031738288
9.0,1684.5417022705078
10.0,1532.2437286376953
11.0,1407.623291015625
12.0,1303.7681579589846
14.0,1140.5410766601567
15.0,5905.609130859375
17.0,5266.456604003907
19.0,4760.467529296875
22.0,4172.149658203126
24.0,3860.750198364258
27.0,3479.2499542236333
30.0,3173.315048217774
34.0,2848.709106445312
38.0,2592.0467376708984
42.0,2384.124755859375
48.0,2137.2699737548833
53.0,1974.477767944336
60.0,1792.6940917968752
67.0,1649.6257781982422
75.0,1519.7582244873045
84.0,1404.4132232666016
94.0,1303.5049438476567
105.0,1216.157913208008
118.0,1135.5571746826172
132.0,1068.0885314941409
147.0,1011.4345550537113
165.0,958.3110809326172
185.0,912.1913909912109
207.0,872.0455169677736
232.0,835.8192443847657
260.0,803.8673400878907
291.0,776.4072418212891
326.0,752.9296875
365.0,733.8466644287109
408.0,719.2039489746093
457.00000000000006,708.3835601806641
512.0,701.2481689453124
