phase duration (us),pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
50,400,3.65,1*threshold,0,1
50,400,3.65,1*threshold,0,4
50,400,3.65,1*threshold,0,6
50,400,3.65,1*threshold,0,9
50,400,3.65,1*threshold,0,11
50,400,3.65,1*threshold,0,14
50,400,3.65,1*threshold,0,16
50,400,3.65,1*threshold,0,19
50,400,3.65,1*threshold,0,21
50,400,3.65,1*threshold,0,24
50,400,3.65,1*threshold,0,26
50,400,3.65,1*threshold,0,29
50,400,3.65,1*threshold,0,31
50,400,3.65,1*threshold,0,34
50,400,3.65,1*threshold,0,36
50,400,3.65,1*threshold,0,39
50,400,3.65,1*threshold,0,41
50,400,3.65,1*threshold,0,44
50,400,3.65,1*threshold,0,46
50,400,3.65,1*threshold,0,49
50,400,3.65,1*threshold,0,51
50,400,3.65,1*threshold,0,54
50,400,3.65,1*threshold,0,56
50,400,3.65,1*threshold,0,59
50,400,3.65,1*threshold,0,61
50,400,3.65,1*threshold,0,64
50,400,3.65,1*threshold,0,66
50,400,3.65,1*threshold,0,69
50,400,3.65,1*threshold,0,71
50,400,3.65,1*threshold,0,74
50,400,3.65,1*threshold,0,76
50,400,3.65,1*threshold,0,79
50,400,3.65,1*threshold,0,81
50,400,3.65,1*threshold,0,84
50,400,3.65,1*threshold,0,86
50,400,3.65,1*threshold,0,89
50,400,3.65,1*threshold,0,91
50,400,3.65,1*threshold,0,94
50,400,3.65,1*threshold,0,96
50,400,3.65,1*threshold,0,99
50,400,3.65,1*threshold,0,101
50,400,3.65,1*threshold,0,104
50,400,3.65,1*threshold,0,106
50,400,3.65,1*threshold,0,109
50,400,3.65,1*threshold,0,111
50,400,3.65,1*threshold,0,114
50,400,3.65,1*threshold,0,116
50,400,3.65,1*threshold,0,119
50,400,3.65,1*threshold,0,121
50,400,3.65,1*threshold,0,124
50,400,3.65,1*threshold,0,126
50,400,3.65,1*threshold,0,129
50,400,3.65,1*threshold,0,131
50,400,3.65,1*threshold,0,134
50,400,3.65,1*threshold,0,136
50,400,3.65,1*threshold,0,139
50,400,3.65,1*threshold,0,141
50,400,3.65,1*threshold,0,144
50,400,3.65,1*threshold,0,146
50,400,3.65,1*threshold,0,149
50,400,3.65,1*threshold,0,151
50,400,3.65,1*threshold,0,154
50,400,3.65,1*threshold,0,156
50,400,3.65,1*threshold,0,159
50,400,3.65,1*threshold,0,161
50,400,3.65,1*threshold,0,164
50,400,3.65,1*threshold,0,166
50,400,3.65,1*threshold,0,169
50,400,3.65,1*threshold,0,171
50,400,3.65,1*threshold,0,174
50,400,3.65,1*threshold,0,176
50,400,3.65,1*threshold,0,179
50,400,3.65,1*threshold,0,181
50,400,3.65,1*threshold,0,184
50,400,3.65,1*threshold,0,186
50,400,3.65,1*threshold,0,189
50,400,3.65,1*threshold,0,191
50,400,3.65,1*threshold,0,194
50,400,3.65,1*threshold,0,196
50,400,3.65,1*threshold,0,199
50,400,3.65,1*threshold,0,201
50,400,3.65,1*threshold,0,204
50,400,3.65,1*threshold,0,206
50,400,3.65,1*threshold,0,209
50,400,3.65,1*threshold,0,211
50,400,3.65,1*threshold,0,214
50,400,3.65,1*threshold,0,216
50,400,3.65,1*threshold,0,219
50,400,3.65,1*threshold,0,221
50,400,3.65,1*threshold,0,224
50,400,3.65,1*threshold,0,226
50,400,3.65,1*threshold,0,229
50,400,3.65,1*threshold,0,231
50,400,3.65,1*threshold,0,234
50,400,3.65,1*threshold,0,236
50,400,3.65,1*threshold,0,239
50,400,3.65,1*threshold,0,241
50,400,3.65,1*threshold,0,244
50,400,3.65,1*threshold,0,246
50,400,3.65,1*threshold,0,249
50,400,3.65,1*threshold,0,251
50,400,3.65,1*threshold,0,254
50,400,3.65,1*threshold,0,256
50,400,3.65,1*threshold,0,259
50,400,3.65,1*threshold,0,261
50,400,3.65,1*threshold,0,264
50,400,3.65,1*threshold,0,266
50,400,3.65,1*threshold,0,269
50,400,3.65,1*threshold,0,271
50,400,3.65,1*threshold,0,274
50,400,3.65,1*threshold,0,276
50,400,3.65,1*threshold,0,279
50,400,3.65,1*threshold,0,281
50,400,3.65,1*threshold,0,284
50,400,3.65,1*threshold,0,286
50,400,3.65,1*threshold,0,289
50,400,3.65,1*threshold,0,291
50,400,3.65,1*threshold,0,294
50,400,3.65,1*threshold,0,296
50,400,3.65,1*threshold,1,1
50,400,3.65,1*threshold,1,4
50,400,3.65,1*threshold,1,6
50,400,3.65,1*threshold,1,9
50,400,3.65,1*threshold,1,11
50,400,3.65,1*threshold,1,14
50,400,3.65,1*threshold,1,16
50,400,3.65,1*threshold,1,19
50,400,3.65,1*threshold,1,21
50,400,3.65,1*threshold,1,24
50,400,3.65,1*threshold,1,26
50,400,3.65,1*threshold,1,29
50,400,3.65,1*threshold,1,31
50,400,3.65,1*threshold,1,34
50,400,3.65,1*threshold,1,36
50,400,3.65,1*threshold,1,39
50,400,3.65,1*threshold,1,41
50,400,3.65,1*threshold,1,44
50,400,3.65,1*threshold,1,46
50,400,3.65,1*threshold,1,49
50,400,3.65,1*threshold,1,51
50,400,3.65,1*threshold,1,54
50,400,3.65,1*threshold,1,56
50,400,3.65,1*threshold,1,59
50,400,3.65,1*threshold,1,61
50,400,3.65,1*threshold,1,64
