phase duration (us),pulse form,threshold
40,monophasic,3.006
40,monophasic,2.88
40,monophasic,2.996
40,monophasic,2.886
40,monophasic,3.105
40,monophasic,3.623
40,monophasic,3.813
40,monophasic,3.406
40,monophasic,2.991
40,monophasic,3.249
40,monophasic,3.475
40,monophasic,3.431
40,monophasic,3.2
40,monophasic,2.789
40,monophasic,3.412
40,monophasic,3.288
40,monophasic,3.251
40,monophasic,3.199
40,monophasic,3.492
40,monophasic,3.335
40,monophasic,3.189
40,monophasic,2.816
40,monophasic,3.364
40,monophasic,3.058
40,monophasic,3.513
40,monophasic,3.199
40,monophasic,3.276
40,monophasic,3.317
40,monophasic,3.278
40,monophasic,3.212
40,monophasic,2.798
40,monophasic,3.387
40,monophasic,2.98
40,monophasic,3.259
40,monophasic,3.111
40,monophasic,3.015
40,monophasic,3.463
40,monophasic,3.2
40,monophasic,3.066
40,monophasic,3.093
40,monophasic,2.865
40,monophasic,2.695
40,monophasic,3.151
40,monophasic,3.332
40,monophasic,3.417
40,monophasic,3.282
40,monophasic,3.247
40,monophasic,2.869
40,monophasic,3.032
40,monophasic,3.058
40,monophasic,3.572
40,monophasic,2.988
40,monophasic,3.533
40,monophasic,3.315
40,monophasic,2.847
40,monophasic,2.989
40,monophasic,3.391
40,monophasic,3.083
40,monophasic,3.622
40,monophasic,3.426
100,monophasic,1.748
100,monophasic,1.764
100,monophasic,1.68
100,monophasic,1.591
100,monophasic,1.399
100,monophasic,1.6
100,monophasic,1.656
100,monophasic,1.566
100,monophasic,1.598
100,monophasic,2.107
100,monophasic,1.423
100,monophasic,1.806
100,monophasic,1.552
100,monophasic,1.736
100,monophasic,1.582
100,monophasic,1.624
100,monophasic,1.392
100,monophasic,1.69
100,monophasic,1.657
100,monophasic,1.591
100,monophasic,1.57
100,monophasic,1.592
100,monophasic,1.584
100,monophasic,1.617
100,monophasic,1.617
100,monophasic,1.754
100,monophasic,1.615
100,monophasic,1.812
100,monophasic,1.659
100,monophasic,1.825
100,monophasic,1.748
100,monophasic,1.586
100,monophasic,1.686
100,monophasic,1.495
100,monophasic,1.73
100,monophasic,1.602
100,monophasic,1.699
100,monophasic,1.664
100,monophasic,1.716
100,monophasic,1.879
100,monophasic,1.635
100,monophasic,1.732
100,monophasic,1.815
100,monophasic,1.538
100,monophasic,1.514
100,monophasic,1.69
100,monophasic,1.579
100,monophasic,1.648
100,monophasic,1.647
100,monophasic,1.555
100,monophasic,1.526
100,monophasic,1.755
100,monophasic,2.013
100,monophasic,1.575
100,monophasic,1.966
100,monophasic,1.924
100,monophasic,1.723
100,monophasic,1.754
100,monophasic,1.475
100,monophasic,1.691
200,biphasic,1.07
200,biphasic,1.196
200,biphasic,1.061
200,biphasic,1.004
200,biphasic,1.119
200,biphasic,1.337
200,biphasic,1.085
200,biphasic,1.157
200,biphasic,1.209
200,biphasic,1.192
200,biphasic,1.168
200,biphasic,1.07
200,biphasic,1.194
200,biphasic,1.19
200,biphasic,1.241
200,biphasic,0.986
200,biphasic,1.458
200,biphasic,1.134
200,biphasic,1.345
200,biphasic,1.024
200,biphasic,1.129
200,biphasic,1.148
200,biphasic,1.16
200,biphasic,1.147
200,biphasic,1.208
200,biphasic,1.02
200,biphasic,1.259
200,biphasic,1.107
200,biphasic,1.264
200,biphasic,1.297
200,biphasic,1.206
200,biphasic,1.176
200,biphasic,1.302
200,biphasic,1.112
200,biphasic,1.095
200,biphasic,1.29
200,biphasic,1.23
200,biphasic,0.938
200,biphasic,1.236
200,biphasic,1.111
200,biphasic,1.169
200,biphasic,1.147
200,biphasic,1.185
200,biphasic,1.296
200,biphasic,1.164
200,biphasic,1.232
200,biphasic,1.159
200,biphasic,1.092
200,biphasic,1.125
200,biphasic,1.154
200,biphasic,1.122
200,biphasic,1.166
200,biphasic,1.147
200,biphasic,1.296
200,biphasic,1.204
200,biphasic,1.199
200,biphasic,1.024
200,biphasic,1.296
200,biphasic,1.054
200,biphasic,1.181
400,biphasic,0.937
400,biphasic,0.789
400,biphasic,0.781
400,biphasic,0.855
400,biphasic,0.924
400,biphasic,0.905
400,biphasic,0.858
400,biphasic,0.725
400,biphasic,0.86
400,biphasic,0.852
400,biphasic,0.877
400,biphasic,0.833
400,biphasic,0.864
400,biphasic,0.956
400,biphasic,0.846
400,biphasic,0.84
400,biphasic,0.793
400,biphasic,0.844
400,biphasic,0.982
400,biphasic,0.808
400,biphasic,0.843
400,biphasic,0.785
400,biphasic,0.977
400,biphasic,0.955
400,biphasic,0.878
400,biphasic,1.003
400,biphasic,0.956
400,biphasic,0.775
400,biphasic,0.884
400,biphasic,0.757
400,biphasic,0.96
400,biphasic,0.951
400,biphasic,0.867
400,biphasic,0.903
400,biphasic,0.776
400,biphasic,0.825
400,biphasic,0.907
400,biphasic,0.815
400,biphasic,0.991
400,biphasic,0.979
400,biphasic,0.885
400,biphasic,0.81
400,biphasic,0.898
400,biphasic,0.833
400,biphasic,0.933
400,biphasic,0.863
400,biphasic,0.884
400,biphasic,0.815
400,biphasic,0.781
400,biphasic,0.888
400,biphasic,0.76
400,biphasic,0.923
400,biphasic,0.865
400,biphasic,0.915
400,biphasic,1.096
400,biphasic,0.861
400,biphasic,0.823
400,biphasic,0.739
400,biphasic,0.891
400,biphasic,0.912
