phase duration (us),threshold (uA)
2.0,0.0
2.0,0.0
3.0,0.0
3.0,0.0
3.0,0.0
4.0,0.0
4.0,0.0
4.0,0.0
5.0,18.232421875000004
6.0,15.400390625
6.0,15.400390625
7.0,13.369140624999998
8.0,11.835937499999998
9.0,10.64453125
10.0,9.687499999999998
11.0,8.90625
12.0,8.251953125
14.0,7.226562499999998
15.0,6.806640624999999
17.0,6.123046874999999
19.0,5.585937499999999
22.0,4.960937499999999
24.0,4.62890625
27.0,4.218749999999999
30.0,3.88671875
34.0,3.53515625
38.0,3.26171875
42.0,3.0273437499999996
48.0,2.7539062499999996
53.0,2.568359375
60.0,2.353515625
67.0,2.1875
75.0,2.03125
84.0,1.8847656249999998
94.0,1.7578125
105.0,1.6406249999999998
118.0,1.5234374999999998
132.0,1.435546875
147.0,1.3476562499999998
165.0,1.26953125
185.0,1.1914062499999998
207.0,1.123046875
232.0,1.0644531249999998
260.0,1.015625
291.0,0.966796875
326.0,0.9179687499999999
365.0,0.888671875
408.0,0.8496093749999999
457.0,0.8300781249999999
512.0,0.810546875
