phase duration (us),pulse form,threshold
40,monophasic,1.987
40,monophasic,1.89
40,monophasic,1.899
40,monophasic,1.98
40,monophasic,1.486
40,monophasic,1.658
40,monophasic,1.583
40,monophasic,1.649
40,monophasic,1.81
40,monophasic,1.973
40,monophasic,1.721
40,monophasic,1.826
40,monophasic,1.708
40,monophasic,1.598
40,monophasic,1.954
40,monophasic,1.813
40,monophasic,1.576
40,monophasic,1.764
40,monophasic,1.188
40,monophasic,2.013
40,monophasic,1.856
40,monophasic,1.671
40,monophasic,1.354
40,monophasic,1.676
40,monophasic,1.672
40,monophasic,1.996
40,monophasic,1.891
40,monophasic,1.414
40,monophasic,1.244
40,monophasic,1.649
40,monophasic,1.692
40,monophasic,1.578
40,monophasic,1.996
40,monophasic,2.039
40,monophasic,1.823
40,monophasic,1.775
40,monophasic,1.763
40,monophasic,1.798
40,monophasic,1.605
40,monophasic,1.819
40,monophasic,1.884
40,monophasic,1.94
40,monophasic,1.834
40,monophasic,2.003
40,monophasic,1.916
40,monophasic,2.021
40,monophasic,1.635
40,monophasic,1.812
40,monophasic,1.569
40,monophasic,1.948
40,monophasic,2.051
40,monophasic,5.69
40,monophasic,1.743
40,monophasic,1.559
40,monophasic,1.195
40,monophasic,1.916
40,monophasic,1.647
40,monophasic,1.396
40,monophasic,1.963
40,monophasic,1.772
100,monophasic,1.157
100,monophasic,0.875
100,monophasic,0.636
100,monophasic,0.889
100,monophasic,0.794
100,monophasic,0.822
100,monophasic,0.796
100,monophasic,0.781
100,monophasic,1.253
100,monophasic,2.932
100,monophasic,0.896
100,monophasic,0.859
100,monophasic,0.814
100,monophasic,0.932
100,monophasic,0.652
100,monophasic,0.869
100,monophasic,0.921
100,monophasic,0.839
100,monophasic,1.876
100,monophasic,0.869
100,monophasic,0.862
100,monophasic,0.97
100,monophasic,0.855
100,monophasic,0.687
100,monophasic,0.922
100,monophasic,0.833
100,monophasic,1.744
100,monophasic,0.717
100,monophasic,0.804
100,monophasic,0.831
100,monophasic,0.991
100,monophasic,0.853
100,monophasic,3.481
100,monophasic,0.823
100,monophasic,0.853
100,monophasic,0.721
100,monophasic,0.778
100,monophasic,0.936
100,monophasic,0.813
100,monophasic,0.787
100,monophasic,0.871
100,monophasic,0.943
100,monophasic,0.842
100,monophasic,0.718
100,monophasic,0.586
100,monophasic,0.924
100,monophasic,0.794
100,monophasic,0.903
100,monophasic,0.851
100,monophasic,0.767
100,monophasic,0.807
100,monophasic,0.842
100,monophasic,0.817
100,monophasic,0.977
100,monophasic,0.84
100,monophasic,0.725
100,monophasic,0.854
100,monophasic,1.653
100,monophasic,0.746
100,monophasic,0.793
200,biphasic,0.588
200,biphasic,0.472
200,biphasic,0.576
200,biphasic,0.6
200,biphasic,0.475
200,biphasic,0.621
200,biphasic,0.629
200,biphasic,0.663
200,biphasic,0.626
200,biphasic,0.406
200,biphasic,0.746
200,biphasic,0.544
200,biphasic,0.805
200,biphasic,0.485
200,biphasic,0.714
200,biphasic,0.552
200,biphasic,0.554
200,biphasic,0.531
200,biphasic,0.634
200,biphasic,0.5
200,biphasic,0.497
200,biphasic,0.605
200,biphasic,0.591
200,biphasic,0.61
200,biphasic,0.498
200,biphasic,0.599
200,biphasic,0.419
200,biphasic,0.892
200,biphasic,0.635
200,biphasic,0.634
200,biphasic,0.555
200,biphasic,0.634
200,biphasic,0.634
200,biphasic,0.595
200,biphasic,0.644
200,biphasic,0.607
200,biphasic,0.586
200,biphasic,0.606
200,biphasic,0.558
200,biphasic,0.558
200,biphasic,0.59
200,biphasic,0.59
200,biphasic,0.618
200,biphasic,0.612
200,biphasic,0.565
200,biphasic,0.388
200,biphasic,0.464
200,biphasic,0.527
200,biphasic,0.61
200,biphasic,0.588
200,biphasic,0.615
200,biphasic,0.479
200,biphasic,0.598
200,biphasic,1.014
200,biphasic,0.458
200,biphasic,0.51
200,biphasic,0.566
200,biphasic,0.555
200,biphasic,0.543
200,biphasic,0.551
400,biphasic,0.435
400,biphasic,0.311
400,biphasic,0.403
400,biphasic,0.305
400,biphasic,0.378
400,biphasic,0.371
400,biphasic,0.221
400,biphasic,0.405
400,biphasic,0.491
400,biphasic,0.34
400,biphasic,0.702
400,biphasic,0.344
400,biphasic,0.368
400,biphasic,0.362
400,biphasic,0.325
400,biphasic,0.358
400,biphasic,0.477
400,biphasic,0.575
400,biphasic,0.344
400,biphasic,0.341
400,biphasic,0.285
400,biphasic,0.343
400,biphasic,0.401
400,biphasic,0.36
400,biphasic,0.424
400,biphasic,0.353
400,biphasic,0.384
400,biphasic,0.526
400,biphasic,0.689
400,biphasic,0.268
400,biphasic,0.312
400,biphasic,0.372
400,biphasic,0.367
400,biphasic,0.376
400,biphasic,0.481
400,biphasic,0.368
400,biphasic,0.359
400,biphasic,0.434
400,biphasic,0.445
400,biphasic,0.341
400,biphasic,0.381
400,biphasic,0.323
400,biphasic,0.354
400,biphasic,0.334
400,biphasic,0.345
400,biphasic,0.372
400,biphasic,0.397
400,biphasic,0.263
400,biphasic,0.332
400,biphasic,0.384
400,biphasic,0.27
400,biphasic,0.394
400,biphasic,0.412
400,biphasic,0.277
400,biphasic,0.21
400,biphasic,0.37
400,biphasic,0.391
400,biphasic,0.366
400,biphasic,0.263
400,biphasic,0.293
