pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
400,418.26,1*threshold,0,0.0007899999999999999
400,418.26,1*threshold,0,0.0032649999999999997
400,418.26,1*threshold,0,0.005744999999999999
400,418.26,1*threshold,0,0.008294999999999999
400,418.26,1*threshold,0,0.01078
400,418.26,1*threshold,0,0.01325
400,418.26,1*threshold,0,0.01575
400,418.26,1*threshold,0,0.018269999999999998
400,418.26,1*threshold,0,0.020775
400,418.26,1*threshold,0,0.02326
400,418.26,1*threshold,0,0.02582
400,418.26,1*threshold,0,0.028364999999999998
400,418.26,1*threshold,0,0.030839999999999996
400,418.26,1*threshold,0,0.033264999999999996
400,418.26,1*threshold,0,0.035754999999999995
400,418.26,1*threshold,0,0.038259999999999995
400,418.26,1*threshold,0,0.040769999999999994
400,418.26,1*threshold,0,0.043239999999999994
400,418.26,1*threshold,0,0.04576499999999999
400,418.26,1*threshold,0,0.048249999999999994
400,418.26,1*threshold,0,0.0508
400,418.26,1*threshold,0,0.05327
400,418.26,1*threshold,0,0.05575499999999999
400,418.26,1*threshold,0,0.058344999999999994
400,418.26,1*threshold,0,0.060754999999999997
400,418.26,1*threshold,0,0.06327999999999999
400,418.26,1*threshold,0,0.065775
400,418.26,1*threshold,0,0.06826499999999999
400,418.26,1*threshold,0,0.07078999999999999
400,418.26,1*threshold,0,0.07328499999999999
400,418.26,1*threshold,0,0.07575499999999999
400,418.26,1*threshold,0,0.078275
400,418.26,1*threshold,0,0.080815
400,418.26,1*threshold,0,0.08331499999999999
400,418.26,1*threshold,0,0.08575999999999999
400,418.26,1*threshold,0,0.088305
400,418.26,1*threshold,0,0.09072499999999999
400,418.26,1*threshold,0,0.093275
400,418.26,1*threshold,0,0.09576
400,418.26,1*threshold,0,0.09829999999999998
400,418.26,1*threshold,0,0.10078499999999999
400,418.26,1*threshold,0,0.10327499999999999
400,418.26,1*threshold,0,0.10580999999999999
400,418.26,1*threshold,0,0.10826999999999999
400,418.26,1*threshold,0,0.11077499999999998
400,418.26,1*threshold,0,0.11327
400,418.26,1*threshold,0,0.11578
400,418.26,1*threshold,0,0.11826999999999999
400,418.26,1*threshold,0,0.12076999999999999
400,418.26,1*threshold,0,0.12324999999999998
400,418.26,1*threshold,0,0.125775
400,418.26,1*threshold,0,0.128265
400,418.26,1*threshold,0,0.13075499999999998
400,418.26,1*threshold,0,0.13325499999999998
400,418.26,1*threshold,0,0.13576
400,418.26,1*threshold,0,0.13832999999999998
400,418.26,1*threshold,0,0.14076
400,418.26,1*threshold,0,0.143285
400,418.26,1*threshold,0,0.14576999999999998
400,418.26,1*threshold,0,0.148245
400,418.26,1*threshold,0,0.15077
400,418.26,1*threshold,0,0.15325499999999997
400,418.26,1*threshold,0,0.15828499999999998
400,418.26,1*threshold,0,0.16075499999999998
400,418.26,1*threshold,0,0.16327
400,418.26,1*threshold,0,0.165765
400,418.26,1*threshold,0,0.16827999999999999
400,418.26,1*threshold,0,0.170785
400,418.26,1*threshold,0,0.17328
400,418.26,1*threshold,0,0.17583
400,418.26,1*threshold,0,0.178275
400,418.26,1*threshold,0,0.18075999999999998
400,418.26,1*threshold,0,0.18329499999999999
400,418.26,1*threshold,0,0.18581499999999998
400,418.26,1*threshold,0,0.18827499999999997
400,418.26,1*threshold,0,0.19074999999999998
400,418.26,1*threshold,0,0.19330999999999998
400,418.26,1*threshold,0,0.19573
400,418.26,1*threshold,0,0.19827999999999998
400,418.26,1*threshold,0,0.20076999999999998
400,418.26,1*threshold,0,0.203285
400,418.26,1*threshold,0,0.20574499999999998
400,418.26,1*threshold,0,0.20822999999999997
400,418.26,1*threshold,0,0.21075
400,418.26,1*threshold,0,0.21325999999999998
400,418.26,1*threshold,0,0.21578499999999998
400,418.26,1*threshold,0,0.218265
400,418.26,1*threshold,0,0.22081499999999998
400,418.26,1*threshold,0,0.223265
400,418.26,1*threshold,0,0.22579499999999997
400,418.26,1*threshold,0,0.228235
400,418.26,1*threshold,0,0.230755
400,418.26,1*threshold,0,0.23331999999999997
400,418.26,1*threshold,0,0.23576499999999997
400,418.26,1*threshold,0,0.23825999999999997
400,418.26,1*threshold,0,0.24076499999999998
400,418.26,1*threshold,0,0.24325999999999998
400,418.26,1*threshold,0,0.24826499999999999
400,418.26,1*threshold,0,0.250895
400,418.26,1*threshold,0,0.25327
400,418.26,1*threshold,0,0.255785
400,418.26,1*threshold,0,0.25825499999999996
400,418.26,1*threshold,0,0.26080499999999995
400,418.26,1*threshold,0,0.26326
400,418.26,1*threshold,0,0.26587
400,418.26,1*threshold,0,0.268265
400,418.26,1*threshold,0,0.27079
400,418.26,1*threshold,0,0.27326999999999996
400,418.26,1*threshold,0,0.275765
400,418.26,1*threshold,0,0.27825
400,418.26,1*threshold,0,0.28078499999999995
400,418.26,1*threshold,0,0.28325999999999996
400,418.26,1*threshold,0,0.28576999999999997
400,418.26,1*threshold,0,0.28825999999999996
400,418.26,1*threshold,0,0.290825
400,418.26,1*threshold,0,0.29329999999999995
400,418.26,1*threshold,0,0.29575999999999997
400,418.26,1*threshold,1,0.00081
400,418.26,1*threshold,1,0.0033199999999999996
400,418.26,1*threshold,1,0.005809999999999999
400,418.26,1*threshold,1,0.008294999999999999
400,418.26,1*threshold,1,0.010764999999999999
400,418.26,1*threshold,1,0.01325
400,418.26,1*threshold,1,0.01585
400,418.26,1*threshold,1,0.018265
400,418.26,1*threshold,1,0.020759999999999997
400,418.26,1*threshold,1,0.02326
400,418.26,1*threshold,1,0.02582
400,418.26,1*threshold,1,0.028259999999999997
400,418.26,1*threshold,1,0.030749999999999996
400,418.26,1*threshold,1,0.03326
400,418.26,1*threshold,1,0.035765
400,418.26,1*threshold,1,0.038279999999999995
400,418.26,1*threshold,1,0.040729999999999995
400,418.26,1*threshold,1,0.04328
400,418.26,1*threshold,1,0.04576499999999999
400,418.26,1*threshold,1,0.048304999999999994
400,418.26,1*threshold,1,0.050765
400,418.26,1*threshold,1,0.05326499999999999
400,418.26,1*threshold,1,0.055784999999999994
400,418.26,1*threshold,1,0.058254999999999994
400,418.26,1*threshold,1,0.06077
400,418.26,1*threshold,1,0.06322499999999999
400,418.26,1*threshold,1,0.06580499999999999
400,418.26,1*threshold,1,0.06826499999999999
400,418.26,1*threshold,1,0.07078
400,418.26,1*threshold,1,0.073265
400,418.26,1*threshold,1,0.07576
400,418.26,1*threshold,1,0.07824999999999999
400,418.26,1*threshold,1,0.08079499999999999
400,418.26,1*threshold,1,0.08327
400,418.26,1*threshold,1,0.08582999999999999
400,418.26,1*threshold,1,0.08825499999999999
400,418.26,1*threshold,1,0.09076999999999999
400,418.26,1*threshold,1,0.09325499999999999
400,418.26,1*threshold,1,0.095825
400,418.26,1*threshold,1,0.09825999999999999
400,418.26,1*threshold,1,0.10082999999999999
400,418.26,1*threshold,1,0.103265
400,418.26,1*threshold,1,0.10580999999999999
400,418.26,1*threshold,1,0.10828499999999999
400,418.26,1*threshold,1,0.11075999999999998
400,418.26,1*threshold,1,0.11327999999999999
400,418.26,1*threshold,1,0.115755
400,418.26,1*threshold,1,0.11825499999999999
400,418.26,1*threshold,1,0.12081999999999998
400,418.26,1*threshold,1,0.12326
400,418.26,1*threshold,1,0.125795
400,418.26,1*threshold,1,0.128295
400,418.26,1*threshold,1,0.130775
400,418.26,1*threshold,1,0.13338499999999998
400,418.26,1*threshold,1,0.135795
400,418.26,1*threshold,1,0.13829
400,418.26,1*threshold,1,0.14076999999999998
400,418.26,1*threshold,1,0.143305
400,418.26,1*threshold,1,0.145805
400,418.26,1*threshold,1,0.148275
400,418.26,1*threshold,1,0.15075999999999998
400,418.26,1*threshold,1,0.15326499999999998
400,418.26,1*threshold,1,0.15577999999999997
400,418.26,1*threshold,1,0.15833
400,418.26,1*threshold,1,0.160795
400,418.26,1*threshold,1,0.16324499999999997
400,418.26,1*threshold,1,0.16577999999999998
400,418.26,1*threshold,1,0.168255
400,418.26,1*threshold,1,0.17090499999999997
400,418.26,1*threshold,1,0.17326999999999998
400,418.26,1*threshold,1,0.17575
400,418.26,1*threshold,1,0.17825
400,418.26,1*threshold,1,0.18075
400,418.26,1*threshold,1,0.18325499999999997
400,418.26,1*threshold,1,0.18575499999999998
400,418.26,1*threshold,1,0.18827499999999997
400,418.26,1*threshold,1,0.19077
400,418.26,1*threshold,1,0.19326999999999997
400,418.26,1*threshold,1,0.19575499999999998
400,418.26,1*threshold,1,0.19829
400,418.26,1*threshold,1,0.200755
400,418.26,1*threshold,1,0.203255
400,418.26,1*threshold,1,0.20576499999999998
400,418.26,1*threshold,1,0.208275
400,418.26,1*threshold,1,0.2108
400,418.26,1*threshold,1,0.213275
400,418.26,1*threshold,1,0.215745
400,418.26,1*threshold,1,0.21827499999999997
400,418.26,1*threshold,1,0.22075499999999998
400,418.26,1*threshold,1,0.22324499999999997
400,418.26,1*threshold,1,0.22578499999999999
400,418.26,1*threshold,1,0.22829999999999998
400,418.26,1*threshold,1,0.23080499999999998
400,418.26,1*threshold,1,0.23328999999999997
400,418.26,1*threshold,1,0.23579999999999998
400,418.26,1*threshold,1,0.23823999999999998
400,418.26,1*threshold,1,0.24080999999999997
400,418.26,1*threshold,1,0.243275
400,418.26,1*threshold,1,0.24579499999999999
400,418.26,1*threshold,1,0.248295
400,418.26,1*threshold,1,0.25078
400,418.26,1*threshold,1,0.25328999999999996
400,418.26,1*threshold,1,0.25576499999999996
400,418.26,1*threshold,1,0.258275
400,418.26,1*threshold,1,0.260745
400,418.26,1*threshold,1,0.26326499999999997
400,418.26,1*threshold,1,0.26577999999999996
400,418.26,1*threshold,1,0.26826
400,418.26,1*threshold,1,0.27076999999999996
400,418.26,1*threshold,1,0.27323499999999995
400,418.26,1*threshold,1,0.27585499999999996
400,418.26,1*threshold,1,0.27827999999999997
400,418.26,1*threshold,1,0.28078
400,418.26,1*threshold,1,0.28329
400,418.26,1*threshold,1,0.28578499999999996
400,418.26,1*threshold,1,0.288245
400,418.26,1*threshold,1,0.290755
400,418.26,1*threshold,1,0.293245
400,418.26,1*threshold,1,0.295765
400,418.26,1*threshold,2,0.0008049999999999999
400,418.26,1*threshold,2,0.00327
400,418.26,1*threshold,2,0.005735
400,418.26,1*threshold,2,0.008284999999999999
400,418.26,1*threshold,2,0.01075
400,418.26,1*threshold,2,0.013324999999999998
400,418.26,1*threshold,2,0.01575
400,418.26,1*threshold,2,0.018265
400,418.26,1*threshold,2,0.020739999999999998
400,418.26,1*threshold,2,0.023289999999999998
400,418.26,1*threshold,2,0.025799999999999997
400,418.26,1*threshold,2,0.028259999999999997
400,418.26,1*threshold,2,0.030744999999999998
400,418.26,1*threshold,2,0.033264999999999996
400,418.26,1*threshold,2,0.035794999999999993
400,418.26,1*threshold,2,0.038299999999999994
400,418.26,1*threshold,2,0.040795
400,418.26,1*threshold,2,0.043269999999999996
400,418.26,1*threshold,2,0.04572999999999999
400,418.26,1*threshold,2,0.048284999999999995
400,418.26,1*threshold,2,0.050745
