phase duration (us),pulse form,threshold
40,monophasic,319.77
40,monophasic,315.642
40,monophasic,345.856
40,monophasic,302.864
40,monophasic,322.757
40,monophasic,373.176
40,monophasic,332.827
40,monophasic,330.081
40,monophasic,303.458
40,monophasic,363.963
40,monophasic,332.322
40,monophasic,290.105
40,monophasic,323.729
40,monophasic,312.922
40,monophasic,325.644
40,monophasic,347.65
40,monophasic,320.581
40,monophasic,329.655
40,monophasic,346.682
40,monophasic,327.885
40,monophasic,331.365
40,monophasic,322.937
40,monophasic,317.605
40,monophasic,324.995
40,monophasic,343.895
40,monophasic,331.552
40,monophasic,299.016
40,monophasic,333.493
40,monophasic,352.844
40,monophasic,357.424
40,monophasic,340.28
40,monophasic,304.087
40,monophasic,350.097
40,monophasic,319.908
40,monophasic,326.994
40,monophasic,323.754
40,monophasic,319.257
40,monophasic,334.083
40,monophasic,360.015
40,monophasic,296.06
40,monophasic,300.53
40,monophasic,321.302
40,monophasic,309.699
40,monophasic,347.274
40,monophasic,348.137
40,monophasic,326.223
40,monophasic,354.957
40,monophasic,334.166
40,monophasic,360.061
40,monophasic,345.052
40,monophasic,362.704
40,monophasic,322.016
40,monophasic,304.934
40,monophasic,357.629
40,monophasic,304.039
40,monophasic,663.251
40,monophasic,326.058
40,monophasic,365.308
40,monophasic,336.395
100,monophasic,141.083
100,monophasic,155.401
100,monophasic,147.955
100,monophasic,146.673
100,monophasic,153.598
100,monophasic,161.955
100,monophasic,156.575
100,monophasic,145.277
100,monophasic,168.712
100,monophasic,152.153
100,monophasic,155.808
100,monophasic,146.142
100,monophasic,145.151
100,monophasic,140.286
100,monophasic,148.466
100,monophasic,168.633
100,monophasic,156.281
100,monophasic,150.758
100,monophasic,153.646
100,monophasic,156.874
100,monophasic,156.345
100,monophasic,152.619
100,monophasic,159.43
100,monophasic,162.371
100,monophasic,137.272
100,monophasic,136.499
100,monophasic,146.466
100,monophasic,133.87
100,monophasic,150.521
100,monophasic,160.123
100,monophasic,171.966
100,monophasic,154.835
100,monophasic,145.95
100,monophasic,167.005
100,monophasic,165.295
100,monophasic,146.498
100,monophasic,165.587
100,monophasic,156.605
100,monophasic,151.42
100,monophasic,156.457
100,monophasic,170.445
100,monophasic,153.356
100,monophasic,158.66
100,monophasic,169.571
100,monophasic,142.304
100,monophasic,157.846
100,monophasic,133.499
100,monophasic,139.37
100,monophasic,153.976
100,monophasic,163.204
100,monophasic,144.142
100,monophasic,159.55
100,monophasic,136.197
100,monophasic,150.555
100,monophasic,155.134
100,monophasic,193.949
100,monophasic,148.852
100,monophasic,169.662
100,monophasic,138.915
100,monophasic,149.686
200,biphasic,120.926
200,biphasic,77.084
200,biphasic,103.387
200,biphasic,81.242
200,biphasic,106.713
200,biphasic,104.14
200,biphasic,88.637
200,biphasic,78.942
200,biphasic,90.556
200,biphasic,101.044
200,biphasic,65.355
200,biphasic,79.85
200,biphasic,103.494
200,biphasic,40.057
200,biphasic,102.921
200,biphasic,75.887
200,biphasic,83.544
200,biphasic,92.79
200,biphasic,85.432
200,biphasic,96.489
200,biphasic,82.334
200,biphasic,98.266
200,biphasic,94.946
200,biphasic,103.276
200,biphasic,64.396
200,biphasic,97.227
200,biphasic,88.086
200,biphasic,85.343
200,biphasic,68.323
200,biphasic,104.079
200,biphasic,56.913
200,biphasic,82.72
200,biphasic,50.776
200,biphasic,88.602
200,biphasic,85.826
200,biphasic,97.376
200,biphasic,76.121
200,biphasic,66.766
200,biphasic,59.928
200,biphasic,80.806
200,biphasic,48.2
200,biphasic,76.752
200,biphasic,82.718
200,biphasic,59.275
200,biphasic,98.042
200,biphasic,81.55
200,biphasic,97.053
200,biphasic,90.699
200,biphasic,101.337
200,biphasic,73.184
200,biphasic,80.202
200,biphasic,83.261
200,biphasic,93.794
200,biphasic,53.784
200,biphasic,73.718
200,biphasic,81.554
200,biphasic,105.15
200,biphasic,95.883
200,biphasic,91.499
200,biphasic,89.562
400,biphasic,49.925
400,biphasic,43.244
400,biphasic,37.625
400,biphasic,38.305
400,biphasic,58.722
400,biphasic,32.606
400,biphasic,53.31
400,biphasic,57.346
400,biphasic,49.612
400,biphasic,58.063
400,biphasic,46.187
400,biphasic,118.14
400,biphasic,47.669
400,biphasic,30.62
400,biphasic,51.258
400,biphasic,42.394
400,biphasic,51.81
400,biphasic,61.687
400,biphasic,46.459
400,biphasic,59.437
400,biphasic,56.88
400,biphasic,60.271
400,biphasic,35.175
400,biphasic,66.766
400,biphasic,42.112
400,biphasic,56.534
400,biphasic,54.171
400,biphasic,54.444
400,biphasic,55.2
400,biphasic,63.589
400,biphasic,48.045
400,biphasic,67.514
400,biphasic,42.905
400,biphasic,47.913
400,biphasic,50.597
400,biphasic,48.855
400,biphasic,66.447
400,biphasic,83.603
400,biphasic,53.487
400,biphasic,53.713
400,biphasic,46.941
400,biphasic,54.563
400,biphasic,38.445
400,biphasic,56.044
400,biphasic,35.541
400,biphasic,68.53
400,biphasic,52.755
400,biphasic,40.714
400,biphasic,88.937
400,biphasic,62.511
400,biphasic,19.083
400,biphasic,36.529
400,biphasic,59.818
400,biphasic,39.527
400,biphasic,70.567
400,biphasic,53.819
400,biphasic,66.222
400,biphasic,23.864
400,biphasic,46.427
400,biphasic,46.703
