phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,run,membrane potential (mV),time (ms)
40,332.54,1*threshold,monophasic,0,-64.9999999999839,0.0
40,332.54,1*threshold,monophasic,0,-65.01790358292092,0.0009999999999998899
40,332.54,1*threshold,monophasic,0,-65.03393265237311,0.0019999999999997797
40,332.54,1*threshold,monophasic,0,-65.04868162742994,0.0029999999999998916
40,332.54,1*threshold,monophasic,0,-65.06255874702178,0.0040000000000000036
40,332.54,1*threshold,monophasic,0,-65.07584444125713,0.0050000000000001155
40,332.54,1*threshold,monophasic,0,-65.08873140053085,0.006000000000000005
40,332.54,1*threshold,monophasic,0,-65.10135208134085,0.006999999999999895
40,332.54,1*threshold,monophasic,0,-65.11379758815373,0.008000000000000007
40,332.54,1*threshold,monophasic,0,-65.12613063538718,0.008999999999999897
40,332.54,1*threshold,monophasic,0,-65.1383944456659,0.010000000000000009
40,332.54,1*threshold,monophasic,0,-65.15061885848257,0.010999999999999899
40,332.54,1*threshold,monophasic,0,-65.16282452387819,0.011999999999999789
40,332.54,1*threshold,monophasic,0,-65.17502578151658,0.0129999999999999
40,332.54,1*threshold,monophasic,0,-65.18723263727986,0.014000000000000012
40,332.54,1*threshold,monophasic,0,-65.19945212029097,0.015000000000000124
40,332.54,1*threshold,monophasic,0,-65.21168921456739,0.016000000000000014
40,332.54,1*threshold,monophasic,0,-65.22394749862029,0.016999999999999904
40,332.54,1*threshold,monophasic,0,-65.23622958451676,0.018000000000000016
40,332.54,1*threshold,monophasic,0,-65.24853741923073,0.018999999999999906
40,332.54,1*threshold,monophasic,0,-65.26087249141277,0.019999999999999796
40,332.54,1*threshold,monophasic,0,-65.27323597319,0.020999999999999908
40,332.54,1*threshold,monophasic,0,-65.28562881732606,0.021999999999999797
40,332.54,1*threshold,monophasic,0,-65.29805182370107,0.02300000000000013
40,332.54,1*threshold,monophasic,0,-65.31050568469881,0.02400000000000002
40,332.54,1*threshold,monophasic,0,-65.32299101608598,0.02499999999999991
40,332.54,1*threshold,monophasic,0,-65.33550837790868,0.026000000000000023
40,332.54,1*threshold,monophasic,0,-65.34805828851682,0.026999999999999913
40,332.54,1*threshold,monophasic,0,-65.36064123385546,0.028000000000000025
40,332.54,1*threshold,monophasic,0,-65.37325767349623,0.028999999999999915
40,332.54,1*threshold,monophasic,0,-65.38590804442411,0.029999999999999805
40,332.54,1*threshold,monophasic,0,-65.39859276328015,0.030999999999999917
40,332.54,1*threshold,monophasic,0,-65.41131222754497,0.03200000000000003
40,332.54,1*threshold,monophasic,0,-65.42406681599911,0.03299999999999992
40,332.54,1*threshold,monophasic,0,-65.43685688869445,0.03400000000000003
40,332.54,1*threshold,monophasic,0,-65.44968278660008,0.03499999999999992
40,332.54,1*threshold,monophasic,0,-65.46254483103729,0.03600000000000003
40,332.54,1*threshold,monophasic,0,-65.47544332298527,0.03699999999999992
40,332.54,1*threshold,monophasic,0,-65.48837854231489,0.03799999999999981
40,332.54,1*threshold,monophasic,0,-65.50135074699192,0.038999999999999924
40,332.54,1*threshold,monophasic,0,-65.51436017227988,0.039999999999999813
40,332.54,1*threshold,monophasic,0,-65.50950307346011,0.04100000000000015
40,332.54,1*threshold,monophasic,0,-65.50655805121656,0.04200000000000004
40,332.54,1*threshold,monophasic,0,-65.50493107408525,0.04299999999999993
40,332.54,1*threshold,monophasic,0,-65.5042142049493,0.04400000000000004
40,332.54,1*threshold,monophasic,0,-65.5041272502711,0.04499999999999993
40,332.54,1*threshold,monophasic,0,-65.50447770443421,0.04600000000000004
40,332.54,1*threshold,monophasic,0,-65.50513325255629,0.04699999999999993
40,332.54,1*threshold,monophasic,0,-65.50600289405745,0.04799999999999982
40,332.54,1*threshold,monophasic,0,-65.50702398403631,0.04899999999999993
40,332.54,1*threshold,monophasic,0,-65.50815333705452,0.050000000000000044
40,332.54,1*threshold,monophasic,0,-65.5093611197019,0.050999999999999934
40,332.54,1*threshold,monophasic,0,-65.51062665765684,0.052000000000000046
40,332.54,1*threshold,monophasic,0,-65.51193555707952,0.052999999999999936
40,332.54,1*threshold,monophasic,0,-65.51327772834502,0.05400000000000005
40,332.54,1*threshold,monophasic,0,-65.51464602929326,0.05499999999999994
40,332.54,1*threshold,monophasic,0,-65.51603533384151,0.05599999999999983
40,332.54,1*threshold,monophasic,0,-65.51744189267306,0.05699999999999994
40,332.54,1*threshold,monophasic,0,-65.51886289450042,0.05799999999999983
40,332.54,1*threshold,monophasic,0,-65.5202961650838,0.05899999999999994
40,332.54,1*threshold,monophasic,0,-65.52173996087683,0.06000000000000005
40,332.54,1*threshold,monophasic,0,-65.52319282768693,0.06099999999999994
40,332.54,1*threshold,monophasic,0,-65.52465350401839,0.062000000000000055
40,332.54,1*threshold,monophasic,0,-65.52612085513435,0.06299999999999994
40,332.54,1*threshold,monophasic,0,-65.52759382824676,0.06400000000000006
40,332.54,1*threshold,monophasic,0,-65.52907142224541,0.06499999999999995
40,332.54,1*threshold,monophasic,0,-65.53055266743719,0.06599999999999984
40,332.54,1*threshold,monophasic,0,-65.53203661218161,0.06699999999999995
40,332.54,1*threshold,monophasic,0,-65.53352231427938,0.06799999999999984
40,332.54,1*threshold,monophasic,0,-65.53500883563812,0.06899999999999995
40,332.54,1*threshold,monophasic,0,-65.53649523919702,0.07000000000000006
40,332.54,1*threshold,monophasic,0,-65.53798058740662,0.07099999999999995
40,332.54,1*threshold,monophasic,0,-65.53946394177677,0.07200000000000006
40,332.54,1*threshold,monophasic,0,-65.54094436315376,0.07299999999999995
40,332.54,1*threshold,monophasic,0,-65.5424209124907,0.07399999999999984
40,332.54,1*threshold,monophasic,0,-65.54389265194555,0.07499999999999996
40,332.54,1*threshold,monophasic,0,-65.54535864618998,0.07599999999999985
40,332.54,1*threshold,monophasic,0,-65.54681796384631,0.07699999999999996
40,332.54,1*threshold,monophasic,0,-65.54826967899312,0.07800000000000007
40,332.54,1*threshold,monophasic,0,-65.54971287269692,0.07899999999999996
40,332.54,1*threshold,monophasic,0,-65.55114663453861,0.08000000000000007
40,332.54,1*threshold,monophasic,0,-65.55257006411213,0.08099999999999996
40,332.54,1*threshold,monophasic,0,-65.55398227247825,0.08199999999999985
40,332.54,1*threshold,monophasic,0,-65.55538238356125,0.08299999999999996
40,332.54,1*threshold,monophasic,0,-65.55676953547938,0.08399999999999985
40,332.54,1*threshold,monophasic,0,-65.55814288180231,0.08499999999999996
40,332.54,1*threshold,monophasic,0,-65.55950159273084,0.08599999999999985
40,332.54,1*threshold,monophasic,0,-65.56084485619567,0.08699999999999997
40,332.54,1*threshold,monophasic,0,-65.56217187887326,0.08800000000000008
40,332.54,1*threshold,monophasic,0,-65.56348188711752,0.08899999999999997
40,332.54,1*threshold,monophasic,0,-65.56477412780748,0.09000000000000008
40,332.54,1*threshold,monophasic,0,-65.56604786911093,0.09099999999999997
40,332.54,1*threshold,monophasic,0,-65.56730240116556,0.09199999999999986
40,332.54,1*threshold,monophasic,0,-65.56853703667869,0.09299999999999997
40,332.54,1*threshold,monophasic,0,-65.56975111144766,0.09399999999999986
40,332.54,1*threshold,monophasic,0,-65.57094398480326,0.09499999999999997
40,332.54,1*threshold,monophasic,0,-65.57211503997863,0.09599999999999986
40,332.54,1*threshold,monophasic,0,-65.57326368440623,0.09699999999999998
40,332.54,1*threshold,monophasic,0,-65.57438934994605,0.09800000000000009
40,332.54,1*threshold,monophasic,0,-65.57549149304792,0.09899999999999998
40,332.54,1*threshold,monophasic,0,-65.5765695948515,0.09999999999999987
40,332.54,1*threshold,monophasic,0,-65.57762316122658,0.10099999999999998
40,332.54,1*threshold,monophasic,0,-65.57865172275758,0.10199999999999987
40,332.54,1*threshold,monophasic,0,-65.57965483467504,0.10299999999999998
40,332.54,1*threshold,monophasic,0,-65.58063207673796,0.10399999999999987
40,332.54,1*threshold,monophasic,0,-65.58158305306961,0.10499999999999976
40,332.54,1*threshold,monophasic,0,-65.58250739195071,0.1060000000000001
40,332.54,1*threshold,monophasic,0,-65.58340474557264,0.10699999999999998
40,332.54,1*threshold,monophasic,0,-65.58427478975388,0.1080000000000001
40,332.54,1*threshold,monophasic,0,-65.58511722362312,0.10899999999999999
40,332.54,1*threshold,monophasic,0,-65.58593176927134,0.10999999999999988
40,332.54,1*threshold,monophasic,0,-65.58671817137598,0.11099999999999999
40,332.54,1*threshold,monophasic,0,-65.58747619679998,0.11199999999999988
40,332.54,1*threshold,monophasic,0,-65.58820563416839,0.11299999999999999
40,332.54,1*threshold,monophasic,0,-65.58890629342461,0.11399999999999988
40,332.54,1*threshold,monophasic,0,-65.58957800536916,0.11499999999999999
40,332.54,1*threshold,monophasic,0,-65.59022062118281,0.1160000000000001
40,332.54,1*threshold,monophasic,0,-65.59083401193675,0.11699999999999999
40,332.54,1*threshold,monophasic,0,-65.59141806809126,0.11799999999999988
