pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
400,2.32,1*threshold,0,0.0007799999999999999
400,2.32,1*threshold,0,0.00324
400,2.32,1*threshold,0,0.005764999999999999
400,2.32,1*threshold,0,0.008294999999999999
400,2.32,1*threshold,0,0.010759999999999999
400,2.32,1*threshold,0,0.01326
400,2.32,1*threshold,0,0.015745
400,2.32,1*threshold,0,0.018279999999999998
400,2.32,1*threshold,0,0.020759999999999997
400,2.32,1*threshold,0,0.023264999999999997
400,2.32,1*threshold,0,0.025744999999999997
400,2.32,1*threshold,0,0.028255
400,2.32,1*threshold,0,0.030764999999999997
400,2.32,1*threshold,0,0.033255
400,2.32,1*threshold,0,0.035745
400,2.32,1*threshold,0,0.03827
400,2.32,1*threshold,0,0.040769999999999994
400,2.32,1*threshold,0,0.043274999999999994
400,2.32,1*threshold,0,0.045779999999999994
400,2.32,1*threshold,0,0.048249999999999994
400,2.32,1*threshold,0,0.050745
400,2.32,1*threshold,0,0.05326499999999999
400,2.32,1*threshold,0,0.055784999999999994
400,2.32,1*threshold,0,0.058249999999999996
400,2.32,1*threshold,0,0.06074999999999999
400,2.32,1*threshold,0,0.063305
400,2.32,1*threshold,0,0.065745
400,2.32,1*threshold,0,0.06825999999999999
400,2.32,1*threshold,0,0.07075999999999999
400,2.32,1*threshold,0,0.07324499999999999
400,2.32,1*threshold,0,0.07575499999999999
400,2.32,1*threshold,0,0.07826
400,2.32,1*threshold,0,0.08077
400,2.32,1*threshold,0,0.083255
400,2.32,1*threshold,0,0.08574
400,2.32,1*threshold,0,0.08828499999999999
400,2.32,1*threshold,0,0.090765
400,2.32,1*threshold,0,0.09324999999999999
400,2.32,1*threshold,0,0.09578999999999999
400,2.32,1*threshold,0,0.09824999999999999
400,2.32,1*threshold,0,0.10075999999999999
400,2.32,1*threshold,0,0.103265
400,2.32,1*threshold,0,0.10575499999999999
400,2.32,1*threshold,0,0.10824999999999999
400,2.32,1*threshold,0,0.11077499999999998
400,2.32,1*threshold,0,0.11324999999999999
400,2.32,1*threshold,0,0.11574
400,2.32,1*threshold,0,0.11826999999999999
400,2.32,1*threshold,0,0.12076499999999998
400,2.32,1*threshold,0,0.12323999999999999
400,2.32,1*threshold,0,0.125765
400,2.32,1*threshold,0,0.12825499999999998
400,2.32,1*threshold,0,0.13077
400,2.32,1*threshold,0,0.13327
400,2.32,1*threshold,0,0.13576
400,2.32,1*threshold,0,0.138265
400,2.32,1*threshold,0,0.14076999999999998
400,2.32,1*threshold,0,0.143255
400,2.32,1*threshold,0,0.14576
400,2.32,1*threshold,0,0.14825
400,2.32,1*threshold,0,0.15073499999999998
400,2.32,1*threshold,0,0.15325499999999997
400,2.32,1*threshold,0,0.155765
400,2.32,1*threshold,0,0.15824999999999997
400,2.32,1*threshold,0,0.160745
400,2.32,1*threshold,0,0.16324499999999997
400,2.32,1*threshold,0,0.16575499999999999
400,2.32,1*threshold,0,0.16824999999999998
400,2.32,1*threshold,0,0.17077499999999998
400,2.32,1*threshold,0,0.17324499999999998
400,2.32,1*threshold,0,0.17575999999999997
400,2.32,1*threshold,0,0.17826499999999998
400,2.32,1*threshold,0,0.18076499999999998
400,2.32,1*threshold,0,0.18325
400,2.32,1*threshold,0,0.18577
400,2.32,1*threshold,0,0.18827999999999998
400,2.32,1*threshold,0,0.19074999999999998
400,2.32,1*threshold,0,0.19325499999999998
400,2.32,1*threshold,0,0.19576999999999997
400,2.32,1*threshold,0,0.19827499999999998
400,2.32,1*threshold,0,0.20077499999999998
400,2.32,1*threshold,0,0.20324499999999998
400,2.32,1*threshold,0,0.20575
400,2.32,1*threshold,0,0.20826499999999998
400,2.32,1*threshold,0,0.21075499999999997
400,2.32,1*threshold,0,0.21325999999999998
400,2.32,1*threshold,0,0.21576499999999998
400,2.32,1*threshold,0,0.21827
400,2.32,1*threshold,0,0.22077
400,2.32,1*threshold,0,0.22322999999999998
400,2.32,1*threshold,0,0.225765
400,2.32,1*threshold,0,0.228285
400,2.32,1*threshold,0,0.230755
400,2.32,1*threshold,0,0.23324999999999999
400,2.32,1*threshold,0,0.23575
400,2.32,1*threshold,0,0.23825999999999997
400,2.32,1*threshold,0,0.24075
400,2.32,1*threshold,0,0.24325999999999998
400,2.32,1*threshold,0,0.24579499999999999
400,2.32,1*threshold,0,0.24824999999999997
400,2.32,1*threshold,0,0.25078
400,2.32,1*threshold,0,0.25328
400,2.32,1*threshold,0,0.25575
400,2.32,1*threshold,0,0.25827
400,2.32,1*threshold,0,0.260745
400,2.32,1*threshold,0,0.26326
400,2.32,1*threshold,0,0.26575
400,2.32,1*threshold,0,0.268275
400,2.32,1*threshold,0,0.270775
400,2.32,1*threshold,0,0.27327999999999997
400,2.32,1*threshold,0,0.27576999999999996
400,2.32,1*threshold,0,0.27826999999999996
400,2.32,1*threshold,0,0.28075
400,2.32,1*threshold,0,0.283265
400,2.32,1*threshold,0,0.285755
400,2.32,1*threshold,0,0.288255
400,2.32,1*threshold,0,0.29074999999999995
400,2.32,1*threshold,0,0.29325999999999997
400,2.32,1*threshold,0,0.29577499999999995
400,2.32,1*threshold,1,0.0007899999999999999
400,2.32,1*threshold,1,0.00326
400,2.32,1*threshold,1,0.005744999999999999
400,2.32,1*threshold,1,0.00826
400,2.32,1*threshold,1,0.010764999999999999
400,2.32,1*threshold,1,0.013255
400,2.32,1*threshold,1,0.01576
400,2.32,1*threshold,1,0.018234999999999998
400,2.32,1*threshold,1,0.02078
400,2.32,1*threshold,1,0.02326
400,2.32,1*threshold,1,0.02574
400,2.32,1*threshold,1,0.028259999999999997
400,2.32,1*threshold,1,0.030764999999999997
400,2.32,1*threshold,1,0.033264999999999996
400,2.32,1*threshold,1,0.035769999999999996
400,2.32,1*threshold,1,0.03827
400,2.32,1*threshold,1,0.04078
400,2.32,1*threshold,1,0.043285
400,2.32,1*threshold,1,0.045774999999999996
400,2.32,1*threshold,1,0.048249999999999994
400,2.32,1*threshold,1,0.050774999999999994
400,2.32,1*threshold,1,0.05325
400,2.32,1*threshold,1,0.05576
400,2.32,1*threshold,1,0.058265
400,2.32,1*threshold,1,0.060774999999999996
400,2.32,1*threshold,1,0.06325499999999999
400,2.32,1*threshold,1,0.06577999999999999
400,2.32,1*threshold,1,0.06825999999999999
400,2.32,1*threshold,1,0.07077
400,2.32,1*threshold,1,0.073265
400,2.32,1*threshold,1,0.07574499999999999
400,2.32,1*threshold,1,0.07829
400,2.32,1*threshold,1,0.080755
400,2.32,1*threshold,1,0.083285
400,2.32,1*threshold,1,0.08575999999999999
400,2.32,1*threshold,1,0.08825
400,2.32,1*threshold,1,0.09076999999999999
400,2.32,1*threshold,1,0.09325499999999999
400,2.32,1*threshold,1,0.09574999999999999
400,2.32,1*threshold,1,0.09828999999999999
400,2.32,1*threshold,1,0.100755
400,2.32,1*threshold,1,0.10324499999999999
400,2.32,1*threshold,1,0.10575999999999999
400,2.32,1*threshold,1,0.10826
400,2.32,1*threshold,1,0.110745
400,2.32,1*threshold,1,0.11325999999999999
400,2.32,1*threshold,1,0.11574999999999999
400,2.32,1*threshold,1,0.11825499999999999
400,2.32,1*threshold,1,0.12075
400,2.32,1*threshold,1,0.12328499999999999
400,2.32,1*threshold,1,0.12577
400,2.32,1*threshold,1,0.12824
400,2.32,1*threshold,1,0.13077999999999998
400,2.32,1*threshold,1,0.13326
400,2.32,1*threshold,1,0.13574499999999998
400,2.32,1*threshold,1,0.138255
400,2.32,1*threshold,1,0.14077499999999998
400,2.32,1*threshold,1,0.143255
400,2.32,1*threshold,1,0.14578
400,2.32,1*threshold,1,0.148255
400,2.32,1*threshold,1,0.15075
400,2.32,1*threshold,1,0.15325499999999997
400,2.32,1*threshold,1,0.15575999999999998
400,2.32,1*threshold,1,0.15824999999999997
400,2.32,1*threshold,1,0.16074999999999998
400,2.32,1*threshold,1,0.163265
400,2.32,1*threshold,1,0.16576999999999997
400,2.32,1*threshold,1,0.168265
400,2.32,1*threshold,1,0.170755
400,2.32,1*threshold,1,0.173255
400,2.32,1*threshold,1,0.17575
400,2.32,1*threshold,1,0.178255
400,2.32,1*threshold,1,0.18075
400,2.32,1*threshold,1,0.18327999999999997
400,2.32,1*threshold,1,0.185745
400,2.32,1*threshold,1,0.18825499999999998
400,2.32,1*threshold,1,0.19074999999999998
400,2.32,1*threshold,1,0.193265
400,2.32,1*threshold,1,0.19573999999999997
400,2.32,1*threshold,1,0.198255
400,2.32,1*threshold,1,0.20074499999999998
400,2.32,1*threshold,1,0.20324499999999998
400,2.32,1*threshold,1,0.20575
400,2.32,1*threshold,1,0.20823499999999998
400,2.32,1*threshold,1,0.21076499999999998
400,2.32,1*threshold,1,0.21325
400,2.32,1*threshold,1,0.215775
400,2.32,1*threshold,1,0.21828499999999998
400,2.32,1*threshold,1,0.22074999999999997
400,2.32,1*threshold,1,0.22324499999999997
400,2.32,1*threshold,1,0.22574999999999998
400,2.32,1*threshold,1,0.22826499999999997
400,2.32,1*threshold,1,0.23076
400,2.32,1*threshold,1,0.23325999999999997
400,2.32,1*threshold,1,0.235755
400,2.32,1*threshold,1,0.23825499999999997
400,2.32,1*threshold,1,0.24075499999999997
400,2.32,1*threshold,1,0.24324999999999997
400,2.32,1*threshold,1,0.24574999999999997
400,2.32,1*threshold,1,0.24824499999999997
400,2.32,1*threshold,1,0.250755
400,2.32,1*threshold,1,0.25327
400,2.32,1*threshold,1,0.25577
400,2.32,1*threshold,1,0.25825499999999996
400,2.32,1*threshold,1,0.26076
400,2.32,1*threshold,1,0.26325
400,2.32,1*threshold,1,0.26576999999999995
400,2.32,1*threshold,1,0.268275
400,2.32,1*threshold,1,0.270775
400,2.32,1*threshold,1,0.27326
400,2.32,1*threshold,1,0.27575999999999995
400,2.32,1*threshold,1,0.278255
400,2.32,1*threshold,1,0.28075999999999995
400,2.32,1*threshold,1,0.28325
400,2.32,1*threshold,1,0.285755
400,2.32,1*threshold,1,0.288255
400,2.32,1*threshold,1,0.29077499999999995
400,2.32,1*threshold,1,0.293265
400,2.32,1*threshold,1,0.29577
400,2.32,1*threshold,2,0.000775
400,2.32,1*threshold,2,0.00326
400,2.32,1*threshold,2,0.005775
400,2.32,1*threshold,2,0.008249999999999999
400,2.32,1*threshold,2,0.010759999999999999
400,2.32,1*threshold,2,0.013274999999999999
400,2.32,1*threshold,2,0.015745
400,2.32,1*threshold,2,0.018254999999999997
