phase duration (us),pulse form,threshold
40,monophasic,1.939
40,monophasic,1.891
40,monophasic,1.775
40,monophasic,1.834
40,monophasic,1.866
40,monophasic,1.806
40,monophasic,1.775
40,monophasic,1.815
40,monophasic,1.767
40,monophasic,1.877
40,monophasic,1.788
40,monophasic,1.806
40,monophasic,1.763
40,monophasic,1.708
40,monophasic,1.674
40,monophasic,1.895
40,monophasic,1.791
40,monophasic,1.785
40,monophasic,1.854
40,monophasic,1.793
40,monophasic,1.776
40,monophasic,1.762
40,monophasic,1.631
40,monophasic,1.815
40,monophasic,1.795
40,monophasic,1.83
40,monophasic,1.763
40,monophasic,1.702
40,monophasic,1.884
40,monophasic,1.625
40,monophasic,1.81
40,monophasic,1.74
40,monophasic,1.872
40,monophasic,1.759
40,monophasic,1.89
40,monophasic,1.807
40,monophasic,1.747
40,monophasic,1.739
40,monophasic,1.765
40,monophasic,1.877
40,monophasic,1.722
40,monophasic,1.828
40,monophasic,1.805
40,monophasic,1.828
40,monophasic,1.473
40,monophasic,1.844
40,monophasic,1.654
40,monophasic,1.887
40,monophasic,1.871
40,monophasic,1.835
40,monophasic,2.037
40,monophasic,1.707
40,monophasic,1.806
40,monophasic,1.664
40,monophasic,1.748
40,monophasic,1.815
40,monophasic,1.795
40,monophasic,1.859
40,monophasic,1.888
40,monophasic,1.938
100,monophasic,0.811
100,monophasic,0.806
100,monophasic,0.795
100,monophasic,0.865
100,monophasic,0.907
100,monophasic,0.813
100,monophasic,0.847
100,monophasic,0.826
100,monophasic,0.818
100,monophasic,0.854
100,monophasic,0.856
100,monophasic,0.85
100,monophasic,0.845
100,monophasic,0.895
100,monophasic,0.857
100,monophasic,0.801
100,monophasic,0.807
100,monophasic,0.838
100,monophasic,0.772
100,monophasic,0.789
100,monophasic,0.891
100,monophasic,0.874
100,monophasic,0.807
100,monophasic,0.783
100,monophasic,0.86
100,monophasic,0.705
100,monophasic,0.844
100,monophasic,0.851
100,monophasic,0.809
100,monophasic,0.827
100,monophasic,0.832
100,monophasic,0.892
100,monophasic,0.808
100,monophasic,0.884
100,monophasic,0.89
100,monophasic,0.828
100,monophasic,0.766
100,monophasic,0.906
100,monophasic,0.839
100,monophasic,0.818
100,monophasic,0.856
100,monophasic,0.795
100,monophasic,0.903
100,monophasic,0.836
100,monophasic,0.865
100,monophasic,0.795
100,monophasic,0.876
100,monophasic,0.862
100,monophasic,0.819
100,monophasic,0.768
100,monophasic,0.784
100,monophasic,0.857
100,monophasic,0.819
100,monophasic,0.885
100,monophasic,0.878
100,monophasic,0.837
100,monophasic,0.876
100,monophasic,0.815
100,monophasic,0.837
100,monophasic,0.84
200,biphasic,0.567
200,biphasic,0.589
200,biphasic,0.603
200,biphasic,0.566
200,biphasic,0.551
200,biphasic,0.589
200,biphasic,0.587
200,biphasic,0.574
200,biphasic,0.586
200,biphasic,0.555
200,biphasic,0.537
200,biphasic,0.53
200,biphasic,0.565
200,biphasic,0.583
200,biphasic,0.571
200,biphasic,0.575
200,biphasic,0.585
200,biphasic,0.543
200,biphasic,0.547
200,biphasic,0.563
200,biphasic,0.533
200,biphasic,0.545
200,biphasic,0.584
200,biphasic,0.575
200,biphasic,0.596
200,biphasic,0.591
200,biphasic,0.604
200,biphasic,0.551
200,biphasic,0.564
200,biphasic,0.605
200,biphasic,0.572
200,biphasic,0.544
200,biphasic,0.51
200,biphasic,0.591
200,biphasic,0.573
200,biphasic,0.579
200,biphasic,0.599
200,biphasic,0.543
200,biphasic,0.567
200,biphasic,0.577
200,biphasic,0.581
200,biphasic,0.496
200,biphasic,0.616
200,biphasic,0.565
200,biphasic,0.551
200,biphasic,0.57
200,biphasic,0.526
200,biphasic,0.627
200,biphasic,0.531
200,biphasic,0.568
200,biphasic,0.541
200,biphasic,0.526
200,biphasic,0.532
200,biphasic,0.496
200,biphasic,0.61
200,biphasic,0.545
200,biphasic,0.601
200,biphasic,0.572
200,biphasic,0.576
200,biphasic,0.589
400,biphasic,0.34
400,biphasic,0.357
400,biphasic,0.371
400,biphasic,0.389
400,biphasic,0.374
400,biphasic,0.359
400,biphasic,0.339
400,biphasic,0.291
400,biphasic,0.347
400,biphasic,0.369
400,biphasic,0.376
400,biphasic,0.323
400,biphasic,0.35
400,biphasic,0.349
400,biphasic,0.351
400,biphasic,0.366
400,biphasic,0.364
400,biphasic,0.382
400,biphasic,0.426
400,biphasic,0.34
400,biphasic,0.395
400,biphasic,0.396
400,biphasic,0.374
400,biphasic,0.358
400,biphasic,0.349
400,biphasic,0.402
400,biphasic,0.351
400,biphasic,0.389
400,biphasic,0.313
400,biphasic,0.394
400,biphasic,0.361
400,biphasic,0.3
400,biphasic,0.366
400,biphasic,0.321
400,biphasic,0.377
400,biphasic,0.363
400,biphasic,0.368
400,biphasic,0.373
400,biphasic,0.362
400,biphasic,0.444
400,biphasic,0.344
400,biphasic,0.352
400,biphasic,0.374
400,biphasic,0.331
400,biphasic,0.376
400,biphasic,0.417
400,biphasic,0.367
400,biphasic,0.338
400,biphasic,0.409
400,biphasic,0.358
400,biphasic,0.398
400,biphasic,0.388
400,biphasic,0.385
400,biphasic,0.349
400,biphasic,0.321
400,biphasic,0.393
400,biphasic,0.34
400,biphasic,0.354
400,biphasic,0.368
400,biphasic,0.338
