phase duration (us),pulse form,threshold
40,monophasic,73.332
40,monophasic,69.392
40,monophasic,70.801
40,monophasic,66.736
40,monophasic,70.289
40,monophasic,66.207
40,monophasic,70.487
40,monophasic,71.001
40,monophasic,74.578
40,monophasic,70.401
40,monophasic,66.949
40,monophasic,72.818
40,monophasic,67.916
40,monophasic,71.447
40,monophasic,61.758
40,monophasic,75.96
40,monophasic,74.701
40,monophasic,71.12
40,monophasic,71.199
40,monophasic,74.373
40,monophasic,71.854
40,monophasic,73.22
40,monophasic,71.074
40,monophasic,66.916
40,monophasic,75.766
40,monophasic,71.041
40,monophasic,74.849
40,monophasic,71.673
40,monophasic,74.291
40,monophasic,72.436
40,monophasic,67.613
40,monophasic,70.015
40,monophasic,75.802
40,monophasic,63.364
40,monophasic,66.086
40,monophasic,68.488
40,monophasic,71.588
40,monophasic,66.166
40,monophasic,78.286
40,monophasic,73.437
40,monophasic,78.944
40,monophasic,70.07
40,monophasic,73.127
40,monophasic,74.954
40,monophasic,65.544
40,monophasic,73.363
40,monophasic,68.073
40,monophasic,63.474
40,monophasic,65.037
40,monophasic,71.997
40,monophasic,71.718
40,monophasic,73.985
40,monophasic,64.59
40,monophasic,67.0
40,monophasic,69.777
40,monophasic,68.303
40,monophasic,72.102
40,monophasic,67.936
40,monophasic,64.384
40,monophasic,71.885
100,monophasic,43.287
100,monophasic,39.63
100,monophasic,40.572
100,monophasic,43.988
100,monophasic,41.198
100,monophasic,42.033
100,monophasic,38.734
100,monophasic,36.996
100,monophasic,38.645
100,monophasic,43.833
100,monophasic,43.866
100,monophasic,38.851
100,monophasic,42.204
100,monophasic,42.659
100,monophasic,42.63
100,monophasic,38.603
100,monophasic,36.927
100,monophasic,44.31
100,monophasic,41.168
100,monophasic,37.055
100,monophasic,38.293
100,monophasic,42.52
100,monophasic,38.031
100,monophasic,45.663
100,monophasic,43.227
100,monophasic,43.962
100,monophasic,44.938
100,monophasic,41.217
100,monophasic,42.932
100,monophasic,41.365
100,monophasic,40.772
100,monophasic,37.082
100,monophasic,44.53
100,monophasic,38.661
100,monophasic,40.271
100,monophasic,38.239
100,monophasic,39.42
100,monophasic,43.042
100,monophasic,38.072
100,monophasic,41.306
100,monophasic,43.116
100,monophasic,41.491
100,monophasic,34.777
100,monophasic,40.853
100,monophasic,41.519
100,monophasic,42.61
100,monophasic,39.425
100,monophasic,42.593
100,monophasic,39.317
100,monophasic,42.981
100,monophasic,37.882
100,monophasic,39.662
100,monophasic,41.648
100,monophasic,42.893
100,monophasic,41.869
100,monophasic,40.033
100,monophasic,35.052
100,monophasic,41.51
100,monophasic,37.054
100,monophasic,40.926
200,biphasic,29.59
200,biphasic,29.302
200,biphasic,26.781
200,biphasic,31.997
200,biphasic,33.354
200,biphasic,30.441
200,biphasic,28.236
200,biphasic,31.011
200,biphasic,34.054
200,biphasic,31.497
200,biphasic,34.376
200,biphasic,35.346
200,biphasic,35.144
200,biphasic,34.539
200,biphasic,34.228
200,biphasic,23.806
200,biphasic,31.182
200,biphasic,26.588
200,biphasic,30.848
200,biphasic,31.727
200,biphasic,31.745
200,biphasic,29.242
200,biphasic,35.653
200,biphasic,34.387
200,biphasic,30.996
200,biphasic,33.035
200,biphasic,32.383
200,biphasic,29.06
200,biphasic,30.731
200,biphasic,28.324
200,biphasic,36.737
200,biphasic,29.367
200,biphasic,23.748
200,biphasic,29.715
200,biphasic,28.272
200,biphasic,30.813
200,biphasic,33.716
200,biphasic,29.988
200,biphasic,29.173
200,biphasic,30.232
200,biphasic,28.368
200,biphasic,33.855
200,biphasic,32.471
200,biphasic,27.256
200,biphasic,30.696
200,biphasic,32.128
200,biphasic,30.85
200,biphasic,33.777
200,biphasic,33.201
200,biphasic,33.592
200,biphasic,32.056
200,biphasic,34.616
200,biphasic,34.258
200,biphasic,27.749
200,biphasic,35.429
200,biphasic,29.23
200,biphasic,28.646
200,biphasic,32.09
200,biphasic,24.7
200,biphasic,33.373
400,biphasic,26.559
400,biphasic,25.11
400,biphasic,23.475
400,biphasic,28.316
400,biphasic,27.862
400,biphasic,27.013
400,biphasic,26.043
400,biphasic,19.078
400,biphasic,24.669
400,biphasic,25.509
400,biphasic,26.698
400,biphasic,23.156
400,biphasic,28.352
400,biphasic,25.962
400,biphasic,28.217
400,biphasic,23.393
400,biphasic,27.511
400,biphasic,22.702
400,biphasic,22.243
400,biphasic,28.293
400,biphasic,27.224
400,biphasic,24.095
400,biphasic,19.563
400,biphasic,27.28
400,biphasic,29.873
400,biphasic,23.894
400,biphasic,28.35
400,biphasic,27.583
400,biphasic,27.858
400,biphasic,25.718
400,biphasic,24.458
400,biphasic,24.65
400,biphasic,25.564
400,biphasic,23.244
400,biphasic,28.735
400,biphasic,21.622
400,biphasic,26.546
400,biphasic,22.307
400,biphasic,24.081
400,biphasic,25.67
400,biphasic,23.206
400,biphasic,26.392
400,biphasic,24.033
400,biphasic,26.958
400,biphasic,26.536
400,biphasic,24.022
400,biphasic,25.579
400,biphasic,25.644
400,biphasic,26.698
400,biphasic,27.078
400,biphasic,29.087
400,biphasic,25.288
400,biphasic,17.042
400,biphasic,28.542
400,biphasic,28.352
400,biphasic,24.955
400,biphasic,23.939
400,biphasic,24.158
400,biphasic,26.65
400,biphasic,21.393
