phase duration (us),pulse form,threshold
40,monophasic,219.4
40,monophasic,221.315
40,monophasic,215.641
40,monophasic,180.08
40,monophasic,234.744
40,monophasic,228.498
40,monophasic,213.004
40,monophasic,223.9
40,monophasic,229.571
40,monophasic,255.547
40,monophasic,198.482
40,monophasic,284.166
40,monophasic,197.355
40,monophasic,215.104
40,monophasic,243.049
40,monophasic,205.627
40,monophasic,213.477
40,monophasic,200.958
40,monophasic,208.125
40,monophasic,179.634
40,monophasic,215.71
40,monophasic,227.406
40,monophasic,217.086
40,monophasic,221.886
40,monophasic,230.385
40,monophasic,247.829
40,monophasic,240.816
40,monophasic,238.162
40,monophasic,242.674
40,monophasic,232.326
40,monophasic,231.457
40,monophasic,189.477
40,monophasic,230.471
40,monophasic,207.177
40,monophasic,208.515
40,monophasic,200.979
40,monophasic,208.53
40,monophasic,225.0
40,monophasic,246.447
40,monophasic,232.438
40,monophasic,223.531
40,monophasic,241.055
40,monophasic,239.94
40,monophasic,210.458
40,monophasic,206.737
40,monophasic,221.781
40,monophasic,208.055
40,monophasic,213.78
40,monophasic,202.773
40,monophasic,199.825
40,monophasic,232.292
40,monophasic,214.753
40,monophasic,253.891
40,monophasic,209.139
40,monophasic,175.951
40,monophasic,242.504
40,monophasic,207.759
40,monophasic,197.269
40,monophasic,225.12
40,monophasic,201.656
100,monophasic,111.284
100,monophasic,112.211
100,monophasic,110.414
100,monophasic,118.183
100,monophasic,119.197
100,monophasic,106.3
100,monophasic,101.219
100,monophasic,109.003
100,monophasic,121.331
100,monophasic,120.865
100,monophasic,109.138
100,monophasic,103.456
100,monophasic,110.761
100,monophasic,108.603
100,monophasic,115.928
100,monophasic,110.811
100,monophasic,111.37
100,monophasic,126.229
100,monophasic,109.868
100,monophasic,109.612
100,monophasic,103.478
100,monophasic,96.015
100,monophasic,116.506
100,monophasic,120.739
100,monophasic,111.053
100,monophasic,116.609
100,monophasic,122.529
100,monophasic,103.358
100,monophasic,114.025
100,monophasic,113.741
100,monophasic,111.465
100,monophasic,109.529
100,monophasic,106.909
100,monophasic,110.792
100,monophasic,105.055
100,monophasic,113.101
100,monophasic,116.657
100,monophasic,120.047
100,monophasic,105.422
100,monophasic,122.742
100,monophasic,119.185
100,monophasic,90.692
100,monophasic,102.862
100,monophasic,111.115
100,monophasic,121.414
100,monophasic,111.527
100,monophasic,116.157
100,monophasic,106.846
100,monophasic,110.181
100,monophasic,116.416
100,monophasic,111.075
100,monophasic,116.152
100,monophasic,121.653
100,monophasic,104.17
100,monophasic,120.996
100,monophasic,114.714
100,monophasic,111.266
100,monophasic,113.667
100,monophasic,112.342
100,monophasic,114.491
200,biphasic,86.876
200,biphasic,83.77
200,biphasic,81.595
200,biphasic,88.386
200,biphasic,79.714
200,biphasic,78.24
200,biphasic,83.481
200,biphasic,79.341
200,biphasic,83.283
200,biphasic,82.764
200,biphasic,84.709
200,biphasic,77.206
200,biphasic,82.246
200,biphasic,85.133
200,biphasic,79.592
200,biphasic,79.342
200,biphasic,84.886
200,biphasic,82.041
200,biphasic,80.218
200,biphasic,76.436
200,biphasic,79.133
200,biphasic,81.255
200,biphasic,80.185
200,biphasic,77.178
200,biphasic,78.943
200,biphasic,78.974
200,biphasic,86.035
200,biphasic,80.127
200,biphasic,85.259
200,biphasic,84.211
200,biphasic,81.648
200,biphasic,77.656
200,biphasic,77.756
200,biphasic,82.851
200,biphasic,84.272
200,biphasic,87.914
200,biphasic,84.191
200,biphasic,80.436
200,biphasic,79.391
200,biphasic,82.679
200,biphasic,88.806
200,biphasic,83.182
200,biphasic,75.665
200,biphasic,80.129
200,biphasic,75.326
200,biphasic,84.614
200,biphasic,87.509
200,biphasic,81.96
200,biphasic,78.163
200,biphasic,81.525
200,biphasic,86.179
200,biphasic,76.2
200,biphasic,74.475
200,biphasic,75.067
200,biphasic,87.642
200,biphasic,83.045
200,biphasic,83.578
200,biphasic,80.255
200,biphasic,79.747
200,biphasic,84.187
400,biphasic,66.244
400,biphasic,66.247
400,biphasic,68.846
400,biphasic,64.585
400,biphasic,71.744
400,biphasic,70.39
400,biphasic,70.464
400,biphasic,69.44
400,biphasic,72.909
400,biphasic,64.799
400,biphasic,69.113
400,biphasic,66.129
400,biphasic,65.992
400,biphasic,71.027
400,biphasic,63.43
400,biphasic,66.199
400,biphasic,69.413
400,biphasic,65.361
400,biphasic,71.596
400,biphasic,64.085
400,biphasic,65.772
400,biphasic,69.906
400,biphasic,66.704
400,biphasic,69.437
400,biphasic,67.113
400,biphasic,63.254
400,biphasic,69.551
400,biphasic,66.516
400,biphasic,68.499
400,biphasic,71.194
400,biphasic,67.457
400,biphasic,70.952
400,biphasic,65.293
400,biphasic,64.276
400,biphasic,74.159
400,biphasic,68.007
400,biphasic,64.991
400,biphasic,65.71
400,biphasic,66.945
400,biphasic,65.021
400,biphasic,60.156
400,biphasic,69.915
400,biphasic,70.706
400,biphasic,67.581
400,biphasic,70.538
400,biphasic,64.498
400,biphasic,72.267
400,biphasic,68.479
400,biphasic,68.999
400,biphasic,65.607
400,biphasic,69.189
400,biphasic,68.572
400,biphasic,71.001
400,biphasic,64.294
400,biphasic,68.893
400,biphasic,75.64
400,biphasic,72.495
400,biphasic,69.79
400,biphasic,69.616
400,biphasic,69.403
