phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,run,membrane potential (mV),time (ms)
40,218.53,1*threshold,monophasic,0,-88.24444505460072,0.0
40,218.53,1*threshold,monophasic,0,-88.26517714682116,0.0009999999999998899
40,218.53,1*threshold,monophasic,0,-88.28535199967286,0.0019999999999997797
40,218.53,1*threshold,monophasic,0,-88.30543009981126,0.0029999999999998916
40,218.53,1*threshold,monophasic,0,-88.32558895260522,0.0040000000000000036
40,218.53,1*threshold,monophasic,0,-88.345911874556,0.0050000000000001155
40,218.53,1*threshold,monophasic,0,-88.36645327672734,0.006000000000000005
40,218.53,1*threshold,monophasic,0,-88.38726100888073,0.006999999999999895
40,218.53,1*threshold,monophasic,0,-88.40838350171738,0.008000000000000007
40,218.53,1*threshold,monophasic,0,-88.42987129823896,0.008999999999999897
40,218.53,1*threshold,monophasic,0,-88.45177636435533,0.010000000000000009
40,218.53,1*threshold,monophasic,0,-88.47415046516886,0.010999999999999899
40,218.53,1*threshold,monophasic,0,-88.49704317905379,0.011999999999999789
40,218.53,1*threshold,monophasic,0,-88.52049986643591,0.0129999999999999
40,218.53,1*threshold,monophasic,0,-88.54455979942729,0.014000000000000012
40,218.53,1*threshold,monophasic,0,-88.56925459043332,0.015000000000000124
40,218.53,1*threshold,monophasic,0,-88.59460700328316,0.016000000000000014
40,218.53,1*threshold,monophasic,0,-88.62063018348995,0.016999999999999904
40,218.53,1*threshold,monophasic,0,-88.64732730539767,0.018000000000000016
40,218.53,1*threshold,monophasic,0,-88.67469160437072,0.018999999999999906
40,218.53,1*threshold,monophasic,0,-88.70270674210587,0.019999999999999796
40,218.53,1*threshold,monophasic,0,-88.73134744187676,0.020999999999999908
40,218.53,1*threshold,monophasic,0,-88.76058032665802,0.021999999999999797
40,218.53,1*threshold,monophasic,0,-88.79036489490146,0.02300000000000013
40,218.53,1*threshold,monophasic,0,-88.82065457451891,0.02400000000000002
40,218.53,1*threshold,monophasic,0,-88.85139780380774,0.02499999999999991
40,218.53,1*threshold,monophasic,0,-88.88253909735667,0.026000000000000023
40,218.53,1*threshold,monophasic,0,-88.91402006441822,0.026999999999999913
40,218.53,1*threshold,monophasic,0,-88.94578035615251,0.028000000000000025
40,218.53,1*threshold,monophasic,0,-88.97775852610948,0.028999999999999915
40,218.53,1*threshold,monophasic,0,-89.00989279509946,0.029999999999999805
40,218.53,1*threshold,monophasic,0,-89.04212171713627,0.030999999999999917
40,218.53,1*threshold,monophasic,0,-89.0743847474545,0.03200000000000003
40,218.53,1*threshold,monophasic,0,-89.10662271680881,0.03299999999999992
40,218.53,1*threshold,monophasic,0,-89.13877821849329,0.03400000000000003
40,218.53,1*threshold,monophasic,0,-89.17079591593276,0.03499999999999992
40,218.53,1*threshold,monophasic,0,-89.20262277944424,0.03600000000000003
40,218.53,1*threshold,monophasic,0,-89.23420826099645,0.03699999999999992
40,218.53,1*threshold,monophasic,0,-89.26550441563256,0.03799999999999981
40,218.53,1*threshold,monophasic,0,-89.29646597778114,0.038999999999999924
40,218.53,1*threshold,monophasic,0,-89.32705040005327,0.039999999999999813
40,218.53,1*threshold,monophasic,0,-89.33648570614503,0.04100000000000015
40,218.53,1*threshold,monophasic,0,-89.34602430785058,0.04200000000000004
40,218.53,1*threshold,monophasic,0,-89.35517143164112,0.04299999999999993
40,218.53,1*threshold,monophasic,0,-89.36371788607464,0.04400000000000004
40,218.53,1*threshold,monophasic,0,-89.37155119208983,0.04499999999999993
40,218.53,1*threshold,monophasic,0,-89.37859019111407,0.04600000000000004
40,218.53,1*threshold,monophasic,0,-89.38476256653045,0.04699999999999993
40,218.53,1*threshold,monophasic,0,-89.38999754568304,0.04799999999999982
40,218.53,1*threshold,monophasic,0,-89.39422419789614,0.04899999999999993
40,218.53,1*threshold,monophasic,0,-89.39737194698624,0.050000000000000044
40,218.53,1*threshold,monophasic,0,-89.39937202167515,0.050999999999999934
40,218.53,1*threshold,monophasic,0,-89.40015928154286,0.052000000000000046
40,218.53,1*threshold,monophasic,0,-89.39967411000701,0.052999999999999936
40,218.53,1*threshold,monophasic,0,-89.39786417421978,0.05400000000000005
40,218.53,1*threshold,monophasic,0,-89.39468591692925,0.05499999999999994
40,218.53,1*threshold,monophasic,0,-89.39010569695533,0.05599999999999983
40,218.53,1*threshold,monophasic,0,-89.38410053921315,0.05699999999999994
40,218.53,1*threshold,monophasic,0,-89.37665849196668,0.05799999999999983
40,218.53,1*threshold,monophasic,0,-89.36777861719641,0.05899999999999994
40,218.53,1*threshold,monophasic,0,-89.35747065936036,0.06000000000000005
40,218.53,1*threshold,monophasic,0,-89.34575444906835,0.06099999999999994
40,218.53,1*threshold,monophasic,0,-89.33265910256219,0.062000000000000055
40,218.53,1*threshold,monophasic,0,-89.31822207696241,0.06299999999999994
40,218.53,1*threshold,monophasic,0,-89.3024881365955,0.06400000000000006
40,218.53,1*threshold,monophasic,0,-89.28550827877316,0.06499999999999995
40,218.53,1*threshold,monophasic,0,-89.26733865932366,0.06599999999999984
40,218.53,1*threshold,monophasic,0,-89.2480395498649,0.06699999999999995
40,218.53,1*threshold,monophasic,0,-89.22767435087721,0.06799999999999984
40,218.53,1*threshold,monophasic,0,-89.20630867747295,0.06899999999999995
40,218.53,1*threshold,monophasic,0,-89.18400952858272,0.07000000000000006
40,218.53,1*threshold,monophasic,0,-89.16084454515442,0.07099999999999995
40,218.53,1*threshold,monophasic,0,-89.13688135887601,0.07200000000000006
40,218.53,1*threshold,monophasic,0,-89.11218702979993,0.07299999999999995
40,218.53,1*threshold,monophasic,0,-89.08682756896052,0.07399999999999984
40,218.53,1*threshold,monophasic,0,-89.06086754050092,0.07499999999999996
40,218.53,1*threshold,monophasic,0,-89.03436973684019,0.07599999999999985
40,218.53,1*threshold,monophasic,0,-89.00739491989196,0.07699999999999996
40,218.53,1*threshold,monophasic,0,-88.98000162118666,0.07800000000000007
40,218.53,1*threshold,monophasic,0,-88.95224599385593,0.07899999999999996
40,218.53,1*threshold,monophasic,0,-88.9241817097354,0.08000000000000007
40,218.53,1*threshold,monophasic,0,-88.89585989526584,0.08099999999999996
40,218.53,1*threshold,monophasic,0,-88.86732910037323,0.08199999999999985
40,218.53,1*threshold,monophasic,0,-88.83863529504877,0.08299999999999996
40,218.53,1*threshold,monophasic,0,-88.80982188890009,0.08399999999999985
40,218.53,1*threshold,monophasic,0,-88.78092976948453,0.08499999999999996
40,218.53,1*threshold,monophasic,0,-88.75199735575103,0.08599999999999985
