phase duration (us),threshold (uA)
2. Hz,0.0
3. Hz,0.0
4. Hz,0.0
5. Hz,0.0
6. Hz,0.0
7. Hz,0.0
8. Hz,976.6967773437501
9. Hz,874.462890625
10. Hz,791.802978515625
11. Hz,723.4924316406252
12. Hz,666.0400390625001
14. Hz,574.7436523437499
15. Hz,537.87841796875
17. Hz,476.800537109375
19. Hz,428.38134765624994
22. Hz,372.27172851562506
24. Hz,342.79174804687506
27. Hz,307.000732421875
30. Hz,278.6499023437501
34. Hz,248.980712890625
38. Hz,225.860595703125
42. Hz,207.35473632812497
48. Hz,185.662841796875
53. Hz,171.52099609375003
60. Hz,155.889892578125
67. Hz,143.701171875
75. Hz,132.72705078125003
84. Hz,123.05297851562499
94. Hz,114.642333984375
105. Hz,107.38525390624999
118. Hz,100.71411132812501
132. Hz,95.12939453125001
147. Hz,90.44799804687501
165. Hz,86.077880859375
185. Hz,82.33642578125001
207. Hz,79.16259765625001
232. Hz,76.39770507812501
260. Hz,74.041748046875
291. Hz,72.076416015625
0.326 kHz,70.41625976562501
0.365 kHz,69.06738281250001
0.408 kHz,68.00537109374999
0.457 kHz,67.17529296875
0.512 kHz,66.58935546875001
