phase duration (us),threshold (uA)
2.0,16.933593749999993
2.0,16.933593749999993
3.0,11.455078125
3.0,11.455078125
3.0,11.455078125
4.0,8.701171874999998
4.0,8.701171874999998
4.0,8.701171874999998
5.0,7.041015624999999
6.0,5.927734374999999
6.0,5.927734374999999
7.0,5.126953124999999
8.0,4.521484375
9.0,4.052734374999999
10.0,3.6718749999999996
11.0,3.3593749999999996
12.0,3.0957031249999996
14.0,2.6757812499999996
15.0,2.509765625
17.0,2.236328125
19.0,2.01171875
22.0,1.748046875
24.0,1.611328125
27.0,1.4453125
30.0,1.30859375
34.0,1.162109375
38.0,1.0546874999999998
42.0,0.95703125
48.0,0.8496093749999999
53.0,0.7714843749999999
60.0,0.6933593749999999
67.0,0.625
75.0,0.56640625
84.0,0.5175781249999999
94.0,0.46874999999999994
105.0,0.42968749999999994
118.0,0.39062499999999994
132.0,0.35156249999999994
147.0,0.322265625
165.0,0.30273437499999994
185.0,0.2734375
207.0,0.25390625
232.0,0.23437499999999997
260.0,0.21484374999999997
291.0,0.20507812499999997
326.0,0.19531249999999997
365.0,0.18554687499999997
408.0,0.17578124999999997
457.0,0.16601562499999997
512.0,0.16601562499999997
